,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1999000000.0,418000000.0,3000000.0,815000000.0,1054000000.0,
Repurchase Of Capital Stock,-492000000.0,-240000000.0,-131000000.0,-1522000000.0,-1147000000.0,
Repayment Of Debt,-295000000.0,-540000000.0,-789000000.0,-453000000.0,-380000000.0,
Issuance Of Debt,40000000.0,980000000.0,3183000000.0,0.0,-1065000000.0,
Capital Expenditure,-398000000.0,-299000000.0,-305000000.0,-277000000.0,-405000000.0,
End Cash Position,2195000000.0,1466000000.0,1587000000.0,1625000000.0,1400000000.0,
Beginning Cash Position,1466000000.0,1587000000.0,1625000000.0,1400000000.0,1573000000.0,
Effect Of Exchange Rate Changes,11000000.0,-15000000.0,152000000.0,88000000.0,-106000000.0,
Changes In Cash,718000000.0,-106000000.0,-190000000.0,137000000.0,-67000000.0,
Financing Cash Flow,-1413000000.0,-484000000.0,-158000000.0,-704000000.0,-3222000000.0,
Cash Flow From Continuing Financing Activities,-1413000000.0,-484000000.0,-158000000.0,-704000000.0,-3222000000.0,
Net Other Financing Charges,-21000000.0,-75000000.0,30000000.0,53000000.0,-3000000.0,
Cash Dividends Paid,-645000000.0,-609000000.0,-610000000.0,-623000000.0,-627000000.0,
Common Stock Dividend Paid,-645000000.0,-609000000.0,-610000000.0,-623000000.0,-627000000.0,
Net Common Stock Issuance,-492000000.0,-240000000.0,-131000000.0,-1522000000.0,-1147000000.0,
Common Stock Payments,-492000000.0,-240000000.0,-131000000.0,-1522000000.0,-1147000000.0,
Net Issuance Payments Of Debt,-255000000.0,440000000.0,553000000.0,1388000000.0,-1445000000.0,
Net Short Term Debt Issuance,40000000.0,980000000.0,-252000000.0,1841000000.0,-1408000000.0,
Short Term Debt Payments,,,,,-343000000.0,
Short Term Debt Issuance,40000000.0,980000000.0,,,-1065000000.0,651000000.0
Net Long Term Debt Issuance,-295000000.0,-540000000.0,805000000.0,-453000000.0,-37000000.0,
Long Term Debt Payments,-295000000.0,-540000000.0,-789000000.0,-453000000.0,-37000000.0,
Long Term Debt Issuance,0.0,0.0,1594000000.0,0.0,0.0,
Investing Cash Flow,-266000000.0,-339000000.0,-340000000.0,-251000000.0,1696000000.0,
Cash Flow From Continuing Investing Activities,-266000000.0,-339000000.0,-340000000.0,-251000000.0,1696000000.0,
Net Investment Purchase And Sale,8000000.0,-40000000.0,-20000000.0,14000000.0,51000000.0,
Sale Of Investment,8000000.0,70000000.0,35000000.0,14000000.0,129000000.0,
Purchase Of Investment,0.0,-110000000.0,-55000000.0,0.0,-78000000.0,
Net Business Purchase And Sale,123000000.0,0.0,-22000000.0,11000000.0,2050000000.0,
Sale Of Business,123000000.0,0.0,-22000000.0,26000000.0,2290000000.0,
Purchase Of Business,0.0,0.0,0.0,-15000000.0,,
Net PPE Purchase And Sale,1000000.0,0.0,7000000.0,1000000.0,0.0,
Sale Of PPE,1000000.0,0.0,7000000.0,1000000.0,0.0,
Capital Expenditure Reported,-398000000.0,-299000000.0,-305000000.0,-277000000.0,-405000000.0,
Operating Cash Flow,2397000000.0,717000000.0,308000000.0,1092000000.0,1459000000.0,
Cash Flow From Continuing Operating Activities,2397000000.0,717000000.0,308000000.0,1092000000.0,1459000000.0,
Dividend Received Cfo,0.0,1000000.0,0.0,44000000.0,0.0,
Change In Working Capital,928000000.0,-707000000.0,-869000000.0,-326000000.0,445000000.0,
Change In Other Working Capital,-7000000.0,11000000.0,245000000.0,-7000000.0,-45000000.0,
Change In Other Current Liabilities,-123000000.0,222000000.0,-1067000000.0,-58000000.0,60000000.0,
Change In Other Current Assets,-195000000.0,-138000000.0,-88000000.0,196000000.0,-304000000.0,
Change In Payables And Accrued Expense,14000000.0,18000000.0,-399000000.0,222000000.0,731000000.0,
Change In Payable,14000000.0,18000000.0,-399000000.0,222000000.0,731000000.0,
Change In Account Payable,14000000.0,18000000.0,-399000000.0,222000000.0,731000000.0,
Change In Inventory,714000000.0,-192000000.0,-475000000.0,-300000000.0,252000000.0,
Change In Receivables,525000000.0,-628000000.0,915000000.0,-379000000.0,-249000000.0,
Other Non Cash Items,20000000.0,16000000.0,23000000.0,44000000.0,-145000000.0,
Stock Based Compensation,30000000.0,19000000.0,47000000.0,18000000.0,35000000.0,
Asset Impairment Charge,30000000.0,46000000.0,5000000.0,4000000.0,57000000.0,
Deferred Tax,174000000.0,-89000000.0,27000000.0,-96000000.0,90000000.0,
Deferred Income Tax,174000000.0,-89000000.0,27000000.0,-96000000.0,90000000.0,
Depreciation Amortization Depletion,352000000.0,343000000.0,339000000.0,324000000.0,331000000.0,
Depreciation And Amortization,352000000.0,343000000.0,339000000.0,324000000.0,331000000.0,
Operating Gains Losses,194000000.0,342000000.0,92000000.0,673000000.0,-1102000000.0,
Earnings Losses From Equity Investments,-11000000.0,-19000000.0,-19000000.0,-16000000.0,-367000000.0,
Gain Loss On Investment Securities,218000000.0,361000000.0,111000000.0,689000000.0,-731000000.0,
Net Income From Continuing Operations,669000000.0,746000000.0,644000000.0,407000000.0,1748000000.0,
