,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Ordinary Shares Number,1281934628.0,1311337531.0,1330809036.0,1330743395.0,
Share Issued,1281934628.0,1311337531.0,1330809036.0,1330743395.0,
Net Debt,26240000000.0,23679000000.0,22757000000.0,20338000000.0,
Total Debt,28516000000.0,25024000000.0,24364000000.0,24114000000.0,
Tangible Book Value,-5380000000.0,-3997000000.0,-4786000000.0,-3545000000.0,
Invested Capital,76482000000.0,75177000000.0,75783000000.0,76603000000.0,
Working Capital,10935000000.0,11146000000.0,12624000000.0,10665000000.0,
Net Tangible Assets,-5380000000.0,-3997000000.0,-4786000000.0,-3545000000.0,
Capital Lease Obligations,58000000.0,61000000.0,64000000.0,62000000.0,
Common Stock Equity,48024000000.0,50214000000.0,51483000000.0,52551000000.0,
Total Capitalization,73614000000.0,74091000000.0,75770000000.0,72867000000.0,
Total Equity Gross Minority Interest,48256000000.0,50420000000.0,51665000000.0,52722000000.0,
Minority Interest,232000000.0,206000000.0,182000000.0,171000000.0,
Stockholders Equity,48024000000.0,50214000000.0,51483000000.0,52551000000.0,
Other Equity Interest,-1000000.0,,,,
Gains Losses Not Affecting Retained Earnings,-4284000000.0,-3318000000.0,-3499000000.0,-2265000000.0,
Other Equity Adjustments,-4284000000.0,-3318000000.0,-3499000000.0,-2265000000.0,
Retained Earnings,31476000000.0,30403000000.0,30392000000.0,30250000000.0,
Additional Paid In Capital,20833000000.0,23129000000.0,24590000000.0,24566000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,43424000000.0,39561000000.0,39283000000.0,38259000000.0,
Total Non Current Liabilities Net Minority Interest,30545000000.0,28772000000.0,30232000000.0,25865000000.0,
Other Non Current Liabilities,1768000000.0,1365000000.0,1727000000.0,1409000000.0,
Employee Benefits,1158000000.0,1101000000.0,1093000000.0,1113000000.0,
Tradeand Other Payables Non Current,1574000000.0,1859000000.0,2360000000.0,2087000000.0,
