contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MGM260410C00024000,2026-04-06 19:52:48+00:00,24.0,12.78,12.7,14.6,0.0,0.0,1.0,14,3.525391811523437,True,REGULAR,USD
MGM260410C00025000,2026-04-07 14:19:48+00:00,25.0,12.65,11.8,13.5,0.77999973,6.5711856,1.0,4,3.1054709863281245,True,REGULAR,USD
MGM260410C00026000,2026-04-07 14:19:48+00:00,26.0,11.75,10.8,12.7,0.6499996,5.855852,1.0,2,3.1914082714843746,True,REGULAR,USD
MGM260410C00027000,2026-04-01 16:56:10+00:00,27.0,9.95,9.9,11.7,0.0,0.0,2.0,3,2.949221376953125,True,REGULAR,USD
MGM260410C00028000,2026-04-06 19:52:59+00:00,28.0,8.85,8.8,10.7,0.0,0.0,3.0,3,2.7148469628906247,True,REGULAR,USD
MGM260410C00028500,2026-04-06 19:52:59+00:00,28.5,8.45,8.3,10.2,0.0,0.0,3.0,4,2.599612875976563,True,REGULAR,USD
MGM260410C00029000,2026-03-31 18:58:20+00:00,29.0,7.55,7.8,9.5,0.0,0.0,1.0,1,2.2187544531249994,True,REGULAR,USD
MGM260410C00030000,2026-03-27 17:05:42+00:00,30.0,6.64,6.8,8.7,0.0,0.0,4.0,1,2.2617230957031245,True,REGULAR,USD
MGM260410C00030500,2026-04-07 15:02:00+00:00,30.5,7.18,6.3,8.1,0.8299999,13.070865,1.0,2,2.0332080419921876,True,REGULAR,USD
MGM260410C00031000,2026-04-07 15:02:00+00:00,31.0,6.78,5.8,7.7,0.8300004,13.949587,1.0,3,2.0410205224609372,True,REGULAR,USD
MGM260410C00033000,2026-04-07 15:02:38+00:00,33.0,5.15,4.5,5.6,0.9500003,22.619057,3.0,4,0.6093789062500001,True,REGULAR,USD
MGM260410C00033500,2026-03-31 16:41:11+00:00,33.5,3.8,3.5,5.2,0.0,0.0,,5,1.4980493847656249,True,REGULAR,USD
MGM260410C00034000,2026-04-06 16:26:02+00:00,34.0,2.98,3.0,4.6,0.0,0.0,1.0,7,1.2988316308593748,True,REGULAR,USD
MGM260410C00034500,2026-03-31 16:40:25+00:00,34.5,2.57,2.5,4.2,0.0,0.0,,2,1.2812535937499998,True,REGULAR,USD
MGM260410C00035000,2026-04-02 17:35:46+00:00,35.0,1.96,2.0,3.7,0.0,0.0,6.0,37,1.169926025390625,True,REGULAR,USD
MGM260410C00035500,2026-04-06 19:05:44+00:00,35.5,2.15,2.2,3.2,0.0,0.0,2.0,2,0.6015664843750002,True,REGULAR,USD
MGM260410C00036000,2026-04-07 13:55:00+00:00,36.0,2.45,1.9,2.5,0.95000005,63.33334,5.0,35,0.51562984375,True,REGULAR,USD
MGM260410C00036500,2026-04-06 17:49:04+00:00,36.5,1.3,1.7,1.85,0.0,0.0,26.0,20,0.56055126953125,True,REGULAR,USD
MGM260410C00037000,2026-04-06 19:17:46+00:00,37.0,1.05,1.3,1.45,0.0,0.0,19.0,68,0.5293015820312501,True,REGULAR,USD
MGM260410C00037500,2026-04-07 14:57:11+00:00,37.5,1.08,0.9,1.1,0.33000004,44.000004,19.0,61,0.507817421875,True,REGULAR,USD
MGM260410C00038000,2026-04-07 15:53:00+00:00,38.0,0.7,0.65,0.9,0.14999998,27.272724,43.0,265,0.5546919531250001,True,REGULAR,USD
MGM260410C00038500,2026-04-07 15:18:34+00:00,38.5,0.5,0.45,0.55,0.19999999,66.66666,20.0,497,0.47461462890625,False,REGULAR,USD
MGM260410C00039000,2026-04-07 15:55:30+00:00,39.0,0.31,0.3,0.35,0.060000002,24.0,27.0,69,0.45508357421875,False,REGULAR,USD
MGM260410C00039500,2026-04-07 15:47:44+00:00,39.5,0.17,0.15,0.3,0.120000005,240.00002,17.0,34,0.51562984375,False,REGULAR,USD
MGM260410C00040000,2026-04-07 14:34:34+00:00,40.0,0.18,0.1,0.15,0.050000012,38.461548,32.0,139,0.46680220703125,False,REGULAR,USD
MGM260410C00040500,2026-04-07 14:57:11+00:00,40.5,0.07,0.05,0.1,0.02,40.0,1.0,31,0.4804739453125,False,REGULAR,USD
MGM260410C00041000,2026-04-07 15:47:44+00:00,41.0,0.03,0.0,0.05,-0.21,-46.666668,12.0,41,0.46094289062500005,False,REGULAR,USD
MGM260410C00041500,2026-03-27 18:55:24+00:00,41.5,0.12,0.0,0.05,0.0,0.0,1.0,1,0.5195360546875,False,REGULAR,USD
MGM260410C00042000,2026-03-27 13:30:02+00:00,42.0,0.33,0.0,0.05,0.0,0.0,1.0,4,0.507817421875,False,REGULAR,USD
MGM260410C00043000,2026-03-20 16:35:43+00:00,43.0,0.12,0.0,0.05,0.0,0.0,11.0,14,0.6015664843750002,False,REGULAR,USD
