,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1287,32679906,1677459634,0.0097
1,2025-12-31,Blackrock Inc.,0.0793,20144572,1034020917,0.0159
2,2025-12-31,State Farm Mutual Automobile Insurance Co,0.0651,16522728,848111658,0.0
3,2025-12-31,State Street Corporation,0.0588,14936087,766669373,-0.0378
4,2025-12-31,"Geode Capital Management, LLC",0.0256,6508928,334103286,0.0092
5,2025-12-31,Invesco Ltd.,0.0253,6422944,329689727,0.0306
6,2025-12-31,"T. Rowe Price Investment Management, Inc.",0.0239,6070612,311604525,0.002
7,2025-12-31,"FMR, LLC",0.0189,4786912,245712201,1.6336999
8,2025-12-31,"Aristotle Capital Management, LLC",0.015,3816143,195882627,1.0
9,2025-12-31,Morgan Stanley,0.0149,3779455,193999432,-0.0502
