,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.0695,67980692,4936078087,0.0074
1,2025-12-31,Blackrock Inc.,0.0629,61516171,4466689213,0.0324
2,2025-12-31,State Street Corporation,0.038900003,38021648,2760751884,0.008
3,2025-12-31,Alliancebernstein L.P.,0.028299998,27686492,2010316201,-0.0804
4,2025-12-31,LOOMIS SAYLES & CO L P,0.0269,26268567,1907360665,-0.023599999
5,2025-12-31,"Geode Capital Management, LLC",0.0201,19625097,1424978305,0.0171
6,2025-12-31,Bank of America Corporation,0.0127,12433294,902781484,-0.041300002
7,2025-12-31,Morgan Stanley,0.0124,12145411,881878300,-0.0045
8,2025-12-31,Janus Henderson Group PLC,0.0119,11622968,843943713,-0.3238
9,2025-12-31,Invesco Ltd.,0.0119,11620604,843772063,-0.0047
