contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MNST260417P00060000,2026-04-07 14:33:09+00:00,60.0,0.05,0.0,0.1,-0.02,-28.571428,1.0,4,0.5429733203125001,False,REGULAR,USD
MNST260417P00065000,2026-04-07 15:00:11+00:00,65.0,0.1,0.05,0.2,-0.13999999,-58.333332,1.0,31,0.45606012695312503,False,REGULAR,USD
MNST260417P00067500,2026-04-02 17:06:26+00:00,67.5,0.4,0.25,0.35,0.0,0.0,7.0,32,0.393560751953125,False,REGULAR,USD
MNST260417P00070000,2026-04-07 15:17:18+00:00,70.0,0.68,0.6,0.75,0.22,47.826088,13.0,307,0.35547519531249994,False,REGULAR,USD
MNST260417P00072500,2026-04-07 14:46:48+00:00,72.5,1.15,1.35,1.6,0.029999971,2.6785688,20.0,206,0.3293524096679687,False,REGULAR,USD
MNST260417P00075000,2026-04-07 15:55:08+00:00,75.0,3.0,2.9,3.1,1.05,53.84615,17.0,290,0.3198310205078124,True,REGULAR,USD
MNST260417P00077500,2026-04-07 15:04:51+00:00,77.5,4.69,4.4,5.5,-0.90999985,-16.249998,1.0,99,0.43555251953125,True,REGULAR,USD
MNST260417P00080000,2026-04-06 15:28:19+00:00,80.0,6.89,6.9,7.9,0.0,0.0,4.0,48,0.524418818359375,True,REGULAR,USD
MNST260417P00082500,2026-03-26 18:07:06+00:00,82.5,9.67,8.3,10.4,0.0,0.0,1.0,1,0.6313513427734375,True,REGULAR,USD
MNST260417P00085000,2026-03-30 19:25:01+00:00,85.0,13.68,10.8,12.9,0.0,0.0,1.0,2,0.7299831689453125,True,REGULAR,USD
MNST260417P00087500,2026-03-18 14:52:34+00:00,87.5,12.8,13.3,15.4,0.0,0.0,1.0,7,0.82226740234375,True,REGULAR,USD
MNST260417P00090000,2026-03-05 15:32:09+00:00,90.0,12.93,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
MNST260417P00092500,2026-02-26 17:18:52+00:00,92.5,7.85,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
MNST260417P00095000,2026-02-27 18:16:34+00:00,95.0,9.0,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
MNST260417P00105000,2026-03-02 16:06:41+00:00,105.0,22.55,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MNST260417P00110000,2026-03-02 16:07:48+00:00,110.0,27.55,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
