,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.023699999,37451289,6278521504,-0.0058999998
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.019299999,30459829,5106438162,0.0177
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0098,15543261,2605750056,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0097,15371718,2576991729,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.009,14209770,2382196952,-0.0198
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0069,10969449,1838973324,0.020299999
6,2025-12-31,INVESTMENT CO OF AMERICA,0.0056,8776922,1471407126,-0.061
7,2026-01-31,SELECT SECTOR SPDR TRUST-State Street Financial Select Sector SPDR ETF,0.0055,8651804,1450431718,0.058000002
8,2025-11-30,MFS SERIES TRUST I-MFS Value Fund,0.0047999998,7597977,1273762886,-0.0642
9,2026-02-28,Fidelity Contrafund,0.0047,7471030,1252480856,0.0186
