,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1458585000.0,1386509000.0,1145178000.0,1022474000.0,
Repurchase Of Capital Stock,-2484305000.0,-885266000.0,-504188000.0,-1397506000.0,
Repayment Of Debt,-1101875000.0,-559063000.0,-8750000.0,-7188000.0,
Issuance Of Debt,2805963000.0,556875000.0,0.0,355000000.0,
Capital Expenditure,-129861000.0,-115118000.0,-90851000.0,-72895000.0,
Interest Paid Supplemental Data,173312000.0,179952000.0,182313000.0,165116000.0,
Income Tax Paid Supplemental Data,222268000.0,201028000.0,240479000.0,180686000.0,
End Cash Position,515332000.0,409351000.0,461693000.0,993564000.0,
Beginning Cash Position,409351000.0,461693000.0,993564000.0,1421449000.0,
Effect Of Exchange Rate Changes,9589000.0,-7406000.0,5409000.0,-18539000.0,
Changes In Cash,96392000.0,-44936000.0,-537280000.0,-409346000.0,
Financing Cash Flow,-1361990000.0,-1402308000.0,-953931000.0,-1425380000.0,
Cash Flow From Continuing Financing Activities,-1361990000.0,-1402308000.0,-953931000.0,-1425380000.0,
Net Other Financing Charges,-32227000.0,-5745000.0,,-2771000.0,-21612000.0
Proceeds From Stock Option Exercised,6975000.0,0.0,0.0,,0.0
Cash Dividends Paid,-556521000.0,-509109000.0,-440993000.0,-372915000.0,
Common Stock Dividend Paid,-556521000.0,-509109000.0,-440993000.0,-372915000.0,
Net Common Stock Issuance,-2484305000.0,-885266000.0,-504188000.0,-1397506000.0,
Common Stock Payments,-2484305000.0,-885266000.0,-504188000.0,-1397506000.0,
Net Issuance Payments Of Debt,1704088000.0,-2188000.0,-8750000.0,347812000.0,
Net Long Term Debt Issuance,1704088000.0,-2188000.0,-8750000.0,347812000.0,
Long Term Debt Payments,-1101875000.0,-559063000.0,-8750000.0,-7188000.0,
Long Term Debt Issuance,2805963000.0,556875000.0,0.0,355000000.0,
Investing Cash Flow,-130064000.0,-144255000.0,-819378000.0,-79335000.0,
Cash Flow From Continuing Investing Activities,-130064000.0,-144255000.0,-819378000.0,-79335000.0,
Net Other Investing Changes,-203000.0,-1670000.0,-1185000.0,-6435000.0,
Net Business Purchase And Sale,0.0,-27467000.0,-727342000.0,-5000.0,
Purchase Of Business,0.0,-27467000.0,-727342000.0,-5000.0,
Capital Expenditure Reported,-129861000.0,-115118000.0,-90851000.0,-72895000.0,
Operating Cash Flow,1588446000.0,1501627000.0,1236029000.0,1095369000.0,
Cash Flow From Continuing Operating Activities,1588446000.0,1501627000.0,1236029000.0,1095369000.0,
Change In Working Capital,-24023000.0,72743000.0,2457000.0,-19428000.0,
Change In Other Working Capital,95364000.0,46196000.0,175624000.0,72311000.0,
Change In Other Current Liabilities,-22530000.0,-22360000.0,-30600000.0,-21361000.0,
Change In Other Current Assets,-15560000.0,402000.0,-8102000.0,31448000.0,
Change In Payables And Accrued Expense,111379000.0,37180000.0,35431000.0,-59737000.0,
Change In Accrued Expense,82211000.0,16034000.0,26754000.0,-11778000.0,
Change In Payable,29168000.0,21146000.0,8677000.0,-47959000.0,
Change In Account Payable,559000.0,4963000.0,-6044000.0,1337000.0,
Change In Tax Payable,28609000.0,16183000.0,14721000.0,-49296000.0,
Change In Income Tax Payable,28609000.0,16183000.0,14721000.0,-49296000.0,
Change In Prepaid Assets,-28440000.0,1099000.0,-20367000.0,-35465000.0,
Change In Receivables,-164236000.0,10226000.0,-149529000.0,-6624000.0,
Changes In Account Receivables,-164236000.0,10226000.0,-149529000.0,-6624000.0,
Other Non Cash Items,21808000.0,2439000.0,11918000.0,6493000.0,
Stock Based Compensation,111343000.0,95204000.0,71653000.0,58094000.0,
Asset Impairment Charge,0.0,0.0,477000.0,705000.0,
Deferred Tax,46675000.0,14328000.0,-15258000.0,36436000.0,
Deferred Income Tax,46675000.0,14328000.0,-15258000.0,36436000.0,
Depreciation Amortization Depletion,218570000.0,206275000.0,159219000.0,142496000.0,
Depreciation And Amortization,218570000.0,206275000.0,159219000.0,142496000.0,
Amortization Cash Flow,169480000.0,164037000.0,114429000.0,91079000.0,
Amortization Of Intangibles,169480000.0,164037000.0,114429000.0,91079000.0,
Depreciation,49090000.0,42238000.0,44790000.0,51417000.0,
Operating Gains Losses,11768000.0,1510000.0,-143029000.0,,59103000.0
Earnings Losses From Equity Investments,11768000.0,0.0,-143029000.0,0.0,
Net Income From Continuing Operations,1202305000.0,1109128000.0,1148592000.0,870573000.0,
