,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2572000000.0,2134000000.0,1791000000.0,1567000000.0,
Repurchase Of Capital Stock,-1154000000.0,-247000000.0,-804000000.0,-836000000.0,
Repayment Of Debt,-501000000.0,-1906000000.0,-1000000.0,-285000000.0,
Issuance Of Debt,3656000000.0,1288000000.0,0.0,595000000.0,
Issuance Of Capital Stock,46000000.0,75000000.0,104000000.0,156000000.0,
Capital Expenditure,-265000000.0,-257000000.0,-253000000.0,-256000000.0,
Interest Paid Supplemental Data,285000000.0,253000000.0,234000000.0,226000000.0,
Income Tax Paid Supplemental Data,569000000.0,627000000.0,587000000.0,307000000.0,
End Cash Position,1165000000.0,2102000000.0,1705000000.0,1325000000.0,
Beginning Cash Position,2102000000.0,1705000000.0,1325000000.0,1874000000.0,
Effect Of Exchange Rate Changes,81000000.0,-39000000.0,45000000.0,-79000000.0,
Changes In Cash,-1018000000.0,436000000.0,335000000.0,-470000000.0,
Financing Cash Flow,1309000000.0,-1448000000.0,-1295000000.0,-906000000.0,
Cash Flow From Continuing Financing Activities,1309000000.0,-1448000000.0,-1295000000.0,-906000000.0,
Net Other Financing Charges,-10000000.0,-4000000.0,-5000000.0,-6000000.0,
Cash Dividends Paid,-728000000.0,-654000000.0,-589000000.0,-530000000.0,
Common Stock Dividend Paid,-728000000.0,-654000000.0,-589000000.0,-530000000.0,
Net Common Stock Issuance,-1108000000.0,-172000000.0,-700000000.0,-680000000.0,
Common Stock Payments,-1154000000.0,-247000000.0,-804000000.0,-836000000.0,
Common Stock Issuance,46000000.0,75000000.0,104000000.0,156000000.0,
Net Issuance Payments Of Debt,3155000000.0,-618000000.0,-1000000.0,310000000.0,
Net Short Term Debt Issuance,744000000.0,0.0,0.0,0.0,
Short Term Debt Payments,-179000000.0,0.0,0.0,0.0,
Short Term Debt Issuance,923000000.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,2411000000.0,-618000000.0,-1000000.0,310000000.0,
Long Term Debt Payments,-322000000.0,-1906000000.0,-1000000.0,-285000000.0,
Long Term Debt Issuance,2733000000.0,1288000000.0,0.0,595000000.0,
Investing Cash Flow,-5164000000.0,-507000000.0,-414000000.0,-1387000000.0,
Cash Flow From Continuing Investing Activities,-5164000000.0,-507000000.0,-414000000.0,-1387000000.0,
Net Investment Purchase And Sale,17000000.0,40000000.0,19000000.0,46000000.0,
Sale Of Investment,17000000.0,40000000.0,19000000.0,46000000.0,
Net Business Purchase And Sale,-4916000000.0,-290000000.0,-180000000.0,-1177000000.0,
Purchase Of Business,-4916000000.0,-290000000.0,-180000000.0,-1177000000.0,
Net PPE Purchase And Sale,,,0.0,0.0,6000000.0
Sale Of PPE,,,0.0,0.0,6000000.0
Capital Expenditure Reported,-265000000.0,-257000000.0,-253000000.0,-256000000.0,
Operating Cash Flow,2837000000.0,2391000000.0,2044000000.0,1823000000.0,
Cash Flow From Continuing Operating Activities,2837000000.0,2391000000.0,2044000000.0,1823000000.0,
Change In Working Capital,-44000000.0,-371000000.0,-276000000.0,-329000000.0,
Change In Other Working Capital,215000000.0,-276000000.0,-70000000.0,-425000000.0,
Change In Other Current Assets,-221000000.0,-213000000.0,-82000000.0,-1000000.0,
Change In Payables And Accrued Expense,280000000.0,302000000.0,-144000000.0,451000000.0,
Change In Payable,280000000.0,302000000.0,-144000000.0,451000000.0,
Change In Account Payable,280000000.0,302000000.0,-144000000.0,451000000.0,
Change In Inventory,-145000000.0,62000000.0,200000000.0,-242000000.0,
Change In Receivables,-173000000.0,-246000000.0,-180000000.0,-112000000.0,
Changes In Account Receivables,-173000000.0,-246000000.0,-180000000.0,-112000000.0,
Other Non Cash Items,3000000.0,16000000.0,38000000.0,23000000.0,
Stock Based Compensation,293000000.0,243000000.0,212000000.0,172000000.0,
Asset Impairment Charge,,0.0,0.0,147000000.0,0.0
Deferred Tax,,,,,34000000.0
Deferred Income Tax,,,,,34000000.0
Depreciation Amortization Depletion,425000000.0,336000000.0,356000000.0,440000000.0,
Depreciation And Amortization,425000000.0,336000000.0,356000000.0,440000000.0,
Amortization Cash Flow,234000000.0,152000000.0,177000000.0,257000000.0,
Amortization Of Intangibles,234000000.0,152000000.0,177000000.0,257000000.0,
Depreciation,191000000.0,184000000.0,179000000.0,183000000.0,
Operating Gains Losses,,585000000.0,,3000000.0,17000000.0
Pension And Employee Benefit Expense,,,,,0.0
Gain Loss On Investment Securities,,,,-3000000.0,-1000000.0
Net Income From Continuing Operations,2160000000.0,1582000000.0,1714000000.0,1367000000.0,
