,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,848648000.0,864448000.0,860551000.0,737826000.0,
Repurchase Of Capital Stock,-799995000.0,-849997000.0,-900000000.0,-1099998000.0,
Repayment Of Debt,-1974762000.0,-2175291000.0,-2097023000.0,-1947398000.0,
Issuance Of Debt,1996222000.0,2156565000.0,2126797000.0,2307256000.0,
Capital Expenditure,-107124000.0,-103898000.0,-105323000.0,-121241000.0,
Interest Paid Supplemental Data,66634000.0,75937000.0,75618000.0,52314000.0,
Income Tax Paid Supplemental Data,180848000.0,209374000.0,178255000.0,114038000.0,
End Cash Position,66888000.0,59362000.0,69807000.0,95966000.0,
Beginning Cash Position,59362000.0,69807000.0,95966000.0,98564000.0,
Effect Of Exchange Rate Changes,801000.0,-3352000.0,-754000.0,-6231000.0,
Changes In Cash,6725000.0,-7093000.0,-25405000.0,3633000.0,
Financing Cash Flow,-755173000.0,-855977000.0,-859585000.0,-716039000.0,
Cash Flow From Continuing Financing Activities,-755173000.0,-855977000.0,-859585000.0,-716039000.0,
Net Other Financing Charges,-8911000.0,-10973000.0,-8593000.0,-9115000.0,
Proceeds From Stock Option Exercised,32273000.0,23719000.0,19234000.0,33216000.0,
Net Common Stock Issuance,-799995000.0,-849997000.0,-900000000.0,-1099998000.0,
Common Stock Payments,-799995000.0,-849997000.0,-900000000.0,-1099998000.0,
Net Issuance Payments Of Debt,21460000.0,-18726000.0,29774000.0,359858000.0,
Net Short Term Debt Issuance,,,,-1947398000.0,-2035546000.0
Short Term Debt Payments,,,,-1947398000.0,-2035546000.0
Net Long Term Debt Issuance,21460000.0,-18726000.0,29774000.0,359858000.0,
Long Term Debt Payments,-1974762000.0,-2175291000.0,-2097023000.0,-1947398000.0,
Long Term Debt Issuance,1996222000.0,2156565000.0,2126797000.0,2307256000.0,
Investing Cash Flow,-193874000.0,-119462000.0,-131694000.0,-139395000.0,
Cash Flow From Continuing Investing Activities,-193874000.0,-119462000.0,-131694000.0,-139395000.0,
Net Other Investing Changes,7089000.0,-7104000.0,-21395000.0,19398000.0,
Net Business Purchase And Sale,-93839000.0,-10091000.0,-5811000.0,-37951000.0,
Purchase Of Business,-93839000.0,-10091000.0,-5811000.0,-37951000.0,
Net PPE Purchase And Sale,-107124000.0,-102267000.0,-104488000.0,-120842000.0,
Sale Of PPE,0.0,1631000.0,835000.0,399000.0,
Purchase Of PPE,-107124000.0,-103898000.0,-105323000.0,-121241000.0,
Operating Cash Flow,955772000.0,968346000.0,965874000.0,859067000.0,
Cash Flow From Continuing Operating Activities,955772000.0,968346000.0,965874000.0,859067000.0,
Change In Working Capital,-65329000.0,-9796000.0,51377000.0,-172636000.0,
Change In Other Current Assets,-10847000.0,-1015000.0,20666000.0,-16263000.0,
Change In Payables And Accrued Expense,-482000.0,20091000.0,-90606000.0,-29564000.0,
Change In Accrued Expense,-15428000.0,19939000.0,-62312000.0,-71597000.0,
Change In Payable,14946000.0,152000.0,-28294000.0,42033000.0,
Change In Account Payable,33762000.0,12083000.0,-40554000.0,-13826000.0,
Change In Tax Payable,-18816000.0,-11931000.0,12260000.0,55859000.0,
Change In Income Tax Payable,-18816000.0,-11931000.0,12260000.0,55859000.0,
Change In Inventory,-7651000.0,24127000.0,71021000.0,-43392000.0,
Change In Receivables,-46349000.0,-52999000.0,50296000.0,-83417000.0,
Changes In Account Receivables,-46349000.0,-52999000.0,50296000.0,-83417000.0,
Other Non Cash Items,,,,,7230000.0
Stock Based Compensation,22512000.0,19979000.0,17928000.0,19661000.0,
Deferred Tax,3786000.0,-28198000.0,-13373000.0,26517000.0,
Deferred Income Tax,3786000.0,-28198000.0,-13373000.0,26517000.0,
Depreciation Amortization Depletion,125610000.0,123221000.0,121164000.0,113023000.0,
Depreciation And Amortization,125610000.0,123221000.0,121164000.0,113023000.0,
Amortization Cash Flow,74469000.0,72869000.0,72213000.0,66239000.0,
Amortization Of Intangibles,74469000.0,72869000.0,72213000.0,66239000.0,
Depreciation,51141000.0,50352000.0,48951000.0,46784000.0,
Net Income From Continuing Operations,869193000.0,863140000.0,788778000.0,872502000.0,
