,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-793800000.0,-861500000.0,-710700000.0,-793700000.0,
Repurchase Of Capital Stock,0.0,-500100000.0,-400100000.0,0.0,
Repayment Of Debt,-1282000000.0,-2469600000.0,-33100000.0,-60300000.0,
Issuance Of Debt,3483400000.0,2229500000.0,2775100000.0,1547800000.0,
Issuance Of Capital Stock,312100000.0,612600000.0,12900000.0,154300000.0,
Capital Expenditure,-3156100000.0,-2643000000.0,-2645800000.0,-2203100000.0,
End Cash Position,135700000.0,198600000.0,2281100000.0,75400000.0,
Beginning Cash Position,198600000.0,2281100000.0,75400000.0,94900000.0,
Changes In Cash,-62900000.0,-2082500000.0,2205700000.0,-19500000.0,
Financing Cash Flow,2098900000.0,-651000000.0,3842200000.0,1141300000.0,
Cash Flow From Continuing Financing Activities,2098900000.0,-651000000.0,3842200000.0,1141300000.0,
Net Other Financing Charges,115800000.0,-34200000.0,1944700000.0,-63900000.0,
Cash Dividends Paid,-530400000.0,-489200000.0,-457300000.0,-436600000.0,
Preferred Stock Dividend Paid,0.0,-8200000.0,-43800000.0,-55100000.0,
Common Stock Dividend Paid,-530400000.0,-481000000.0,-413500000.0,-381500000.0,
Net Preferred Stock Issuance,0.0,-500100000.0,-400100000.0,0.0,
Preferred Stock Payments,0.0,-500100000.0,-400100000.0,0.0,
Net Common Stock Issuance,312100000.0,612600000.0,12900000.0,154300000.0,
Common Stock Issuance,312100000.0,612600000.0,12900000.0,154300000.0,
Net Issuance Payments Of Debt,2201400000.0,-240100000.0,2742000000.0,1487500000.0,
Net Short Term Debt Issuance,131400000.0,-2444000000.0,1286400000.0,1202200000.0,
Short Term Debt Payments,0.0,-2444000000.0,0.0,0.0,
Short Term Debt Issuance,131400000.0,0.0,1286400000.0,1202200000.0,
Net Long Term Debt Issuance,2070000000.0,2203900000.0,1455600000.0,285300000.0,
Long Term Debt Payments,-1282000000.0,-25600000.0,-33100000.0,-60300000.0,
Long Term Debt Issuance,3352000000.0,2229500000.0,1488700000.0,345600000.0,
Investing Cash Flow,-4524100000.0,-3213000000.0,-3571600000.0,-2570200000.0,
Cash Flow From Continuing Investing Activities,-4524100000.0,-3213000000.0,-3571600000.0,-2570200000.0,
Net Other Investing Changes,-1313400000.0,-645400000.0,-922900000.0,-369300000.0,
Net Investment Purchase And Sale,-54600000.0,75400000.0,-2900000.0,2200000.0,
Sale Of Investment,39300000.0,93200000.0,39900000.0,75700000.0,
Purchase Of Investment,-93900000.0,-17800000.0,-42800000.0,-73500000.0,
Net PPE Purchase And Sale,-373800000.0,-29000000.0,0.0,0.0,
Purchase Of PPE,-373800000.0,-29000000.0,0.0,0.0,
Capital Expenditure Reported,-2782300000.0,-2614000000.0,-2645800000.0,-2203100000.0,
Operating Cash Flow,2362300000.0,1781500000.0,1935100000.0,1409400000.0,
Cash Flow From Continuing Operating Activities,2362300000.0,1781500000.0,1935100000.0,1409400000.0,
Change In Working Capital,-56400000.0,-195600000.0,241500000.0,-263100000.0,
Change In Other Working Capital,111900000.0,-227300000.0,68200000.0,9000000.0,
Change In Other Current Liabilities,3000000.0,26100000.0,-6700000.0,-25500000.0,
Change In Payables And Accrued Expense,199700000.0,81000000.0,-274700000.0,238400000.0,
Change In Accrued Expense,67900000.0,9500000.0,-102900000.0,73400000.0,
Change In Payable,131800000.0,71500000.0,-171800000.0,165000000.0,
Change In Account Payable,131800000.0,71500000.0,-171800000.0,165000000.0,
Change In Prepaid Assets,-37300000.0,-75900000.0,36700000.0,-9800000.0,
Change In Inventory,-60300000.0,102000000.0,233900000.0,-258900000.0,
Change In Receivables,-273400000.0,-101500000.0,184100000.0,-216300000.0,
Changes In Account Receivables,-273400000.0,-101500000.0,184100000.0,-216300000.0,
Other Non Cash Items,-48200000.0,-122400000.0,-56600000.0,-16600000.0,
Stock Based Compensation,50900000.0,43600000.0,33500000.0,24900000.0,
Asset Impairment Charge,,,,,0.0
Deferred Tax,235800000.0,168000000.0,134100000.0,156900000.0,
Deferred Income Tax,235800000.0,168000000.0,134100000.0,156900000.0,
Depreciation Amortization Depletion,1167600000.0,1043200000.0,908200000.0,820800000.0,
Depreciation And Amortization,1167600000.0,1043200000.0,908200000.0,820800000.0,
Operating Gains Losses,,2900000.0,2900000.0,-105300000.0,5600000.0
Net Income From Continuing Operations,1012600000.0,844700000.0,674400000.0,791800000.0,
