,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,5392800.0,10443800.0,3813300.0,22239600.0,
Tax Rate For Calcs,0.168,0.158,0.171,0.172,
Normalized EBITDA,3013800000.0,2503000000.0,2201000000.0,2020100000.0,
Total Unusual Items,32100000.0,66100000.0,22300000.0,129300000.0,
Total Unusual Items Excluding Goodwill,32100000.0,66100000.0,22300000.0,129300000.0,
Net Income From Continuing Operation Net Minority Interest,929500000.0,760400000.0,714300000.0,804100000.0,
Reconciled Depreciation,1167600000.0,1043200000.0,908200000.0,820800000.0,
Reconciled Cost Of Revenue,3294600000.0,2647400000.0,3028200000.0,3599900000.0,
EBITDA,3045900000.0,2569100000.0,2223300000.0,2149400000.0,
EBIT,1878300000.0,1525900000.0,1315100000.0,1328600000.0,
Net Interest Income,-628800000.0,-506800000.0,-480600000.0,-357300000.0,
Interest Expense,661900000.0,523100000.0,501200000.0,372200000.0,
Interest Income,10200000.0,10400000.0,9000000.0,4300000.0,
Normalized Income,902792800.0,704743800.0,695813300.0,697039600.0,
Net Income From Continuing And Discontinued Operation,929500000.0,760400000.0,714300000.0,804100000.0,
Total Expenses,4810300000.0,3991300000.0,4207000000.0,4689000000.0,
Total Operating Income As Reported,1835300000.0,1455500000.0,1295500000.0,1265800000.0,
Diluted Average Shares,474500000.0,456000000.0,447900000.0,442700000.0,
Basic Average Shares,472900000.0,454200000.0,416100000.0,407100000.0,
Diluted EPS,1.95,1.62,1.48,1.7,
Basic EPS,1.96,1.63,1.59,1.84,
Diluted NI Availto Com Stockholders,926900000.0,738100000.0,662500000.0,751000000.0,
Average Dilution Earnings,0.0,0.0,1400000.0,2000000.0,
Net Income Common Stockholders,926900000.0,738100000.0,661100000.0,749000000.0,
Otherunder Preferred Stock Dividend,2600000.0,15600000.0,10400000.0,0.0,
Preferred Stock Dividends,,6700000.0,42800000.0,55100000.0,55100000.0
Net Income,929500000.0,760400000.0,714300000.0,804100000.0,
Minority Interests,-83100000.0,-84300000.0,39900000.0,12300000.0,
Net Income Including Noncontrolling Interests,1012600000.0,844700000.0,674400000.0,791800000.0,
Net Income Continuous Operations,1012600000.0,844700000.0,674400000.0,791800000.0,
Tax Provision,203800000.0,158100000.0,139500000.0,164600000.0,
Pretax Income,1216400000.0,1002800000.0,813900000.0,956400000.0,
Other Income Expense,13300000.0,45800000.0,-3900000.0,152100000.0,
Other Non Operating Income Expenses,-18800000.0,-20300000.0,-26200000.0,22800000.0,
Special Income Charges,32100000.0,66100000.0,22300000.0,119300000.0,
Gain On Sale Of Ppe,100000.0,-2900000.0,-2900000.0,104200000.0,
Other Special Charges,-32700000.0,-75100000.0,-25200000.0,-15100000.0,
Write Off,700000.0,6100000.0,0.0,0.0,
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,,,,10000000.0,
Net Non Operating Interest Income Expense,-628800000.0,-506800000.0,-480600000.0,-357300000.0,
Total Other Finance Cost,-22900000.0,-5900000.0,-11600000.0,-10600000.0,
Interest Expense Non Operating,661900000.0,523100000.0,501200000.0,372200000.0,
Interest Income Non Operating,10200000.0,10400000.0,9000000.0,4300000.0,
Operating Income,1831900000.0,1463800000.0,1298400000.0,1161600000.0,
Operating Expense,1515700000.0,1343900000.0,1178800000.0,1089100000.0,
Other Taxes,348100000.0,300700000.0,270600000.0,268300000.0,
Depreciation Amortization Depletion Income Statement,1167600000.0,1043200000.0,908200000.0,820800000.0,
Depreciation And Amortization In Income Statement,1167600000.0,1043200000.0,908200000.0,820800000.0,
Selling General And Administration,,13500000.0,24000000.0,-27600000.0,-35500000.0
General And Administrative Expense,,13500000.0,24000000.0,-27600000.0,-35500000.0
Salaries And Wages,,13500000.0,24000000.0,-27600000.0,-35500000.0
Gross Profit,3347600000.0,2807700000.0,2477200000.0,2250700000.0,
Cost Of Revenue,3294600000.0,2647400000.0,3028200000.0,3599900000.0,
Total Revenue,6642200000.0,5455100000.0,5505400000.0,5850600000.0,
Operating Revenue,6522800000.0,5282900000.0,5347800000.0,5738600000.0,
