,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,1083378.500452,1465100.0,1413400.0,1586500.0,2223420.962786,
Tax Rate For Calcs,0.161698,0.161,0.191,0.167,0.165927,
Normalized EBITDA,851000000.0,605200000.0,542700000.0,1014300000.0,700500000.0,
Total Unusual Items,6700000.0,9100000.0,7400000.0,9500000.0,13400000.0,
Total Unusual Items Excluding Goodwill,6700000.0,9100000.0,7400000.0,9500000.0,13400000.0,
Net Income From Continuing Operation Net Minority Interest,257800000.0,94700000.0,102200000.0,474800000.0,223900000.0,
Reconciled Depreciation,315400000.0,306900000.0,286700000.0,258600000.0,278100000.0,
Reconciled Cost Of Revenue,966600000.0,594700000.0,658000000.0,1075300000.0,798300000.0,
EBITDA,857700000.0,614300000.0,550100000.0,1023800000.0,713900000.0,
EBIT,542300000.0,307400000.0,263400000.0,765200000.0,435800000.0,
Net Interest Income,-184400000.0,-176000000.0,-137600000.0,-130800000.0,-134400000.0,
Interest Expense,210200000.0,179800000.0,139100000.0,132800000.0,142900000.0,
Interest Income,2900000.0,3800000.0,1500000.0,2000000.0,2600000.0,
Normalized Income,252183378.500452,87065100.0,96213400.0,466886500.0,212723420.962786,
Net Income From Continuing And Discontinued Operation,257800000.0,94700000.0,102200000.0,474800000.0,223900000.0,
Total Expenses,1387800000.0,970900000.0,1018900000.0,1423500000.0,1166000000.0,
Total Operating Income As Reported,515500000.0,297500000.0,262900000.0,759400000.0,416800000.0,
Diluted Average Shares,,473700000.0,472100000.0,472500000.0,,454500000.0
Basic Average Shares,,472100000.0,471000000.0,470400000.0,,451900000.0
Diluted EPS,,0.2,0.22,1.0,,0.19
Basic EPS,,0.2,0.22,1.01,,0.19
Diluted NI Availto Com Stockholders,256600000.0,94400000.0,101900000.0,474000000.0,223200000.0,
Average Dilution Earnings,1400000.0,-300000.0,-300000.0,-800000.0,900000.0,
Net Income Common Stockholders,255200000.0,94700000.0,102200000.0,474800000.0,222300000.0,
Otherunder Preferred Stock Dividend,2600000.0,0.0,0.0,0.0,1600000.0,
Preferred Stock Dividends,,,,,0.0,
Net Income,257800000.0,94700000.0,102200000.0,474800000.0,223900000.0,
Minority Interests,-20600000.0,-12300000.0,1700000.0,-51900000.0,-20400000.0,
Net Income Including Noncontrolling Interests,278400000.0,107000000.0,100500000.0,526700000.0,244300000.0,
Net Income Continuous Operations,278400000.0,107000000.0,100500000.0,526700000.0,244300000.0,
Tax Provision,53700000.0,20600000.0,23800000.0,105700000.0,48600000.0,
Pretax Income,332100000.0,127600000.0,124300000.0,632400000.0,292900000.0,
Other Income Expense,1400000.0,1400000.0,-2200000.0,4100000.0,5500000.0,
Other Non Operating Income Expenses,-5300000.0,-7700000.0,-9600000.0,-5400000.0,-7900000.0,
Special Income Charges,6700000.0,9100000.0,7400000.0,9500000.0,13400000.0,
Gain On Sale Of Ppe,300000.0,600000.0,-800000.0,,-1800000.0,500000.0
Other Special Charges,-6400000.0,-8500000.0,-8600000.0,-9200000.0,-18400000.0,
Write Off,0.0,0.0,400000.0,-300000.0,3200000.0,
Net Non Operating Interest Income Expense,-184400000.0,-176000000.0,-137600000.0,-130800000.0,-134400000.0,
Interest Expense Non Operating,210200000.0,179800000.0,139100000.0,132800000.0,142900000.0,
Interest Income Non Operating,2900000.0,3800000.0,1500000.0,2000000.0,2600000.0,
Operating Income,515100000.0,302200000.0,264100000.0,759700000.0,421800000.0,
Operating Expense,421200000.0,376200000.0,360900000.0,348200000.0,367700000.0,
Other Taxes,105800000.0,69300000.0,74200000.0,89600000.0,89600000.0,
Depreciation Amortization Depletion Income Statement,315400000.0,306900000.0,286700000.0,258600000.0,278100000.0,
Depreciation And Amortization In Income Statement,315400000.0,306900000.0,286700000.0,258600000.0,278100000.0,
Selling General And Administration,,,,3800000.0,3300000.0,5900000.0
General And Administrative Expense,,,,3800000.0,3300000.0,5900000.0
Salaries And Wages,,,,3800000.0,3300000.0,5900000.0
Gross Profit,936300000.0,678400000.0,625000000.0,1107900000.0,789500000.0,
Cost Of Revenue,966600000.0,594700000.0,658000000.0,1075300000.0,798300000.0,
Total Revenue,1902900000.0,1273100000.0,1283000000.0,2183200000.0,1587800000.0,
Operating Revenue,1886600000.0,1240200000.0,1246500000.0,2149500000.0,1539700000.0,
