,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0312,32599254,3295947685,-0.0042
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025,26160195,2644926603,0.0195
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,13349691,1349720553,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0126,13202338,1334822427,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117,12220736,1235577554,-0.0185
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0107,11211310,1133519535,-0.0119
6,2026-02-28,SELECT SECTOR SPDR TRT-State Street Technology Select Sector SPDR ETF,0.0077,8050066,813901949,-0.0162
7,2025-11-30,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.0066000004,6901455,697771630,0.0307
8,2025-12-31,"T. Rowe Price Blue Chip Growth Fund, Inc.",0.0062,6528373,660051174,0.0414
9,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0057,5953683,601947139,-0.0178
