,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0363,13440285,329757390,0.0056
1,2026-02-28,SELECT SECTOR SPDR TRT-State Street Communication Services Select Sect,0.0353,13081838,320962893,-0.0099
2,2025-12-31,Dodge & Cox Funds-Dodge & Cox Stock Fund,0.0269,9974090,244714296,0.0
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025799999,9560067,234556242,0.0126
4,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0149,5528710,135646899,-0.47669998
5,2025-12-31,"T. ROWE PRICE Eqy. INCOME Fd., INC.-T. Rowe Price Eqy. Income Fd.",0.0138,5100000,125128499,0.0
6,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013099999,4836656,118667354,-0.0104
7,2025-12-31,AMG Funds-AMG Yacktman Fund,0.012999999,4800000,117767999,0.0
8,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,4750444,116552142,0.00059999997
9,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.012,4447354,109115829,0.0586
