,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,"FMR, LLC",0.0917,23177657,4489280440,-0.0348
1,2025-12-31,Blackrock Inc.,0.0885,22351875,4329334723,0.0728
2,2025-12-31,JPMORGAN CHASE & CO,0.0806,20378690,3947148515,-0.5752
3,2025-12-31,Vanguard Group Inc,0.0539,13612546,2636614067,0.022
4,2025-12-31,"Wellington Management Group, LLP",0.051599998,13042581,2526217545,0.0365
5,2025-12-31,State Street Corporation,0.0437,11043159,2138949493,0.005
6,2025-12-31,Massachusetts Financial Services Co.,0.0311,7849741,1520416353,0.015700001
7,2025-12-31,Invesco Ltd.,0.0221,5574672,1079758233,0.1722
8,2025-12-31,"Geode Capital Management, LLC",0.0216,5463756,1058274912,0.0057
9,2025-12-31,Pictet Asset Management Holding SA,0.018,4547654,880835114,-0.0217
