,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,955099000.0,887965000.0,811826000.0,916434000.0,
Repurchase Of Capital Stock,-730338000.0,-967294000.0,-453613000.0,-1277219000.0,
Repayment Of Debt,-20000000.0,-20000000.0,-20000000.0,0.0,
Issuance Of Debt,,,,0.0,0.0
Capital Expenditure,-415034000.0,-771318000.0,-757309000.0,-775148000.0,
Interest Paid Supplemental Data,8553000.0,5672000.0,6848000.0,3953000.0,
Income Tax Paid Supplemental Data,331722000.0,337615000.0,361448000.0,396510000.0,
End Cash Position,120091000.0,108676000.0,433799000.0,186312000.0,
Beginning Cash Position,108676000.0,433799000.0,186312000.0,462564000.0,
Changes In Cash,11415000.0,-325123000.0,247487000.0,-276252000.0,
Financing Cash Flow,-992307000.0,-1233212000.0,-661828000.0,-1420362000.0,
Cash Flow From Continuing Financing Activities,-992307000.0,-1233212000.0,-661828000.0,-1420362000.0,
Net Other Financing Charges,-6328000.0,-22300000.0,-13126000.0,-8659000.0,
Cash Dividends Paid,-235641000.0,-223618000.0,-175089000.0,-134484000.0,
Common Stock Dividend Paid,-235641000.0,-223618000.0,-175089000.0,-134484000.0,
Net Common Stock Issuance,-730338000.0,-967294000.0,-453613000.0,-1277219000.0,
Common Stock Payments,-730338000.0,-967294000.0,-453613000.0,-1277219000.0,
Net Issuance Payments Of Debt,-20000000.0,-20000000.0,-20000000.0,0.0,
Net Long Term Debt Issuance,-20000000.0,-20000000.0,-20000000.0,0.0,
Long Term Debt Payments,-20000000.0,-20000000.0,-20000000.0,0.0,
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,-366411000.0,-751194000.0,-659820000.0,-547472000.0,
Cash Flow From Continuing Investing Activities,-366411000.0,-751194000.0,-659820000.0,-547472000.0,
Net Other Investing Changes,100000.0,,,,-500000.0
Net Investment Purchase And Sale,0.0,0.0,48852000.0,205580000.0,
Sale Of Investment,0.0,30000000.0,48852000.0,369300000.0,
Purchase Of Investment,0.0,-30000000.0,0.0,-163720000.0,
Net PPE Purchase And Sale,-366511000.0,-751194000.0,-708672000.0,-753052000.0,
Sale Of PPE,48523000.0,20124000.0,48637000.0,22096000.0,
Purchase Of PPE,-415034000.0,-771318000.0,-757309000.0,-775148000.0,
Operating Cash Flow,1370133000.0,1659283000.0,1569135000.0,1691582000.0,
Cash Flow From Continuing Operating Activities,1370133000.0,1659283000.0,1569135000.0,1691582000.0,
Change In Working Capital,-40458000.0,84158000.0,-55347000.0,-52777000.0,
Change In Other Working Capital,-27844000.0,23378000.0,-7238000.0,-4722000.0,
Change In Other Current Liabilities,-7053000.0,-8348000.0,-10295000.0,-39552000.0,
Change In Payables And Accrued Expense,-24548000.0,-10514000.0,4250000.0,29220000.0,
Change In Accrued Expense,4575000.0,10441000.0,-2249000.0,5464000.0,
Change In Payable,-29123000.0,-20955000.0,6499000.0,23756000.0,
Change In Account Payable,-29123000.0,-20955000.0,6499000.0,23756000.0,
Change In Prepaid Assets,-9363000.0,5562000.0,-38189000.0,-24714000.0,
Change In Receivables,28350000.0,74080000.0,-3875000.0,-13009000.0,
Other Non Cash Items,17652000.0,17186000.0,18665000.0,16658000.0,
Stock Based Compensation,12854000.0,11349000.0,11080000.0,15893000.0,
Deferred Tax,-11247000.0,19340000.0,53341000.0,62008000.0,
Deferred Income Tax,-11247000.0,19340000.0,53341000.0,62008000.0,
Depreciation Amortization Depletion,364691000.0,344578000.0,324449000.0,276066000.0,
Depreciation And Amortization,364691000.0,344578000.0,324449000.0,276066000.0,
Operating Gains Losses,2938000.0,-3401000.0,-22555000.0,-3425000.0,
Gain Loss On Sale Of PPE,2938000.0,-3401000.0,-22555000.0,-3425000.0,
Net Income From Continuing Operations,1023703000.0,1186073000.0,1239502000.0,1377159000.0,
