contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
OMC260417P00047500,2026-02-19 19:53:13+00:00,47.5,0.03,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
OMC260417P00050000,2025-11-03 15:28:16+00:00,50.0,0.6,0.0,0.75,0.0,0.0,1.0,32,1.5312523437499999,False,REGULAR,USD
OMC260417P00055000,2026-04-06 16:19:44+00:00,55.0,0.11,0.0,0.5,0.0,0.0,1.0,56,1.1416058544921874,False,REGULAR,USD
OMC260417P00060000,2026-04-01 14:46:04+00:00,60.0,0.23,0.05,0.2,0.0,0.0,1.0,142,0.7753928710937501,False,REGULAR,USD
OMC260417P00062500,2026-03-27 15:39:52+00:00,62.5,0.2,0.0,0.45,0.0,0.0,1.0,293,0.7490259472656251,False,REGULAR,USD
OMC260417P00065000,2026-03-31 17:56:21+00:00,65.0,0.2,0.0,0.75,0.0,0.0,1.0,194,0.7138700488281251,False,REGULAR,USD
OMC260417P00067500,2026-04-07 13:55:22+00:00,67.5,0.35,0.0,0.35,0.099999994,39.999996,1.0,206,0.57617611328125,False,REGULAR,USD
OMC260417P00070000,2026-04-07 15:14:27+00:00,70.0,0.28,0.25,0.35,-0.03999999,-12.499997,2738.0,268,0.450200810546875,False,REGULAR,USD
OMC260417P00072500,2026-04-06 19:10:00+00:00,72.5,0.7,0.55,0.7,0.0,0.0,13.0,98,0.41992767578125,False,REGULAR,USD
OMC260417P00075000,2026-04-06 15:29:35+00:00,75.0,1.27,1.15,1.35,0.0,0.0,13.0,157,0.3930724755859375,False,REGULAR,USD
OMC260417P00077500,2026-04-07 15:23:37+00:00,77.5,2.62,2.3,2.7,-0.08000016,-2.9629688,2.0,208,0.4194393994140625,True,REGULAR,USD
OMC260417P00080000,2026-04-07 15:23:37+00:00,80.0,4.14,3.8,4.6,-0.1800003,-4.1666737,1.0,183,0.47412635253906255,True,REGULAR,USD
OMC260417P00082500,2026-04-07 13:30:05+00:00,82.5,6.9,5.2,8.0,0.4500003,6.976749,1.0,1024,0.8112811840820311,True,REGULAR,USD
OMC260417P00085000,2026-03-16 13:52:55+00:00,85.0,7.5,7.5,10.3,0.0,0.0,1.0,42,0.5459029785156251,True,REGULAR,USD
OMC260417P00087500,2026-03-31 19:49:44+00:00,87.5,11.2,9.8,13.0,0.0,0.0,,0,0.6450230810546875,True,REGULAR,USD
OMC260417P00095000,2026-02-23 16:09:12+00:00,95.0,14.06,0.0,0.0,0.0,0.0,997.0,0,1.0000000000000003e-05,True,REGULAR,USD
OMC260417P00100000,2025-12-15 20:11:08+00:00,100.0,20.08,18.6,22.4,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
OMC260417P00105000,2026-02-26 16:20:45+00:00,105.0,20.9,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
