,2025-05-31,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Ordinary Shares Number,2807000000.0,2755000000.0,2713000000.0,2665000000.0,
Share Issued,2807000000.0,2755000000.0,2713000000.0,2665000000.0,
Net Debt,81782000000.0,76415000000.0,80716000000.0,54476000000.0,
Total Debt,104104000000.0,93124000000.0,90481000000.0,75859000000.0,
Tangible Book Value,-46343000000.0,-60416000000.0,-71025000000.0,-51471000000.0,
Invested Capital,113019000000.0,95573000000.0,91554000000.0,69639000000.0,
Working Capital,-8064000000.0,-8990000000.0,-2086000000.0,12122000000.0,
Net Tangible Assets,-46343000000.0,-60416000000.0,-71025000000.0,-51471000000.0,
Capital Lease Obligations,11536000000.0,6255000000.0,,,
Common Stock Equity,20451000000.0,8704000000.0,1073000000.0,-6220000000.0,
Total Capitalization,105748000000.0,84968000000.0,87493000000.0,65890000000.0,
Total Equity Gross Minority Interest,20969000000.0,9239000000.0,1556000000.0,-5768000000.0,
Minority Interest,518000000.0,535000000.0,483000000.0,452000000.0,
Stockholders Equity,20451000000.0,8704000000.0,1073000000.0,-6220000000.0,
Gains Losses Not Affecting Retained Earnings,-1175000000.0,-1432000000.0,-1522000000.0,-1692000000.0,
Other Equity Adjustments,-1175000000.0,-1432000000.0,-1522000000.0,-1692000000.0,
Retained Earnings,-15481000000.0,-22628000000.0,-27620000000.0,-31336000000.0,
Capital Stock,37107000000.0,32764000000.0,30215000000.0,26808000000.0,
Common Stock,37107000000.0,32764000000.0,30215000000.0,26808000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,147392000000.0,131737000000.0,132828000000.0,115065000000.0,
Total Non Current Liabilities Net Minority Interest,114749000000.0,100193000000.0,109738000000.0,95554000000.0,
Other Non Current Liabilities,7647000000.0,6857000000.0,6469000000.0,5203000000.0,
Derivative Product Liabilities,,,-52000000.0,-23000000.0,
Tradeand Other Payables Non Current,10269000000.0,10817000000.0,11077000000.0,12210000000.0,
Non Current Deferred Liabilities,,3692000000.0,5772000000.0,6031000000.0,7864000000.0
Non Current Deferred Taxes Liabilities,,3692000000.0,5772000000.0,6031000000.0,7864000000.0
Long Term Debt And Capital Lease Obligation,96833000000.0,82519000000.0,86420000000.0,72110000000.0,
Long Term Capital Lease Obligation,11536000000.0,6255000000.0,,,
Long Term Debt,85297000000.0,76264000000.0,86420000000.0,72110000000.0,
Current Liabilities,32643000000.0,31544000000.0,23090000000.0,19511000000.0,
Other Current Liabilities,8629000000.0,7353000000.0,6802000000.0,4144000000.0,
Current Deferred Liabilities,9387000000.0,9313000000.0,8970000000.0,8357000000.0,
Current Deferred Revenue,9387000000.0,9313000000.0,8970000000.0,8357000000.0,
Current Debt And Capital Lease Obligation,7271000000.0,10605000000.0,4061000000.0,3749000000.0,
Current Debt,7271000000.0,10605000000.0,4061000000.0,3749000000.0,
Other Current Borrowings,,,4061000000.0,3749000000.0,8250000000.0
Pensionand Other Post Retirement Benefit Plans Current,2243000000.0,1916000000.0,2053000000.0,1944000000.0,
Payables And Accrued Expenses,5113000000.0,2357000000.0,1204000000.0,1317000000.0,
Payables,5113000000.0,2357000000.0,1204000000.0,1317000000.0,
Accounts Payable,5113000000.0,2357000000.0,1204000000.0,1317000000.0,
Total Assets,168361000000.0,140976000000.0,134384000000.0,109297000000.0,
Total Non Current Assets,143782000000.0,118422000000.0,113380000000.0,77664000000.0,
Other Non Current Assets,21589000000.0,15493000000.0,11987000000.0,9915000000.0,
Non Current Deferred Assets,11877000000.0,12273000000.0,12226000000.0,12782000000.0,
Non Current Deferred Taxes Assets,11877000000.0,12273000000.0,12226000000.0,12782000000.0,
Goodwill And Other Intangible Assets,66794000000.0,69120000000.0,72098000000.0,45251000000.0,
Other Intangible Assets,4587000000.0,6890000000.0,9837000000.0,1440000000.0,
Goodwill,62207000000.0,62230000000.0,62261000000.0,43811000000.0,
Net PPE,43522000000.0,21536000000.0,17069000000.0,9716000000.0,
Accumulated Depreciation,-16032000000.0,-13282000000.0,-11605000000.0,-9958000000.0,
Gross PPE,59554000000.0,34818000000.0,28674000000.0,19674000000.0,
Construction In Progress,16510000000.0,5634000000.0,3846000000.0,512000000.0,
Machinery Furniture Equipment,30811000000.0,21452000000.0,17705000000.0,13267000000.0,
Buildings And Improvements,10881000000.0,6493000000.0,5880000000.0,4729000000.0,
Land And Improvements,1352000000.0,1239000000.0,1243000000.0,1166000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,24579000000.0,22554000000.0,21004000000.0,31633000000.0,
Other Current Assets,4818000000.0,4019000000.0,3902000000.0,3778000000.0,
Prepaid Assets,,,,3778000000.0,3604000000.0
Receivables,8558000000.0,7874000000.0,6915000000.0,5953000000.0,
Accounts Receivable,8558000000.0,7874000000.0,6915000000.0,5953000000.0,
Allowance For Doubtful Accounts Receivable,-557000000.0,-485000000.0,-428000000.0,-362000000.0,
Gross Accounts Receivable,9115000000.0,8359000000.0,7343000000.0,6315000000.0,
Cash Cash Equivalents And Short Term Investments,11203000000.0,10661000000.0,10187000000.0,21902000000.0,
Other Short Term Investments,417000000.0,207000000.0,422000000.0,519000000.0,
Cash And Cash Equivalents,10786000000.0,10454000000.0,9765000000.0,21383000000.0,
