,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,772000000.0,337000000.0,179000000.0,156000000.0,651000000.0,
Repurchase Of Capital Stock,0.0,-248000000.0,-308000000.0,-253000000.0,-207000000.0,
Repayment Of Debt,0.0,0.0,,,,
Issuance Of Debt,135000000.0,,,,1497000000.0,
Capital Expenditure,-45000000.0,-37000000.0,-36000000.0,-34000000.0,-39000000.0,
End Cash Position,1096000000.0,840000000.0,688000000.0,1918000000.0,2300000000.0,
Other Cash Adjustment Outside Changein Cash,4000000.0,2000000.0,-4000000.0,-11000000.0,-16000000.0,
Beginning Cash Position,840000000.0,688000000.0,1918000000.0,2321000000.0,827000000.0,
Effect Of Exchange Rate Changes,-4000000.0,0.0,12000000.0,7000000.0,-40000000.0,
Changes In Cash,256000000.0,150000000.0,-1238000000.0,-399000000.0,1529000000.0,
Financing Cash Flow,-531000000.0,-168000000.0,-1294000000.0,-428000000.0,793000000.0,
Cash Flow From Continuing Financing Activities,-531000000.0,-168000000.0,-1294000000.0,-428000000.0,793000000.0,
Net Other Financing Charges,-229000000.0,-63000000.0,-6000000.0,-9000000.0,-27000000.0,
Cash Dividends Paid,-164000000.0,-164000000.0,-164000000.0,-155000000.0,-156000000.0,
Common Stock Dividend Paid,-164000000.0,-164000000.0,-164000000.0,-155000000.0,-156000000.0,
Net Common Stock Issuance,0.0,-248000000.0,-308000000.0,-253000000.0,-207000000.0,
Common Stock Payments,0.0,-248000000.0,-308000000.0,-253000000.0,-207000000.0,
Net Issuance Payments Of Debt,-138000000.0,307000000.0,-816000000.0,-11000000.0,1183000000.0,
Net Short Term Debt Issuance,-273000000.0,-225000000.0,484000000.0,-11000000.0,-314000000.0,
Net Long Term Debt Issuance,135000000.0,532000000.0,,,1497000000.0,0.0
Long Term Debt Payments,0.0,0.0,,,,
Long Term Debt Issuance,135000000.0,,,,1497000000.0,
Investing Cash Flow,-30000000.0,-56000000.0,-159000000.0,-161000000.0,46000000.0,
Cash Flow From Continuing Investing Activities,-30000000.0,-56000000.0,-159000000.0,-161000000.0,46000000.0,
Net Other Investing Changes,0.0,1000000.0,-4000000.0,2000000.0,6000000.0,
Net Investment Purchase And Sale,7000000.0,-11000000.0,-107000000.0,-93000000.0,96000000.0,
Net Business Purchase And Sale,-17000000.0,-10000000.0,-46000000.0,-36000000.0,-17000000.0,
Purchase Of Business,-17000000.0,-10000000.0,-46000000.0,-36000000.0,-17000000.0,
Net PPE Purchase And Sale,25000000.0,1000000.0,,,,
Sale Of PPE,25000000.0,1000000.0,,,,
Capital Expenditure Reported,-45000000.0,-37000000.0,-36000000.0,-34000000.0,-39000000.0,
Operating Cash Flow,817000000.0,374000000.0,215000000.0,190000000.0,690000000.0,
Cash Flow From Continuing Operating Activities,817000000.0,374000000.0,215000000.0,190000000.0,690000000.0,
Change In Working Capital,382000000.0,-53000000.0,-137000000.0,-133000000.0,276000000.0,
Change In Other Working Capital,-87000000.0,-54000000.0,-190000000.0,260000000.0,-63000000.0,
Change In Other Current Assets,149000000.0,66000000.0,12000000.0,-2000000.0,19000000.0,
Change In Payables And Accrued Expense,213000000.0,17000000.0,80000000.0,-269000000.0,255000000.0,
Change In Accrued Expense,-161000000.0,-2000000.0,11000000.0,12000000.0,83000000.0,
Change In Payable,374000000.0,19000000.0,69000000.0,-281000000.0,172000000.0,
Change In Account Payable,374000000.0,19000000.0,69000000.0,-281000000.0,172000000.0,
Change In Inventory,27000000.0,-37000000.0,3000000.0,-18000000.0,40000000.0,
Change In Receivables,80000000.0,-45000000.0,-42000000.0,-104000000.0,25000000.0,
Changes In Account Receivables,80000000.0,-45000000.0,-42000000.0,-104000000.0,25000000.0,
Other Non Cash Items,-9000000.0,0.0,-64000000.0,4000000.0,-3000000.0,
Stock Based Compensation,17000000.0,19000000.0,23000000.0,21000000.0,21000000.0,
Deferred Tax,-2000000.0,-28000000.0,-74000000.0,0.0,-5000000.0,
Deferred Income Tax,-2000000.0,-28000000.0,-74000000.0,0.0,-5000000.0,
Depreciation Amortization Depletion,45000000.0,44000000.0,44000000.0,42000000.0,48000000.0,
Depreciation And Amortization,45000000.0,44000000.0,44000000.0,42000000.0,48000000.0,
Net Income From Continuing Operations,384000000.0,392000000.0,423000000.0,256000000.0,353000000.0,
