,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,"Berkshire Hathaway, Inc",0.2672,264941431,16605203985,0.0
1,2025-12-31,Vanguard Group Inc,0.0907,89900677,5634524862,0.0078
2,2025-12-31,Dodge & Cox Inc.,0.0801,79473071,4980974664,-0.0050999997
3,2025-12-31,Blackrock Inc.,0.051,50613910,3172226770,0.0238
4,2025-12-31,State Street Corporation,0.0399,39539743,2478153362,0.0214
5,2025-12-31,"Geode Capital Management, LLC",0.019,18846231,1181187513,0.009
6,2025-12-31,"H&H International Investment, LLC",0.013300001,13172600,825592694,-0.028299998
7,2025-12-31,Morgan Stanley,0.0115,11398589,714406556,-0.1398
8,2025-12-31,Dimensional Fund Advisors LP,0.0107,10602660,664521707,0.216
9,2025-12-31,Invesco Ltd.,0.0068,6730847,421855830,0.1894
