contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PANW260410C00075000,2026-04-07 15:15:41+00:00,75.0,85.57,83.65,87.5,-0.6500015,-0.7538872,7.0,3,3.8007817480468753,True,REGULAR,USD
PANW260410C00080000,2026-04-07 15:15:41+00:00,80.0,80.67,78.75,82.6,-1.7400055,-2.1114008,8.0,3,3.6406258984375004,True,REGULAR,USD
PANW260410C00085000,2026-04-07 13:31:12+00:00,85.0,76.27,73.7,77.8,-1.2400055,-1.5998006,1.0,1,3.5644542138671875,True,REGULAR,USD
PANW260410C00100000,2026-04-07 13:31:55+00:00,100.0,61.26,58.7,64.65,-0.34000015,-0.5519483,1.0,1,3.7431647045898435,True,REGULAR,USD
PANW260410C00105000,2026-04-07 13:31:55+00:00,105.0,56.27,53.75,59.25,-0.4300003,-0.75837797,1.0,3,3.2832049169921875,True,REGULAR,USD
PANW260410C00120000,2026-04-02 15:15:41+00:00,120.0,40.83,38.7,44.75,0.0,0.0,1.0,1,2.636722158203125,True,REGULAR,USD
PANW260410C00125000,2026-04-07 13:42:29+00:00,125.0,36.59,33.75,39.4,4.84,15.244095,1.0,0,2.2675824560546873,True,REGULAR,USD
PANW260410C00135000,2026-03-04 16:23:38+00:00,135.0,25.05,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
PANW260410C00140000,2026-04-06 14:49:22+00:00,140.0,20.35,19.2,24.8,0.0,0.0,2.0,38,1.619142529296875,True,REGULAR,USD
PANW260410C00142000,2026-04-06 14:29:24+00:00,142.0,20.8,17.25,22.75,0.0,0.0,1.0,6,1.5068384033203124,True,REGULAR,USD
PANW260410C00143000,2026-04-02 15:29:24+00:00,143.0,19.95,16.25,21.1,0.0,0.0,24.0,26,1.307620649414062,True,REGULAR,USD
PANW260410C00144000,2026-04-02 13:39:36+00:00,144.0,15.39,15.4,20.85,0.0,0.0,1.0,3,0.5429733203125001,True,REGULAR,USD
PANW260410C00145000,2026-04-07 13:37:11+00:00,145.0,16.35,14.7,18.8,-0.9300003,-5.381946,20.0,72,1.1416058544921874,True,REGULAR,USD
PANW260410C00146000,2026-04-07 13:40:00+00:00,146.0,15.3,13.4,17.15,-0.48999977,-3.1032286,14.0,35,0.9301764794921875,True,REGULAR,USD
PANW260410C00147000,2026-04-07 13:59:29+00:00,147.0,14.52,12.9,16.35,0.70000076,5.065129,2.0,62,0.9399420068359375,True,REGULAR,USD
PANW260410C00148000,2026-04-07 15:48:43+00:00,148.0,13.47,9.7,17.25,-1.0699997,-7.3590074,36.0,36,1.3012730249023434,True,REGULAR,USD
PANW260410C00149000,2026-04-07 15:48:43+00:00,149.0,12.48,8.7,16.25,-1.0400009,-7.692314,46.0,20,1.2480506347656248,True,REGULAR,USD
PANW260410C00150000,2026-04-07 15:20:52+00:00,150.0,12.19,11.05,13.35,-0.14000034,-1.1354448,44.0,44,0.8071308349609375,True,REGULAR,USD
PANW260410C00152500,2026-04-07 15:20:52+00:00,152.5,9.77,8.6,10.9,-0.23999977,-2.3976002,15.0,59,0.7048369360351563,True,REGULAR,USD
PANW260410C00155000,2026-04-07 13:53:14+00:00,155.0,7.52,6.65,8.25,-0.9699998,-11.425203,2.0,167,0.5576216113281252,True,REGULAR,USD
PANW260410C00157500,2026-04-07 15:41:11+00:00,157.5,5.67,5.0,5.65,-0.23000002,-3.8983054,18.0,181,0.41870698486328123,True,REGULAR,USD
PANW260410C00160000,2026-04-07 15:50:16+00:00,160.0,3.76,3.4,4.0,-0.3900001,-9.397593,13.0,688,0.42383388671875,True,REGULAR,USD
PANW260410C00162500,2026-04-07 15:32:25+00:00,162.5,2.36,2.06,2.62,-0.36000013,-13.2353,27.0,425,0.41797457031249996,False,REGULAR,USD
PANW260410C00165000,2026-04-07 15:52:26+00:00,165.0,1.35,1.21,1.54,-0.28999996,-17.682924,64.0,950,0.40454697021484376,False,REGULAR,USD
PANW260410C00167500,2026-04-07 15:45:19+00:00,167.5,0.75,0.63,0.82,-0.14999998,-16.666664,33.0,1508,0.39453730468750003,False,REGULAR,USD
PANW260410C00170000,2026-04-07 15:56:12+00:00,170.0,0.36,0.29,0.41,-0.089999974,-19.999994,51.0,2025,0.39160764648437496,False,REGULAR,USD
PANW260410C00172500,2026-04-07 15:45:19+00:00,172.5,0.17,0.13,0.2,0.0,0.0,9.0,968,0.39551385742187506,False,REGULAR,USD
PANW260410C00175000,2026-04-07 15:53:57+00:00,175.0,0.07,0.04,0.1,0.0,0.0,855.0,1365,0.4062559375,False,REGULAR,USD
PANW260410C00177500,2026-04-07 15:35:00+00:00,177.5,0.04,0.01,1.64,0.0,0.0,7.0,64,0.7534204345703125,False,REGULAR,USD
PANW260410C00180000,2026-04-07 14:14:42+00:00,180.0,0.04,0.01,0.1,0.0,0.0,3.0,419,0.523442265625,False,REGULAR,USD
PANW260410C00182500,2026-04-06 19:31:54+00:00,182.5,0.04,0.0,0.1,0.0,0.0,5.0,15,0.523442265625,False,REGULAR,USD
PANW260410C00185000,2026-04-07 15:19:22+00:00,185.0,0.01,0.0,0.1,-0.02,-66.66667,1.0,102,0.5742230078125,False,REGULAR,USD
PANW260410C00187500,2026-04-07 15:32:15+00:00,187.5,0.06,0.0,0.08,0.009999998,19.999994,3.0,2,0.6054726953125001,False,REGULAR,USD
PANW260410C00190000,2026-04-07 15:32:15+00:00,190.0,0.04,0.0,0.05,0.02,100.0,3.0,39,0.6171913281250001,False,REGULAR,USD
PANW260410C00195000,2026-04-06 14:00:06+00:00,195.0,0.05,0.0,1.5,0.0,0.0,2.0,26,1.2216835791015623,False,REGULAR,USD
PANW260410C00200000,2026-03-16 16:50:15+00:00,200.0,0.01,0.0,0.01,0.0,0.0,1.0,3,0.6718782812500002,False,REGULAR,USD
PANW260410C00210000,2026-03-26 14:34:00+00:00,210.0,0.07,0.0,4.3,0.0,0.0,,1,2.041997082519531,False,REGULAR,USD
PANW260410C00220000,2026-04-06 13:30:15+00:00,220.0,0.01,,4.3,0.0,0.0,,1,2.8178740490722656,False,REGULAR,USD
