,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.238,0.238,0.24,0.237
Normalized EBITDA,2490800000.0,2431800000.0,2261500000.0,2053000000.0
Net Income From Continuing Operation Net Minority Interest,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Reconciled Depreciation,209500000.0,176500000.0,176600000.0,191800000.0
Reconciled Cost Of Revenue,1540400000.0,1479300000.0,1453000000.0,1356300000.0
EBITDA,2490800000.0,2431800000.0,2261500000.0,2053000000.0
EBIT,2281300000.0,2255300000.0,2084900000.0,1861200000.0
Net Interest Income,-32600000.0,45400000.0,12400000.0,-33700000.0
Interest Expense,105400000.0,37300000.0,36700000.0,36600000.0
Interest Income,72800000.0,82700000.0,49100000.0,2900000.0
Normalized Income,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Net Income From Continuing And Discontinued Operation,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Total Expenses,3364000000.0,3104200000.0,2974000000.0,2771700000.0
Total Operating Income As Reported,2207700000.0,2174100000.0,2033100000.0,1840000000.0
Diluted Average Shares,362000000.0,362100000.0,362300000.0,363100000.0
Basic Average Shares,360200000.0,360300000.0,360400000.0,360600000.0
Diluted EPS,4.58,4.67,4.3,3.84
Basic EPS,4.6,4.69,4.32,3.86
Diluted NI Availto Com Stockholders,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Net Income Common Stockholders,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Net Income,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Net Income Including Noncontrolling Interests,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Net Income Continuous Operations,1657300000.0,1690400000.0,1557300000.0,1392800000.0
Tax Provision,518600000.0,527600000.0,490900000.0,431800000.0
Pretax Income,2175900000.0,2218000000.0,2048200000.0,1824600000.0
Other Income Expense,800000.0,-1500000.0,2700000.0,18300000.0
Other Non Operating Income Expenses,800000.0,-1500000.0,2700000.0,18300000.0
Net Non Operating Interest Income Expense,-32600000.0,45400000.0,12400000.0,-33700000.0
Interest Expense Non Operating,105400000.0,37300000.0,36700000.0,36600000.0
Interest Income Non Operating,72800000.0,82700000.0,49100000.0,2900000.0
Operating Income,2207700000.0,2174100000.0,2033100000.0,1840000000.0
Operating Expense,1823600000.0,1624900000.0,1521000000.0,1415400000.0
Selling General And Administration,1823600000.0,1624900000.0,1521000000.0,1415400000.0
Gross Profit,4031300000.0,3799000000.0,3554100000.0,3255400000.0
Cost Of Revenue,1540400000.0,1479300000.0,1453000000.0,1356300000.0
Total Revenue,5571700000.0,5278300000.0,5007100000.0,4611700000.0
Operating Revenue,5410000000.0,5132000000.0,4907300000.0,4554000000.0
