,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.12020001,264237462,4636046290,0.0104
1,2025-12-31,Blackrock Inc.,0.0929,204204747,3582772301,0.0296
2,2025-12-31,State Street Corporation,0.0558,122593181,2150897369,0.0364
3,2025-12-31,"FMR, LLC",0.052699998,115753262,2030890990,-0.061100002
4,2025-12-31,Massachusetts Financial Services Co.,0.052600004,115610105,2028379301,-0.0633
5,2025-12-31,"AQR Capital Management, LLC",0.0341,74844566,1313147916,0.6065
6,2025-12-31,"Geode Capital Management, LLC",0.028299998,62134132,1090143350,0.0186
7,2025-12-31,Deutsche Bank AG,0.019199999,42284395,741879713,0.0551
8,2025-12-31,"Ameriprise Financial, Inc.",0.0164,35968234,631062668,-0.0034
9,2025-12-31,Price (T.Rowe) Associates Inc,0.0162,35555307,623817864,-0.0376
