,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1890000.0,10064000.0,20370000.0,862236.628849,-21210000.0,
Tax Rate For Calcs,0.21,0.136,0.194,0.045381,0.21,
Normalized EBITDA,905000000.0,1263000000.0,1225000000.0,1212000000.0,846000000.0,
Total Unusual Items,-9000000.0,74000000.0,105000000.0,19000000.0,-101000000.0,
Total Unusual Items Excluding Goodwill,-9000000.0,74000000.0,105000000.0,19000000.0,-101000000.0,
Net Income From Continuing Operation Net Minority Interest,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Reconciled Depreciation,366000000.0,364000000.0,356000000.0,373000000.0,354000000.0,
Reconciled Cost Of Revenue,2038000000.0,2007000000.0,1632000000.0,2052000000.0,1660000000.0,
EBITDA,896000000.0,1337000000.0,1330000000.0,1231000000.0,745000000.0,
EBIT,530000000.0,973000000.0,974000000.0,858000000.0,391000000.0,
Net Interest Income,-192000000.0,-224000000.0,-210000000.0,-213000000.0,-169000000.0,
Interest Expense,219000000.0,253000000.0,248000000.0,241000000.0,191000000.0,
Interest Income,27000000.0,29000000.0,38000000.0,28000000.0,22000000.0,
Normalized Income,322110000.0,558064000.0,500370000.0,570862236.628849,365790000.0,
Net Income From Continuing And Discontinued Operation,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Total Expenses,2404000000.0,2371000000.0,1988000000.0,2425000000.0,2014000000.0,
Total Operating Income As Reported,511000000.0,855000000.0,817000000.0,797000000.0,445000000.0,
Diluted Average Shares,501000000.0,501000000.0,500000000.0,500000000.0,500000000.0,
Basic Average Shares,499000000.0,499000000.0,499000000.0,498000000.0,498000000.0,
Diluted EPS,0.628743,1.24,1.17,1.178,0.57,
Basic EPS,0.63,1.25,1.172345,1.18,0.57,
Diluted NI Availto Com Stockholders,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Net Income Common Stockholders,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Net Income,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Net Income Including Noncontrolling Interests,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Net Income Continuous Operations,315000000.0,622000000.0,585000000.0,589000000.0,286000000.0,
Tax Provision,-4000000.0,98000000.0,141000000.0,28000000.0,-86000000.0,
Pretax Income,311000000.0,720000000.0,726000000.0,617000000.0,200000000.0,
Other Income Expense,-8000000.0,89000000.0,119000000.0,33000000.0,-82000000.0,
Other Non Operating Income Expenses,1000000.0,15000000.0,14000000.0,14000000.0,20000000.0,
Special Income Charges,,12000000.0,10000000.0,11000000.0,-37000000.0,11000000.0
Other Special Charges,,-12000000.0,-10000000.0,-11000000.0,,-11000000.0
Earnings From Equity Interest,,0.0,0.0,,-1000000.0,1000000.0
Gain On Sale Of Security,24000000.0,62000000.0,95000000.0,8000000.0,-64000000.0,
Net Non Operating Interest Income Expense,-192000000.0,-224000000.0,-210000000.0,-213000000.0,-169000000.0,
Interest Expense Non Operating,219000000.0,253000000.0,248000000.0,241000000.0,191000000.0,
Interest Income Non Operating,27000000.0,29000000.0,38000000.0,28000000.0,22000000.0,
Operating Income,511000000.0,855000000.0,817000000.0,797000000.0,451000000.0,
Operating Expense,318000000.0,311000000.0,308000000.0,320000000.0,308000000.0,
Depreciation Amortization Depletion Income Statement,318000000.0,311000000.0,308000000.0,320000000.0,308000000.0,
Depreciation And Amortization In Income Statement,318000000.0,311000000.0,308000000.0,320000000.0,308000000.0,
Gross Profit,829000000.0,1166000000.0,1125000000.0,1117000000.0,759000000.0,
Cost Of Revenue,2086000000.0,2060000000.0,1680000000.0,2105000000.0,1706000000.0,
Total Revenue,2915000000.0,3226000000.0,2805000000.0,3222000000.0,2465000000.0,
Operating Revenue,2915000000.0,3226000000.0,2805000000.0,3222000000.0,2465000000.0,
