,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.0952,541346182,14535145193,0.013200001
1,2025-12-31,Blackrock Inc.,0.0867,493062528,13238729064,-0.0088
2,2025-12-31,State Street Corporation,0.052800003,300445164,8066952768,0.0045
3,2025-12-31,"Geode Capital Management, LLC",0.0229,130192081,3495657424,0.0092
4,2025-12-31,Morgan Stanley,0.015700001,89113604,2392700301,0.1918
5,2025-12-31,NORGES BANK,0.0128999995,73533577,1974376570,-0.2148
6,2025-12-31,Northern Trust Corporation,0.0111,63250589,1698278338,-0.012
7,2025-12-31,Massachusetts Financial Services Co.,0.0098,55873002,1500190125,-0.0298
8,2025-12-31,State Farm Mutual Automobile Insurance Co,0.0095999995,54508560,1463554856,0.0
9,2025-12-31,"Wellington Management Group, LLP",0.0092,52094310,1398732243,-0.1384
