,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0247,6872991,618500445,-0.0175
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.018099999,5044064,453915308,0.0088
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0172,4781481,430285464,-0.0297
3,2026-01-31,Income Fund of America,0.0105,2931097,263769412,1.0
4,2026-01-31,iShares Trust-iShares Select Dividend ETF,0.0092,2555040,229928044,-0.016900001
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0092,2570034,231277354,-0.0105
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0091,2544272,228959031,0.0017
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0085,2355020,211928244,-0.0185
8,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0073,2021762,181938358,0.0128999995
9,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.0064,1767576,159064160,0.0587
