,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1348156.182213,-702722.658053,-3655700.0,0.0,-1132321.041215,
Tax Rate For Calcs,0.12256,0.149515,0.139,0.153,0.097614,
Normalized EBITDA,243400000.0,265000000.0,245600000.0,231600000.0,240100000.0,
Total Unusual Items,-11000000.0,-4700000.0,-26300000.0,,-11600000.0,-29100000.0
Total Unusual Items Excluding Goodwill,-11000000.0,-4700000.0,-26300000.0,,-11600000.0,-29100000.0
Net Income From Continuing Operation Net Minority Interest,161800000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Reconciled Depreciation,30600000.0,29200000.0,28900000.0,29000000.0,28900000.0,
Reconciled Cost Of Revenue,608700000.0,603400000.0,666500000.0,607100000.0,595300000.0,
EBITDA,232400000.0,260300000.0,219300000.0,231600000.0,228500000.0,
EBIT,201800000.0,231100000.0,190400000.0,202600000.0,199600000.0,
Net Interest Income,-17400000.0,-14400000.0,-17900000.0,-19700000.0,-15200000.0,
Interest Expense,17400000.0,14400000.0,17900000.0,19700000.0,15200000.0,
Normalized Income,171451843.817787,188297277.341947,171144300.0,154900000.0,176867678.958785,
Net Income From Continuing And Discontinued Operation,166100000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Total Expenses,804500000.0,785600000.0,905400000.0,807300000.0,766200000.0,
Total Operating Income As Reported,205000000.0,231700000.0,217700000.0,203100000.0,195100000.0,
Diluted Average Shares,164700000.0,165100000.0,165700000.0,166300000.0,166800000.0,
Basic Average Shares,163400000.0,163800000.0,164500000.0,164900000.0,165200000.0,
Diluted EPS,1.01,1.12,0.9,0.93,0.99,
Basic EPS,1.02,1.13,0.9,0.94,1.01,
Diluted NI Availto Com Stockholders,166100000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Net Income Common Stockholders,166100000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Net Income,166100000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Net Income Including Noncontrolling Interests,166100000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Net Income Discontinuous Operations,4300000.0,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,161800000.0,184300000.0,148500000.0,154900000.0,166400000.0,
Tax Provision,22600000.0,32400000.0,24000000.0,28000000.0,18000000.0,
Pretax Income,184400000.0,216700000.0,172500000.0,182900000.0,184400000.0,
Other Income Expense,-14200000.0,-5300000.0,-27300000.0,-500000.0,-7100000.0,
Other Non Operating Income Expenses,-3200000.0,-600000.0,-1000000.0,-500000.0,4500000.0,
Special Income Charges,-11000000.0,-4700000.0,-26300000.0,,-11600000.0,-29100000.0
Gain On Sale Of Business,0.0,0.0,-26300000.0,,,
Write Off,,400000.0,,,500000.0,5700000.0
Restructuring And Mergern Acquisition,9900000.0,4300000.0,,,11100000.0,23400000.0
Net Non Operating Interest Income Expense,-17400000.0,-14400000.0,-17900000.0,-19700000.0,-15200000.0,
Interest Expense Non Operating,17400000.0,14400000.0,17900000.0,19700000.0,15200000.0,
Operating Income,216000000.0,236400000.0,217700000.0,203100000.0,206700000.0,
Operating Expense,195800000.0,182200000.0,238900000.0,200200000.0,170900000.0,
Research And Development,22500000.0,24700000.0,25100000.0,23600000.0,21800000.0,
Selling General And Administration,173300000.0,157500000.0,213800000.0,176600000.0,149100000.0,
General And Administrative Expense,173300000.0,157500000.0,,,149100000.0,161300000.0
Other Gand A,173300000.0,157500000.0,,,149100000.0,161300000.0
Gross Profit,411800000.0,418600000.0,456600000.0,403300000.0,377600000.0,
Cost Of Revenue,608700000.0,603400000.0,666500000.0,607100000.0,595300000.0,
Total Revenue,1020500000.0,1022000000.0,1123100000.0,1010400000.0,972900000.0,
Operating Revenue,1020500000.0,1022000000.0,1123100000.0,1010400000.0,972900000.0,
