,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.122,19718648,1709409643,-0.0075
1,2025-12-31,Blackrock Inc.,0.0943,15246769,1321742441,-0.0053
2,2025-12-31,State Street Corporation,0.053400002,8622101,747449956,-0.0121
3,2025-12-31,Price (T.Rowe) Associates Inc,0.046,7433157,644380398,-0.0256
4,2025-12-31,"FMR, LLC",0.0373,6027858,522555024,-0.0014
5,2025-12-31,"Geode Capital Management, LLC",0.0274,4428737,383927221,0.0322
6,2025-12-31,Pictet Asset Management Holding SA,0.026099999,4223831,366163919,-0.1181
7,2025-12-31,Amundi,0.0232,3745901,324732166,-0.0175
8,2025-12-31,Nordea Investment Management AB,0.0216,3484915,302107289,0.2281
9,2025-12-31,Invesco Ltd.,0.0211,3414386,295993130,0.0307
