,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,6271000000.0,8502000000.0,6510000000.0,5158000000.0,
Repurchase Of Capital Stock,-1000000000.0,-1000000000.0,-1012000000.0,-1488000000.0,
Repayment Of Debt,-1985000000.0,-1431000000.0,-2318000000.0,-1184000000.0,
Issuance Of Debt,2759000000.0,2859000000.0,2076000000.0,2843000000.0,
Interest Paid Supplemental Data,1907000000.0,1995000000.0,1555000000.0,1452000000.0,
Income Tax Paid Supplemental Data,1398000000.0,756000000.0,895000000.0,1090000000.0,
End Cash Position,19749000000.0,18520000000.0,19463000000.0,17299000000.0,
Beginning Cash Position,18520000000.0,19463000000.0,17299000000.0,12934000000.0,
Effect Of Exchange Rate Changes,77000000.0,-254000000.0,37000000.0,-159000000.0,
Changes In Cash,1152000000.0,-689000000.0,2127000000.0,4524000000.0,
Other Cash Adjustment Inside Changein Cash,,0.0,0.0,2071000000.0,-2071000000.0
Financing Cash Flow,20773000000.0,19394000000.0,7739000000.0,4933000000.0,
Cash Flow From Continuing Financing Activities,20773000000.0,19394000000.0,7739000000.0,4933000000.0,
Net Other Financing Charges,20486000000.0,17355000000.0,10859000000.0,8171000000.0,
Proceeds From Stock Option Exercised,109000000.0,201000000.0,126000000.0,163000000.0,
Cash Dividends Paid,-1926000000.0,-1891000000.0,-1846000000.0,-1817000000.0,
Common Stock Dividend Paid,-1926000000.0,-1891000000.0,-1846000000.0,-1817000000.0,
Net Common Stock Issuance,-1000000000.0,-1000000000.0,-1012000000.0,-1488000000.0,
Common Stock Payments,-1000000000.0,-1000000000.0,-1012000000.0,-1488000000.0,
Net Issuance Payments Of Debt,1223000000.0,845000000.0,-232000000.0,1445000000.0,
Net Short Term Debt Issuance,449000000.0,-583000000.0,10000000.0,-214000000.0,
Net Long Term Debt Issuance,774000000.0,1428000000.0,-242000000.0,1659000000.0,
Long Term Debt Payments,-1985000000.0,-1431000000.0,-2318000000.0,-1184000000.0,
Long Term Debt Issuance,2759000000.0,2859000000.0,2076000000.0,2843000000.0,
Investing Cash Flow,-25892000000.0,-28585000000.0,-12122000000.0,-7638000000.0,
Cash Flow From Continuing Investing Activities,-25892000000.0,-28585000000.0,-12122000000.0,-7638000000.0,
Net Other Investing Changes,-207000000.0,-50000000.0,-676000000.0,-98000000.0,
Net Investment Purchase And Sale,-24111000000.0,-25238000000.0,-9334000000.0,-8535000000.0,
Sale Of Investment,94476000000.0,104973000000.0,86256000000.0,110051000000.0,
Purchase Of Investment,-118587000000.0,-130211000000.0,-95590000000.0,-118586000000.0,
Net Business Purchase And Sale,,0.0,0.0,422000000.0,132000000.0
Sale Of Business,,0.0,0.0,422000000.0,132000000.0
Purchase Of Business,,,,,0.0
Operating Cash Flow,6271000000.0,8502000000.0,6510000000.0,5158000000.0,
Cash Flow From Continuing Operating Activities,6271000000.0,8502000000.0,6510000000.0,5158000000.0,
Change In Working Capital,-4588000000.0,-412000000.0,-958000000.0,-194000000.0,
Change In Other Working Capital,-6866000000.0,-4104000000.0,-5578000000.0,-5604000000.0,
Other Non Cash Items,-2028000000.0,-2128000000.0,-2186000000.0,-2230000000.0,
Asset Impairment Charge,0.0,0.0,177000000.0,903000000.0,
Depreciation And Amortization,128000000.0,383000000.0,-70000000.0,117000000.0,
Operating Gains Losses,971000000.0,3512000000.0,878000000.0,2784000000.0,
Earnings Losses From Equity Investments,-25000000.0,-57000000.0,-72000000.0,120000000.0,
Gain Loss On Investment Securities,996000000.0,3569000000.0,950000000.0,2664000000.0,
Net Income From Continuing Operations,3732000000.0,2846000000.0,2508000000.0,-1675000000.0,
