,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-7800750.0,-1660040.0,-1484753.592946,-5156169.602748,
Tax Rate For Calcs,0.25,0.235,0.226059,0.273117,
Normalized EBITDA,2592486000.0,2164103000.0,1777237000.0,1491748000.0,
Total Unusual Items,-31203000.0,-7064000.0,-6568000.0,-18879000.0,
Total Unusual Items Excluding Goodwill,-31203000.0,-7064000.0,-6568000.0,-18879000.0,
Net Income From Continuing Operation Net Minority Interest,1028378000.0,904824000.0,744689000.0,491189000.0,
Reconciled Depreciation,910333000.0,742322000.0,613800000.0,644620000.0,
Reconciled Cost Of Revenue,23793078000.0,19802671000.0,17620334000.0,14254101000.0,
EBITDA,2561283000.0,2157039000.0,1770669000.0,1472869000.0,
EBIT,1650950000.0,1414717000.0,1156869000.0,828249000.0,
Net Interest Income,-245743000.0,-170283000.0,-176083000.0,-121757000.0,
Interest Expense,261445000.0,202687000.0,186913000.0,124363000.0,
Interest Income,15702000.0,32404000.0,10830000.0,2606000.0,
Normalized Income,1051780250.0,910227960.0,749772246.407054,504911830.397252,
Net Income From Continuing And Discontinued Operation,1028378000.0,904824000.0,744689000.0,491189000.0,
Total Expenses,26892620000.0,22369747000.0,19789271000.0,16235432000.0,
Total Operating Income As Reported,1611509000.0,1346468000.0,1127976000.0,872058000.0,
Diluted Average Shares,151291000.0,150056000.0,148823000.0,147992000.0,
Basic Average Shares,148790000.0,146929000.0,145222000.0,143488000.0,
Diluted EPS,6.8,6.03,5.0,3.32,
Basic EPS,6.91,6.16,5.13,3.42,
Diluted NI Availto Com Stockholders,1028378000.0,904824000.0,744689000.0,491189000.0,
Net Income Common Stockholders,1028378000.0,904824000.0,744689000.0,491189000.0,
Net Income,1028378000.0,904824000.0,744689000.0,491189000.0,
Minority Interests,-13539000.0,-22459000.0,-6000000.0,-20454000.0,
Net Income Including Noncontrolling Interests,1041917000.0,927283000.0,750689000.0,511643000.0,
Net Income Continuous Operations,1041917000.0,927283000.0,750689000.0,511643000.0,
Tax Provision,347588000.0,284747000.0,219267000.0,192243000.0,
Pretax Income,1389505000.0,1212030000.0,969956000.0,703886000.0,
Other Income Expense,48171000.0,79265000.0,53104000.0,-12828000.0,
Other Non Operating Income Expenses,23739000.0,35845000.0,18063000.0,-46415000.0,
Special Income Charges,-31203000.0,-7064000.0,-6568000.0,-18879000.0,
Write Off,,,,14457000.0,5743000.0
Impairment Of Capital Assets,,0.0,0.0,14457000.0,5743000.0
Restructuring And Mergern Acquisition,31203000.0,7064000.0,6568000.0,4422000.0,
Earnings From Equity Interest,55635000.0,50484000.0,41609000.0,52466000.0,
Net Non Operating Interest Income Expense,-245743000.0,-170283000.0,-176083000.0,-121757000.0,
Interest Expense Non Operating,261445000.0,202687000.0,186913000.0,124363000.0,
Interest Income Non Operating,15702000.0,32404000.0,10830000.0,2606000.0,
Operating Income,1587077000.0,1303048000.0,1092935000.0,838471000.0,
Operating Expense,2688004000.0,2207713000.0,1844151000.0,1690684000.0,
Depreciation Amortization Depletion Income Statement,498795000.0,382959000.0,289014000.0,353973000.0,
Depreciation And Amortization In Income Statement,498795000.0,382959000.0,289014000.0,353973000.0,
Amortization,498795000.0,382959000.0,289014000.0,353973000.0,
Amortization Of Intangibles Income Statement,498795000.0,382959000.0,289014000.0,353973000.0,
Selling General And Administration,2189209000.0,1824754000.0,1555137000.0,1336711000.0,
Gross Profit,4275081000.0,3510761000.0,2937086000.0,2529155000.0,
Cost Of Revenue,24204616000.0,20162034000.0,17945120000.0,14544748000.0,
Total Revenue,28479697000.0,23672795000.0,20882206000.0,17073903000.0,
Operating Revenue,28479697000.0,23672795000.0,20882206000.0,17073903000.0,
