,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,420000000.0,241000000.0,224000000.0,103000000.0,220000000.0
Issuance Of Debt,2350000000.0,,,,
Capital Expenditure,-71000000.0,-61000000.0,-49000000.0,-104000000.0,-66000000.0
End Cash Position,915000000.0,128000000.0,179000000.0,162000000.0,166000000.0
Beginning Cash Position,128000000.0,179000000.0,162000000.0,166000000.0,155000000.0
Effect Of Exchange Rate Changes,-1000000.0,-6000000.0,14000000.0,2000000.0,-12000000.0
Changes In Cash,788000000.0,-45000000.0,3000000.0,-6000000.0,23000000.0
Financing Cash Flow,368000000.0,-286000000.0,-221000000.0,-109000000.0,-224000000.0
Cash Flow From Continuing Financing Activities,368000000.0,-286000000.0,-221000000.0,-109000000.0,-224000000.0
Net Other Financing Charges,-1972000000.0,-2036000000.0,-221000000.0,-109000000.0,-224000000.0
Net Issuance Payments Of Debt,2350000000.0,,,,
Net Long Term Debt Issuance,2350000000.0,,,,
Long Term Debt Issuance,2350000000.0,,,,
Investing Cash Flow,-71000000.0,-61000000.0,-49000000.0,-104000000.0,-39000000.0
Cash Flow From Continuing Investing Activities,-71000000.0,-61000000.0,-49000000.0,-104000000.0,-39000000.0
Net Other Investing Changes,,,,,12000000.0
Capital Expenditure Reported,-71000000.0,-61000000.0,-49000000.0,-104000000.0,-66000000.0
Operating Cash Flow,491000000.0,302000000.0,273000000.0,207000000.0,286000000.0
Cash Flow From Continuing Operating Activities,491000000.0,302000000.0,273000000.0,207000000.0,286000000.0
Change In Working Capital,268000000.0,26000000.0,9000000.0,-89000000.0,-31000000.0
Change In Other Current Liabilities,386000000.0,-17000000.0,13000000.0,3000000.0,-32000000.0
Change In Other Current Assets,-408000000.0,17000000.0,-5000000.0,1000000.0,53000000.0
Change In Payables And Accrued Expense,223000000.0,87000000.0,31000000.0,-54000000.0,-86000000.0
Change In Accrued Expense,114000000.0,22000000.0,39000000.0,-67000000.0,-39000000.0
Change In Payable,109000000.0,65000000.0,-8000000.0,13000000.0,-47000000.0
Change In Account Payable,38000000.0,33000000.0,7000000.0,41000000.0,-71000000.0
Change In Tax Payable,71000000.0,32000000.0,-15000000.0,-28000000.0,24000000.0
Change In Income Tax Payable,71000000.0,32000000.0,-15000000.0,-28000000.0,24000000.0
Change In Inventory,-18000000.0,8000000.0,-6000000.0,-35000000.0,0.0
Change In Receivables,85000000.0,-69000000.0,-24000000.0,-4000000.0,34000000.0
Changes In Account Receivables,,,,-4000000.0,
Other Non Cash Items,0.0,1000000.0,2000000.0,17000000.0,1000000.0
Stock Based Compensation,8000000.0,4000000.0,4000000.0,4000000.0,3000000.0
Deferred Tax,-18000000.0,-32000000.0,-20000000.0,-9000000.0,-27000000.0
Deferred Income Tax,-18000000.0,-32000000.0,-20000000.0,-9000000.0,-27000000.0
Depreciation Amortization Depletion,96000000.0,94000000.0,92000000.0,94000000.0,97000000.0
Depreciation And Amortization,96000000.0,94000000.0,92000000.0,94000000.0,97000000.0
Amortization Cash Flow,51000000.0,51000000.0,50000000.0,55000000.0,55000000.0
Amortization Of Intangibles,51000000.0,51000000.0,50000000.0,55000000.0,55000000.0
Depreciation,45000000.0,43000000.0,42000000.0,39000000.0,42000000.0
Operating Gains Losses,28000000.0,-14000000.0,-12000000.0,-9000000.0,22000000.0
Pension And Employee Benefit Expense,-4000000.0,2000000.0,1000000.0,0.0,-1000000.0
Earnings Losses From Equity Investments,32000000.0,-15000000.0,-13000000.0,-9000000.0,37000000.0
Net Income From Continuing Operations,109000000.0,223000000.0,198000000.0,199000000.0,221000000.0
