,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-335115.0,-12396004.0,18712.518517,-350432.0,
Tax Rate For Calcs,0.165,0.193,0.185272,0.188,
Normalized EBITDA,1925236000.0,1664558000.0,1349458000.0,1178500000.0,
Total Unusual Items,-2031000.0,-64228000.0,101000.0,-1864000.0,
Total Unusual Items Excluding Goodwill,-2031000.0,-64228000.0,101000.0,-1864000.0,
Net Income From Continuing Operation Net Minority Interest,1400723000.0,1020951000.0,897556000.0,779437000.0,
Reconciled Depreciation,235811000.0,216209000.0,197562000.0,193841000.0,
Reconciled Cost Of Revenue,1900819000.0,1860306000.0,1711789000.0,1391053000.0,
EBITDA,1923205000.0,1600330000.0,1349559000.0,1176636000.0,
EBIT,1687394000.0,1384121000.0,1151997000.0,982795000.0,
Net Interest Income,4114000.0,-45708000.0,-47379000.0,-22312000.0,
Interest Expense,,45708000.0,47379000.0,22312000.0,23989000.0
Interest Income,,,,,362000.0
Normalized Income,1402418885.0,1072782996.0,897473712.518517,780950568.0,
Net Income From Continuing And Discontinued Operation,1400723000.0,1020951000.0,897556000.0,779437000.0,
Total Expenses,3458933000.0,3301176000.0,3070996000.0,2575977000.0,
Total Operating Income As Reported,1685363000.0,1319893000.0,1131871000.0,1000286000.0,
Diluted Average Shares,,147550000.0,147455000.0,147043000.0,146451000.0
Basic Average Shares,,147021000.0,146765000.0,146066000.0,145313000.0
Diluted EPS,,6.92,6.09,5.3,3.24
Basic EPS,,6.94,6.12,5.34,3.27
Diluted NI Availto Com Stockholders,1400723000.0,1020951000.0,897556000.0,779437000.0,
Net Income Common Stockholders,1400723000.0,1020951000.0,897556000.0,779437000.0,
Net Income,1400723000.0,1020951000.0,897556000.0,779437000.0,
Net Income Including Noncontrolling Interests,1400723000.0,1020951000.0,897556000.0,779437000.0,
Net Income Continuous Operations,1400723000.0,1020951000.0,897556000.0,779437000.0,
Tax Provision,276843000.0,243847000.0,204108000.0,181046000.0,
Pretax Income,1677566000.0,1264798000.0,1101664000.0,960483000.0,
Other Income Expense,-13942000.0,-73615000.0,-2954000.0,-19355000.0,
Other Non Operating Income Expenses,-5256000.0,-3494000.0,-5712000.0,3197000.0,
Special Income Charges,-2031000.0,-64228000.0,101000.0,-1864000.0,
Other Special Charges,,,-20227000.0,,
Restructuring And Mergern Acquisition,2031000.0,64228000.0,20126000.0,1864000.0,
Earnings From Equity Interest,-6655000.0,-5893000.0,2657000.0,-20688000.0,
Gain On Sale Of Security,,-4045000.0,9922000.0,-12202000.0,14515000.0
Net Non Operating Interest Income Expense,4114000.0,-45708000.0,-47379000.0,-22312000.0,
Total Other Finance Cost,-4114000.0,45708000.0,47379000.0,22312000.0,
Interest Expense Non Operating,,45708000.0,47379000.0,22312000.0,23989000.0
Interest Income Non Operating,,,,,362000.0
Operating Income,1687394000.0,1384121000.0,1151997000.0,1002150000.0,
Operating Expense,1367576000.0,1271182000.0,1203665000.0,1022161000.0,
Depreciation Amortization Depletion Income Statement,45273000.0,46521000.0,42020000.0,31078000.0,
Depreciation And Amortization In Income Statement,45273000.0,46521000.0,42020000.0,31078000.0,
Amortization,45273000.0,46521000.0,42020000.0,31078000.0,
Amortization Of Intangibles Income Statement,45273000.0,46521000.0,42020000.0,31078000.0,
Research And Development,331284000.0,307525000.0,287642000.0,253575000.0,
Selling General And Administration,991019000.0,917136000.0,874003000.0,737508000.0,
Gross Profit,3054970000.0,2655303000.0,2355662000.0,2024311000.0,
Cost Of Revenue,2091357000.0,2029994000.0,1867331000.0,1553816000.0,
Total Revenue,5146327000.0,4685297000.0,4222993000.0,3578127000.0,
Operating Revenue,5146327000.0,4685297000.0,4222993000.0,3578127000.0,
