contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
RMD260417C00150000,2025-12-23 17:02:25+00:00,150.0,95.9,98.0,102.2,0.0,0.0,1.0,6,4.428715401611328,True,REGULAR,USD
RMD260417C00155000,2025-11-10 15:01:13+00:00,155.0,95.4,93.7,97.8,0.0,0.0,,0,4.2771042630004885,True,REGULAR,USD
RMD260417C00180000,2026-03-19 19:04:29+00:00,180.0,49.18,41.9,45.1,0.0,0.0,,5,0.8540053662109376,True,REGULAR,USD
RMD260417C00200000,2026-04-02 14:42:31+00:00,200.0,25.4,22.8,25.9,0.0,0.0,2.0,8,0.6225623681640625,True,REGULAR,USD
RMD260417C00210000,2026-03-27 19:46:43+00:00,210.0,14.68,14.2,16.8,0.0,0.0,1.0,0,0.513554669189453,True,REGULAR,USD
RMD260417C00220000,2026-03-30 13:40:42+00:00,220.0,6.7,6.9,7.9,0.0,0.0,1.0,7,0.36121244262695307,True,REGULAR,USD
RMD260417C00230000,2026-04-02 13:30:38+00:00,230.0,3.21,2.1,2.9,0.0,0.0,1.0,19,0.33740896972656254,False,REGULAR,USD
RMD260417C00240000,2026-04-07 15:11:25+00:00,240.0,0.85,0.45,1.05,0.100000024,13.333336,1.0,27,0.3640200317382813,False,REGULAR,USD
RMD260417C00250000,2026-03-31 17:41:02+00:00,250.0,0.72,0.0,0.8,0.0,0.0,4.0,704,0.467778759765625,False,REGULAR,USD
RMD260417C00260000,2026-04-06 19:15:26+00:00,260.0,0.42,0.0,1.55,0.0,0.0,1.0,76,0.5827678442382812,False,REGULAR,USD
RMD260417C00270000,2026-03-31 18:52:18+00:00,270.0,0.05,0.0,0.05,0.0,0.0,1.0,160,0.445318046875,False,REGULAR,USD
RMD260417C00280000,2026-03-24 14:28:29+00:00,280.0,0.1,0.0,1.75,0.0,0.0,1.0,51,0.8139667041015625,False,REGULAR,USD
RMD260417C00290000,2026-03-23 18:17:28+00:00,290.0,0.25,0.0,0.1,0.0,0.0,1.0,416,0.5898478515625001,False,REGULAR,USD
RMD260417C00300000,2026-03-16 15:35:44+00:00,300.0,0.83,0.0,2.15,0.0,0.0,5.0,294,1.0449266503906252,False,REGULAR,USD
RMD260417C00310000,2026-02-23 17:52:48+00:00,310.0,0.5,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
RMD260417C00320000,2026-01-20 15:38:47+00:00,320.0,1.0,0.0,0.8,0.0,0.0,1.0,17,1.0234423828125,False,REGULAR,USD
RMD260417C00330000,2025-12-02 14:30:03+00:00,330.0,1.25,0.1,2.05,0.0,0.0,1.0,1,1.298343352050781,False,REGULAR,USD
RMD260417C00340000,2025-10-16 19:58:03+00:00,340.0,4.53,0.05,3.1,0.0,0.0,,1,1.4829127416992187,False,REGULAR,USD
RMD260417C00350000,2025-12-31 14:30:08+00:00,350.0,0.3,0.0,2.15,0.0,0.0,,1,1.4487332250976563,False,REGULAR,USD
RMD260417C00360000,2025-09-30 13:30:05+00:00,360.0,2.5,0.0,2.85,0.0,0.0,,1,1.6020527709960937,False,REGULAR,USD
RMD260417C00370000,2025-09-30 13:30:05+00:00,370.0,1.85,0.0,1.75,0.0,0.0,1.0,3,1.5312523437499999,False,REGULAR,USD
RMD260417C00380000,2025-09-24 13:30:18+00:00,380.0,1.65,0.0,2.55,0.0,0.0,,1,1.7045913208007812,False,REGULAR,USD
RMD260417C00390000,2025-09-24 13:30:04+00:00,390.0,1.15,0.0,2.45,0.0,0.0,,1,1.7563488745117186,False,REGULAR,USD
RMD260417C00400000,2025-09-24 13:30:05+00:00,400.0,0.9,0.0,1.75,0.0,0.0,,1,1.716798291015625,False,REGULAR,USD
RMD260417C00430000,2026-03-23 13:30:02+00:00,430.0,0.03,0.0,2.15,0.0,0.0,1.0,4,1.9487307250976564,False,REGULAR,USD
