,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2409000000.0,2081000000.0,1987000000.0,1736000000.0,
Repurchase Of Capital Stock,-875000000.0,-496000000.0,-263000000.0,-216000000.0,
Repayment Of Debt,-38206000000.0,-25109000000.0,-40411000000.0,-14282000000.0,
Issuance Of Debt,38898000000.0,24909000000.0,41393000000.0,16446000000.0,
Capital Expenditure,-1887000000.0,-1855000000.0,-1631000000.0,-1454000000.0,
End Cash Position,249000000.0,203000000.0,228000000.0,214000000.0,
Beginning Cash Position,203000000.0,228000000.0,214000000.0,106000000.0,
Effect Of Exchange Rate Changes,1000000.0,-2000000.0,1000000.0,-3000000.0,
Changes In Cash,45000000.0,-23000000.0,13000000.0,111000000.0,
Financing Cash Flow,-938000000.0,-1398000000.0,62000000.0,1344000000.0,
Cash Flow From Continuing Financing Activities,-938000000.0,-1398000000.0,62000000.0,1344000000.0,
Net Other Financing Charges,-17000000.0,-15000000.0,-19000000.0,-11000000.0,
Cash Dividends Paid,-738000000.0,-687000000.0,-638000000.0,-593000000.0,
Common Stock Dividend Paid,-738000000.0,-687000000.0,-638000000.0,-593000000.0,
Net Common Stock Issuance,-875000000.0,-496000000.0,-263000000.0,-216000000.0,
Common Stock Payments,-875000000.0,-496000000.0,-263000000.0,-216000000.0,
Net Issuance Payments Of Debt,692000000.0,-200000000.0,982000000.0,2164000000.0,
Net Short Term Debt Issuance,,,-1189700000.0,2164600000.0,-150200000.0
Short Term Debt Payments,,,-40410800000.0,-14281700000.0,-5304500000.0
Short Term Debt Issuance,,,39221100000.0,16446300000.0,5154300000.0
Net Long Term Debt Issuance,692000000.0,-200000000.0,982000000.0,2164000000.0,
Long Term Debt Payments,-38206000000.0,-25109000000.0,-40411000000.0,-14282000000.0,
Long Term Debt Issuance,38898000000.0,24909000000.0,41393000000.0,16446000000.0,
Investing Cash Flow,-3313000000.0,-2561000000.0,-3667000000.0,-4423000000.0,
Cash Flow From Continuing Investing Activities,-3313000000.0,-2561000000.0,-3667000000.0,-4423000000.0,
Net Other Investing Changes,-20000000.0,-2000000.0,-6000000.0,-14000000.0,
Net Business Purchase And Sale,-1419000000.0,-751000000.0,-2059000000.0,-2988000000.0,
Sale Of Business,11000000.0,2000000.0,6000000.0,51000000.0,
Purchase Of Business,-1430000000.0,-753000000.0,-2065000000.0,-3039000000.0,
Net PPE Purchase And Sale,-1874000000.0,-1808000000.0,-1602000000.0,-1421000000.0,
Sale Of PPE,13000000.0,47000000.0,29000000.0,33000000.0,
Purchase Of PPE,-1887000000.0,-1855000000.0,-1631000000.0,-1454000000.0,
Operating Cash Flow,4296000000.0,3936000000.0,3618000000.0,3190000000.0,
Cash Flow From Continuing Operating Activities,4296000000.0,3936000000.0,3618000000.0,3190000000.0,
Change In Working Capital,-235000000.0,-260000000.0,25000000.0,-112000000.0,
Change In Other Current Liabilities,40000000.0,14000000.0,43000000.0,65000000.0,
Change In Payables And Accrued Expense,-14000000.0,-27000000.0,83000000.0,106000000.0,
Change In Payable,-14000000.0,-27000000.0,83000000.0,106000000.0,
Change In Account Payable,-14000000.0,-27000000.0,83000000.0,106000000.0,
Change In Prepaid Assets,-174000000.0,-171000000.0,-30000000.0,-84000000.0,
Change In Receivables,-87000000.0,-76000000.0,-71000000.0,-199000000.0,
Changes In Account Receivables,-87000000.0,-76000000.0,-71000000.0,-199000000.0,
Other Non Cash Items,32000000.0,26000000.0,67000000.0,-45000000.0,
Stock Based Compensation,,42000000.0,40900000.0,39000000.0,57000000.0
Provisionand Write Offof Assets,,27000000.0,53200000.0,41000000.0,19900000.0
Deferred Tax,269000000.0,87000000.0,102000000.0,181000000.0,
Deferred Income Tax,269000000.0,87000000.0,102000000.0,181000000.0,
Depreciation Amortization Depletion,1928000000.0,1784000000.0,1599000000.0,1441000000.0,
Depreciation And Amortization,1928000000.0,1784000000.0,1599000000.0,1441000000.0,
Depreciation,1928000000.0,1784000000.0,1599000000.0,1441000000.0,
Operating Gains Losses,163000000.0,255000000.0,94000000.0,157000000.0,
Earnings Losses From Equity Investments,163000000.0,255000000.0,94000000.0,166000000.0,
Net Income From Continuing Operations,2139000000.0,2044000000.0,1731000000.0,1488000000.0,
