,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0313,42134687,8335509063,0.0001
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0251,33811602,6688952381,0.0238
2,2025-12-31,Dodge & Cox Funds-Dodge & Cox Stock Fund,0.0187,25204600,4986228371,-0.0712
3,2026-01-31,AMERICAN MUTUAL FUND,0.0156,21049117,4164148781,-0.1884
4,2025-12-31,INVESTMENT CO OF AMERICA,0.013200001,17768090,3515062903,0.0
5,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0128999995,17312385,3424910741,-0.0376
6,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,17253426,3413246876,-0.0094
7,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,17063003,3375575476,0.0017
8,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117,15781016,3121959868,-0.0185
9,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0092,12338668,2440959842,0.026500002
