,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,161789000.0,119999000.0,115450000.0,112173000.0,149776000.0,
Repurchase Of Capital Stock,-168285000.0,-205029000.0,-293907000.0,-153594000.0,-185157000.0,
Repayment Of Debt,-521000.0,103000.0,,,-11593000.0,-700279000.0
Capital Expenditure,-20171000.0,-18501000.0,-18868000.0,-15982000.0,-24454000.0,
End Cash Position,921030000.0,932575000.0,992990000.0,1138687000.0,1164452000.0,
Beginning Cash Position,932575000.0,992990000.0,1138687000.0,1164452000.0,1230808000.0,
Effect Of Exchange Rate Changes,3257000.0,-2811000.0,31953000.0,16122000.0,-30267000.0,
Changes In Cash,-14802000.0,-57604000.0,-177650000.0,-41887000.0,-36089000.0,
Financing Cash Flow,-176310000.0,-215074000.0,-302475000.0,-163664000.0,-192990000.0,
Cash Flow From Continuing Financing Activities,-176310000.0,-215074000.0,-302475000.0,-163664000.0,-192990000.0,
Net Other Financing Charges,0.0,-1860000.0,-233000.0,-4219000.0,0.0,
Proceeds From Stock Option Exercised,293000.0,0.0,0.0,2632000.0,1528000.0,
Cash Dividends Paid,-7955000.0,-8130000.0,-8282000.0,-8433000.0,-8539000.0,
Common Stock Dividend Paid,-7955000.0,-8130000.0,,,-8539000.0,-8633000.0
Net Common Stock Issuance,-168285000.0,-205029000.0,-293907000.0,-153594000.0,-185157000.0,
Common Stock Payments,-168285000.0,-205029000.0,-293907000.0,-153594000.0,-185157000.0,
Net Issuance Payments Of Debt,-363000.0,-55000.0,-53000.0,-50000.0,-822000.0,
Net Short Term Debt Issuance,,,,-50000.0,,
Net Long Term Debt Issuance,-521000.0,103000.0,,,-11593000.0,-700279000.0
Long Term Debt Payments,-521000.0,103000.0,,,-11593000.0,-700279000.0
Investing Cash Flow,-20452000.0,18970000.0,-9493000.0,-6378000.0,-17329000.0,
Cash From Discontinued Investing Activities,0.0,37500000.0,9375000.0,9375000.0,9375000.0,
Cash Flow From Continuing Investing Activities,-20452000.0,-18530000.0,-18868000.0,-15753000.0,-26704000.0,
Net Investment Purchase And Sale,-52000.0,-29000.0,0.0,0.0,-2250000.0,
Sale Of Investment,304000.0,,,,0.0,712500000.0
Purchase Of Investment,-356000.0,-29000.0,0.0,0.0,-2250000.0,
Net Business Purchase And Sale,-229000.0,0.0,0.0,229000.0,0.0,
Sale Of Business,,0.0,0.0,229000.0,0.0,0.0
Purchase Of Business,,,,,0.0,0.0
Capital Expenditure Reported,-20171000.0,-18501000.0,-18868000.0,-15982000.0,-24454000.0,
Operating Cash Flow,181960000.0,138500000.0,134318000.0,128155000.0,174230000.0,
Cash From Discontinued Operating Activities,0.0,-81000.0,0.0,-5942000.0,-1237000.0,
Cash Flow From Continuing Operating Activities,181960000.0,138581000.0,134318000.0,134097000.0,175467000.0,
Change In Working Capital,1089000.0,-35712000.0,-48856000.0,-13302000.0,60605000.0,
Change In Payables And Accrued Expense,58180000.0,-22821000.0,-19943000.0,-25956000.0,91596000.0,
Change In Accrued Expense,51105000.0,-19813000.0,-14367000.0,-34810000.0,92839000.0,
Change In Payable,7075000.0,-3008000.0,-5576000.0,8854000.0,-1243000.0,
Change In Account Payable,7075000.0,-3008000.0,-5576000.0,8854000.0,-1243000.0,
Change In Inventory,2289000.0,6851000.0,11128000.0,-5486000.0,18269000.0,
Change In Receivables,-59380000.0,-19742000.0,-40041000.0,18140000.0,-49260000.0,
Changes In Account Receivables,-59380000.0,-19742000.0,-40041000.0,18140000.0,-49260000.0,
Other Non Cash Items,31215000.0,11273000.0,12880000.0,3716000.0,-11518000.0,
Stock Based Compensation,-4071000.0,9054000.0,10133000.0,7731000.0,5053000.0,
Unrealized Gain Loss On Investment Securities,7972000.0,4602000.0,1955000.0,-3073000.0,6017000.0,
Depreciation Amortization Depletion,103079000.0,102061000.0,102778000.0,97422000.0,105033000.0,
Depreciation And Amortization,103079000.0,102061000.0,102778000.0,97422000.0,105033000.0,
Operating Gains Losses,3690000.0,82000.0,206000.0,-66000.0,9385000.0,
Net Foreign Currency Exchange Gain Loss,51000.0,82000.0,206000.0,-66000.0,4000.0,
Net Income From Continuing Operations,95771000.0,47221000.0,55222000.0,41669000.0,88383000.0,
