,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-31934235.0,-4340719.119257,-17795292.102322,-8842490.583691,
Tax Rate For Calcs,0.151,0.031047,0.093141,0.125596,
Normalized EBITDA,2222575000.0,1609433000.0,1892111000.0,1703716000.0,
Total Unusual Items,-211485000.0,-139811000.0,-191058000.0,-70404000.0,
Total Unusual Items Excluding Goodwill,-211485000.0,-139811000.0,-191058000.0,-70404000.0,
Net Income From Continuing Operation Net Minority Interest,1053632000.0,749536000.0,501812000.0,461429000.0,
Reconciled Depreciation,292285000.0,269517000.0,716309000.0,707576000.0,
Reconciled Cost Of Revenue,690972000.0,581727000.0,612622000.0,668650000.0,
EBITDA,2011090000.0,1469622000.0,1701053000.0,1633312000.0,
EBIT,1718805000.0,1200105000.0,984744000.0,925736000.0,
Net Interest Income,-466957000.0,-406742000.0,-438209000.0,-409595000.0,
Interest Expense,476767000.0,427439000.0,436241000.0,399893000.0,
Interest Income,31676000.0,41962000.0,18305000.0,10133000.0,
Normalized Income,1233182765.0,885006280.880743,675074707.897678,522990509.416309,
Net Income From Continuing And Discontinued Operation,1053632000.0,749536000.0,501812000.0,461429000.0,
Total Expenses,1260868000.0,1110000000.0,1596867000.0,1638079000.0,
Total Operating Income As Reported,1342786000.0,1435763000.0,923659000.0,925408000.0,
Diluted Average Shares,107533000.0,108080000.0,108907000.0,109386000.0,
Basic Average Shares,107207000.0,107644000.0,108204000.0,107957000.0,
Diluted EPS,9.8,6.94,4.61,4.22,
Basic EPS,9.83,6.96,4.64,4.27,
Diluted NI Availto Com Stockholders,1053632000.0,749536000.0,501812000.0,461429000.0,
Net Income Common Stockholders,1053632000.0,749536000.0,501812000.0,461429000.0,
Net Income,1053632000.0,749536000.0,501812000.0,461429000.0,
Minority Interests,-824000.0,859000.0,4397000.0,1630000.0,
Net Income Including Noncontrolling Interests,1054456000.0,748677000.0,497415000.0,459799000.0,
Net Income Continuous Operations,1054456000.0,748677000.0,497415000.0,459799000.0,
Tax Provision,187582000.0,23989000.0,51088000.0,66044000.0,
Pretax Income,1242038000.0,772666000.0,548503000.0,525843000.0,
Other Income Expense,154724000.0,-390226000.0,-128005000.0,-59937000.0,
Other Non Operating Income Expenses,366209000.0,-250415000.0,63053000.0,10467000.0,
Special Income Charges,-211485000.0,-139811000.0,-191058000.0,-70404000.0,
Other Special Charges,,5940000.0,,437000.0,39502000.0
Write Off,8592000.0,18625000.0,17906000.0,331000.0,
Impairment Of Capital Assets,175573000.0,89300000.0,151481000.0,42829000.0,
Restructuring And Mergern Acquisition,27320000.0,25946000.0,21671000.0,26807000.0,
Net Non Operating Interest Income Expense,-466957000.0,-406742000.0,-438209000.0,-409595000.0,
Total Other Finance Cost,21866000.0,21265000.0,20273000.0,19835000.0,
Interest Expense Non Operating,476767000.0,427439000.0,436241000.0,399893000.0,
Interest Income Non Operating,31676000.0,41962000.0,18305000.0,10133000.0,
Operating Income,1554271000.0,1569634000.0,1114717000.0,995375000.0,
Operating Expense,569896000.0,528273000.0,984245000.0,969429000.0,
Other Operating Expenses,,,,,1882000.0
Depreciation Amortization Depletion Income Statement,292285000.0,269517000.0,716309000.0,707576000.0,
Depreciation And Amortization In Income Statement,292285000.0,269517000.0,716309000.0,707576000.0,
Selling General And Administration,277611000.0,258756000.0,267936000.0,261853000.0,
Gross Profit,2124167000.0,2097907000.0,2098962000.0,1964804000.0,
Cost Of Revenue,690972000.0,581727000.0,612622000.0,668650000.0,
Total Revenue,2815139000.0,2679634000.0,2711584000.0,2633454000.0,
Operating Revenue,2815139000.0,2679634000.0,2711584000.0,2633454000.0,
