contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SCHW260410C00060000,2026-04-07 15:00:48+00:00,60.0,31.95,31.05,32.25,-1.079998,-3.269749,3.0,2,1.0000000000000003e-05,True,REGULAR,USD
SCHW260410C00065000,2026-04-07 15:00:48+00:00,65.0,27.05,25.9,28.5,-0.9900017,-3.5306764,1.0,2,2.7636749658203126,True,REGULAR,USD
SCHW260410C00080000,2026-03-13 15:35:23+00:00,80.0,13.58,11.15,13.5,0.0,0.0,,1,0.6640658593750002,True,REGULAR,USD
SCHW260410C00081000,2026-03-26 15:50:07+00:00,81.0,13.65,10.3,12.05,0.0,0.0,,1,1.1650432373046877,True,REGULAR,USD
SCHW260410C00082000,2026-03-26 15:50:07+00:00,82.0,12.67,8.85,11.1,0.0,0.0,12.0,5,1.111332568359375,True,REGULAR,USD
SCHW260410C00083000,2026-04-01 13:30:02+00:00,83.0,12.3,7.95,10.1,0.0,0.0,1.0,6,1.0332079589843752,True,REGULAR,USD
SCHW260410C00084000,2026-04-01 19:59:36+00:00,84.0,9.09,7.4,9.1,0.0,0.0,2.0,7,0.95507857421875,True,REGULAR,USD
SCHW260410C00085000,2026-03-17 14:42:01+00:00,85.0,10.58,6.85,7.45,0.0,0.0,3.0,7,0.5449264257812501,True,REGULAR,USD
SCHW260410C00086000,2026-04-02 13:37:18+00:00,86.0,6.02,5.85,6.5,0.0,0.0,2.0,0,0.51758294921875,True,REGULAR,USD
SCHW260410C00087000,2026-04-02 13:37:18+00:00,87.0,5.37,4.95,5.55,0.0,0.0,2.0,10,0.481450498046875,True,REGULAR,USD
SCHW260410C00088000,2026-04-07 13:53:02+00:00,88.0,4.38,4.05,4.6,-0.7199998,-14.117642,3.0,15,0.436529072265625,True,REGULAR,USD
SCHW260410C00089000,2026-04-02 15:23:56+00:00,89.0,4.75,3.2,3.7,0.0,0.0,2.0,2,0.40479110839843746,True,REGULAR,USD
SCHW260410C00090000,2026-04-06 19:46:58+00:00,90.0,3.45,2.61,2.78,0.0,0.0,12.0,311,0.352545537109375,True,REGULAR,USD
SCHW260410C00091000,2026-04-07 15:15:57+00:00,91.0,1.96,1.8,2.14,-1.23,-38.557995,24.0,265,0.3676821044921875,True,REGULAR,USD
SCHW260410C00092000,2026-04-07 15:37:29+00:00,92.0,1.39,1.3,1.45,-0.5500001,-28.35052,41.0,31,0.33887379882812496,True,REGULAR,USD
SCHW260410C00093000,2026-04-07 15:47:00+00:00,93.0,0.88,0.84,0.91,-0.45000005,-33.834587,39.0,218,0.3193427441406249,False,REGULAR,USD
SCHW260410C00094000,2026-04-07 15:28:23+00:00,94.0,0.58,0.52,0.59,-0.31,-34.831463,75.0,232,0.32617861328125,False,REGULAR,USD
SCHW260410C00095000,2026-04-07 15:34:57+00:00,95.0,0.32,0.29,0.35,-0.19999999,-38.461536,38.0,298,0.32569033691406246,False,REGULAR,USD
SCHW260410C00096000,2026-04-07 15:47:00+00:00,96.0,0.17,0.17,0.19,-0.17999999,-51.428574,34.0,657,0.3232489550781249,False,REGULAR,USD
SCHW260410C00097000,2026-04-07 15:32:37+00:00,97.0,0.09,0.08,0.11,-0.08,-47.058823,26.0,1347,0.331061376953125,False,REGULAR,USD
SCHW260410C00098000,2026-04-07 14:41:54+00:00,98.0,0.04,0.04,0.07,-0.050000004,-55.555557,26.0,915,0.34570966796874997,False,REGULAR,USD
SCHW260410C00099000,2026-04-07 15:28:13+00:00,99.0,0.03,0.02,0.05,-0.07,-70.0,1.0,290,0.36914693359375,False,REGULAR,USD
SCHW260410C00100000,2026-04-07 15:34:57+00:00,100.0,0.04,0.01,0.05,0.0,0.0,15.0,687,0.4101621484375,False,REGULAR,USD
SCHW260410C00101000,2026-04-06 19:48:17+00:00,101.0,0.1,0.0,0.57,0.0,0.0,5.0,138,0.6513706738281251,False,REGULAR,USD
SCHW260410C00102000,2026-04-06 19:13:36+00:00,102.0,0.02,0.0,0.05,0.0,0.0,1.0,190,0.49219257812500006,False,REGULAR,USD
SCHW260410C00103000,2026-04-06 14:52:38+00:00,103.0,0.04,0.0,0.27,0.0,0.0,2.0,108,0.6367223828125,False,REGULAR,USD
SCHW260410C00104000,2026-04-06 13:30:05+00:00,104.0,0.01,0.0,0.75,0.0,0.0,1.0,105,0.858399853515625,False,REGULAR,USD
SCHW260410C00105000,2026-04-07 13:45:37+00:00,105.0,0.01,0.0,0.01,0.0,0.0,15.0,142,0.49219257812500006,False,REGULAR,USD
SCHW260410C00106000,2026-03-27 17:02:08+00:00,106.0,0.1,0.0,0.75,0.0,0.0,29.0,121,0.956055126953125,False,REGULAR,USD
SCHW260410C00108000,2026-03-18 14:52:37+00:00,108.0,0.06,0.0,0.75,0.0,0.0,,1,1.0498094384765626,False,REGULAR,USD
SCHW260410C00110000,2026-04-06 17:12:39+00:00,110.0,0.03,0.0,0.5,0.0,0.0,3.0,25,1.0429735351562504,False,REGULAR,USD
