,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,816600000.0,642900000.0,717000000.0,718800000.0,
Repurchase Of Capital Stock,-3300000.0,-372800000.0,-367500000.0,-270400000.0,
Repayment Of Debt,-1300000000.0,-1791000000.0,0.0,-1157000000.0,
Issuance Of Debt,650000000.0,4285000000.0,0.0,797600000.0,
Capital Expenditure,-393800000.0,-586500000.0,-477400000.0,-417500000.0,
End Cash Position,69900000.0,62000000.0,655800000.0,169900000.0,
Beginning Cash Position,62000000.0,655800000.0,169900000.0,334300000.0,
Effect Of Exchange Rate Changes,500000.0,-200000.0,-100000.0,-700000.0,
Changes In Cash,7400000.0,-593600000.0,486000000.0,-163700000.0,
Financing Cash Flow,-1102700000.0,2141600000.0,-964600000.0,-944500000.0,
Cash Flow From Continuing Financing Activities,-1102700000.0,2141600000.0,-964600000.0,-944500000.0,
Net Other Financing Charges,-15100000.0,-123500000.0,-2600000.0,-10500000.0,
Proceeds From Stock Option Exercised,1900000.0,3200000.0,21600000.0,16300000.0,
Cash Dividends Paid,-455400000.0,-437500000.0,-430200000.0,-418100000.0,
Common Stock Dividend Paid,-455400000.0,-437500000.0,-430200000.0,-418100000.0,
Net Common Stock Issuance,-3300000.0,-372800000.0,-367500000.0,-270400000.0,
Common Stock Payments,-3300000.0,-372800000.0,-367500000.0,-270400000.0,
Net Issuance Payments Of Debt,-630800000.0,3072200000.0,-185900000.0,-261800000.0,
Net Short Term Debt Issuance,19200000.0,578200000.0,-185900000.0,97600000.0,
Short Term Debt Payments,,,-185900000.0,,-166400000.0
Short Term Debt Issuance,,,,97600000.0,
Net Long Term Debt Issuance,-650000000.0,2494000000.0,0.0,-359400000.0,
Long Term Debt Payments,-1300000000.0,-1791000000.0,0.0,-1157000000.0,
Long Term Debt Issuance,650000000.0,4285000000.0,0.0,797600000.0,
Investing Cash Flow,-100300000.0,-3964600000.0,256200000.0,-355500000.0,
Cash Flow From Continuing Investing Activities,-100300000.0,-3964600000.0,256200000.0,-355500000.0,
Net Other Investing Changes,-32500000.0,19900000.0,47300000.0,-68000000.0,
Net Investment Purchase And Sale,0.0,466300000.0,0.0,0.0,
Sale Of Investment,0.0,466300000.0,0.0,0.0,
Net Business Purchase And Sale,326000000.0,-3864300000.0,686300000.0,130000000.0,
Sale Of Business,326000000.0,56300000.0,686300000.0,130000000.0,
Purchase Of Business,0.0,-3920600000.0,0.0,0.0,
Net PPE Purchase And Sale,-393800000.0,-586500000.0,-477400000.0,-417500000.0,
Purchase Of PPE,-393800000.0,-586500000.0,-477400000.0,-417500000.0,
Operating Cash Flow,1210400000.0,1229400000.0,1194400000.0,1136300000.0,
Cash Flow From Continuing Operating Activities,1210400000.0,1229400000.0,1194400000.0,1136300000.0,
Change In Working Capital,-284800000.0,-8300000.0,38900000.0,-94700000.0,
Change In Other Working Capital,-50600000.0,-34900000.0,9500000.0,12800000.0,
Change In Other Current Assets,-48900000.0,-35500000.0,86800000.0,-52800000.0,
Change In Payables And Accrued Expense,-121900000.0,17700000.0,152000000.0,116500000.0,
Change In Accrued Expense,-85400000.0,99400000.0,400000.0,-33000000.0,
Change In Payable,-36500000.0,-81700000.0,151600000.0,149500000.0,
Change In Account Payable,-36500000.0,-81700000.0,151600000.0,149500000.0,
Change In Inventory,-180600000.0,2900000.0,-134600000.0,-178700000.0,
Change In Receivables,117200000.0,41500000.0,-74800000.0,7500000.0,
Changes In Account Receivables,117200000.0,41500000.0,-74800000.0,7500000.0,
Other Non Cash Items,-3600000.0,34100000.0,-50000000.0,-300000.0,
Stock Based Compensation,29900000.0,23900000.0,25600000.0,22300000.0,
Asset Impairment Charge,1982500000.0,0.0,0.0,150400000.0,
Deferred Tax,-108000000.0,-40500000.0,-190800000.0,-38100000.0,
Deferred Income Tax,-108000000.0,-40500000.0,-190800000.0,-38100000.0,
Depreciation Amortization Depletion,502500000.0,430800000.0,431000000.0,459100000.0,
Depreciation And Amortization,502500000.0,430800000.0,431000000.0,459100000.0,
Amortization Cash Flow,219300000.0,191100000.0,206900000.0,223600000.0,
Amortization Of Intangibles,219300000.0,191100000.0,206900000.0,223600000.0,
Depreciation,283200000.0,239700000.0,224100000.0,235500000.0,
Operating Gains Losses,322700000.0,45400000.0,1031000000.0,5900000.0,
Pension And Employee Benefit Expense,0.0,3200000.0,7400000.0,10800000.0,
Gain Loss On Investment Securities,,21500000.0,,,
Gain Loss On Sale Of Business,310100000.0,12900000.0,1018500000.0,-9600000.0,
Net Income From Continuing Operations,-1230800000.0,744000000.0,-91300000.0,631700000.0,
