,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Tax Effect Of Unusual Items,-488964000.0,-36204300.0,-214872000.0,-37348800.0,
Tax Rate For Calcs,0.21,0.253,0.21,0.251,
Normalized EBITDA,2172800000.0,1854100000.0,1597000000.0,1612600000.0,
Total Unusual Items,-2328400000.0,-143100000.0,-1023200000.0,-148800000.0,
Total Unusual Items Excluding Goodwill,-2328400000.0,-143100000.0,-1023200000.0,-148800000.0,
Net Income From Continuing Operation Net Minority Interest,-1230800000.0,744000000.0,-91300000.0,631700000.0,
Reconciled Depreciation,502500000.0,430800000.0,431000000.0,459100000.0,
Reconciled Cost Of Revenue,5058200000.0,4823600000.0,5503300000.0,5062700000.0,
EBITDA,-155600000.0,1711000000.0,573800000.0,1463800000.0,
EBIT,-658100000.0,1280200000.0,142800000.0,1004700000.0,
Net Interest Income,-358500000.0,-283800000.0,-152000000.0,-160900000.0,
Interest Expense,388700000.0,283800000.0,152000000.0,160900000.0,
Interest Income,30200000.0,,,,
Normalized Income,608636000.0,850895700.0,717028000.0,743151200.0,
Net Income From Continuing And Discontinued Operation,-1230800000.0,744000000.0,-91300000.0,631700000.0,
Total Expenses,7071600000.0,6729800000.0,7348500000.0,6826300000.0,
Total Operating Income As Reported,-673900000.0,1305800000.0,157500000.0,1023800000.0,
Diluted Average Shares,106400000.0,104400000.0,106200000.0,108400000.0,
Basic Average Shares,106400000.0,104100000.0,106200000.0,108200000.0,
Diluted EPS,-11.57,7.13,-0.86,5.83,
Basic EPS,-11.57,7.14,-0.86,5.84,
Diluted NI Availto Com Stockholders,-1230700000.0,743800000.0,-91200000.0,629900000.0,
Net Income Common Stockholders,-1230700000.0,743800000.0,-91200000.0,629900000.0,
Otherunder Preferred Stock Dividend,-100000.0,200000.0,-100000.0,1800000.0,
Net Income,-1230800000.0,744000000.0,-91300000.0,631700000.0,
Net Income Including Noncontrolling Interests,-1230800000.0,744000000.0,-91300000.0,631700000.0,
Net Income Continuous Operations,-1230800000.0,744000000.0,-91300000.0,631700000.0,
Tax Provision,184000000.0,252400000.0,82100000.0,212100000.0,
Pretax Income,-1046800000.0,996400000.0,-9200000.0,843800000.0,
Other Income Expense,-2342800000.0,-168700000.0,-1037900000.0,-167900000.0,
Other Non Operating Income Expenses,-14400000.0,-25600000.0,-14700000.0,-19100000.0,
Special Income Charges,-2328400000.0,-143100000.0,-1023200000.0,-148800000.0,
Gain On Sale Of Business,-310100000.0,-12900000.0,-1018500000.0,1600000.0,
Other Special Charges,35800000.0,130200000.0,4700000.0,,
Impairment Of Capital Assets,1982500000.0,0.0,0.0,150400000.0,
Restructuring And Mergern Acquisition,,130200000.0,4700000.0,8000000.0,20700000.0
Net Non Operating Interest Income Expense,-358500000.0,-283800000.0,-152000000.0,-160900000.0,
Total Other Finance Cost,-30200000.0,19500000.0,,,
Interest Expense Non Operating,388700000.0,283800000.0,152000000.0,160900000.0,
Interest Income Non Operating,30200000.0,,,,
Operating Income,1654500000.0,1448900000.0,1180700000.0,1172600000.0,
Operating Expense,1730200000.0,1666500000.0,1621100000.0,1528100000.0,
Other Operating Expenses,-18100000.0,29200000.0,-40800000.0,-55800000.0,
Depreciation Amortization Depletion Income Statement,219300000.0,191100000.0,206900000.0,223600000.0,
Depreciation And Amortization In Income Statement,219300000.0,191100000.0,206900000.0,223600000.0,
Amortization,219300000.0,191100000.0,206900000.0,223600000.0,
Amortization Of Intangibles Income Statement,219300000.0,191100000.0,206900000.0,223600000.0,
Selling General And Administration,1529000000.0,1446200000.0,1455000000.0,1360300000.0,
Gross Profit,3384700000.0,3115400000.0,2801800000.0,2700700000.0,
Cost Of Revenue,5341400000.0,5063300000.0,5727400000.0,5298200000.0,
Total Revenue,8726100000.0,8178700000.0,8529200000.0,7998900000.0,
Operating Revenue,8726100000.0,8178700000.0,8529200000.0,7998900000.0,
