,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,598925891.0,596837343.0,594136852.0,596765126.0,593481352.0,
Share Issued,598925891.0,596837343.0,594136852.0,596765126.0,593481352.0,
Net Debt,786753000.0,578839000.0,,,479033000.0,170000000.0
Total Debt,4909659000.0,4805788000.0,4778842000.0,2505482000.0,1915871000.0,
Tangible Book Value,6992015000.0,6523390000.0,6301693000.0,6379319000.0,6238307000.0,
Invested Capital,11869851000.0,11299096000.0,11059346000.0,8871613000.0,8147342000.0,
Working Capital,10727889000.0,10314099000.0,9956862000.0,8085453000.0,7309260000.0,
Net Tangible Assets,6992015000.0,6523390000.0,6301693000.0,6379319000.0,6238307000.0,
Capital Lease Obligations,31823000.0,30082000.0,21189000.0,13188000.0,6836000.0,
Common Stock Equity,6992015000.0,6523390000.0,6301693000.0,6379319000.0,6238307000.0,
Total Capitalization,11668075000.0,11198478000.0,10984286000.0,8807642000.0,7992354000.0,
Total Equity Gross Minority Interest,6992177000.0,6523560000.0,6301871000.0,6379479000.0,6238466000.0,
Minority Interest,162000.0,170000.0,178000.0,160000.0,159000.0,
Stockholders Equity,6992015000.0,6523390000.0,6301693000.0,6379319000.0,6238307000.0,
Gains Losses Not Affecting Retained Earnings,695000.0,698000.0,705000.0,663000.0,652000.0,
Other Equity Adjustments,695000.0,698000.0,705000.0,663000.0,652000.0,
Retained Earnings,4003388000.0,3602824000.0,3434539000.0,3439380000.0,3330603000.0,
Capital Stock,2987932000.0,2919868000.0,2866449000.0,2939276000.0,2907052000.0,
Common Stock,2987932000.0,2919868000.0,2866449000.0,2939276000.0,2907052000.0,
Total Liabilities Net Minority Interest,21009433000.0,7862477000.0,7716558000.0,4359046000.0,3489882000.0,
Total Non Current Liabilities Net Minority Interest,5612725000.0,5515242000.0,5371766000.0,2930910000.0,2132072000.0,
Other Non Current Liabilities,408098000.0,409015000.0,326528000.0,189593000.0,88611000.0,
Dueto Related Parties Non Current,658000.0,457000.0,,,,
Tradeand Other Payables Non Current,0.0,0.0,,,,
Non Current Deferred Liabilities,527909000.0,430682000.0,362645000.0,312994000.0,289414000.0,
Non Current Deferred Revenue,527909000.0,430682000.0,362645000.0,312994000.0,289414000.0,
Long Term Debt And Capital Lease Obligation,4676060000.0,4675088000.0,4682593000.0,2428323000.0,1754047000.0,
Long Term Debt,4676060000.0,4675088000.0,4682593000.0,2428323000.0,1754047000.0,
Current Liabilities,15396708000.0,2347235000.0,2344792000.0,1428136000.0,1357810000.0,
Current Deferred Liabilities,896878000.0,644353000.0,628868000.0,405757000.0,344377000.0,
Current Deferred Revenue,896878000.0,644353000.0,628868000.0,405757000.0,344377000.0,
