,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,"FMR, LLC",0.1454,21466285,15293010392,-0.016900001
1,2025-12-31,Vanguard Group Inc,0.115,16976485,12094387153,-0.033299997
2,2025-12-31,Blackrock Inc.,0.0652,9624416,6856626282,-0.4001
3,2025-12-31,State Street Corporation,0.0358,5281522,3762661812,0.2068
4,2025-12-31,"Geode Capital Management, LLC",0.0248,3655860,2604507718,0.4493
5,2025-12-31,"Arrowstreet Capital, Limited Partnership",0.023599999,3478002,2477798125,0.31260002
6,2025-12-31,Morgan Stanley,0.0201,2970361,2116144532,0.072
7,2025-12-31,NORGES BANK,0.0148,2185899,1557278128,0.2486
8,2025-12-31,"Shaw D.E. & Co., Inc.",0.014199999,2093003,1491097161,0.63060004
9,2025-12-31,Bank of America Corporation,0.0111,1645125,1172019924,-0.0307
