contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SO260410P00070000,2026-04-01 15:23:12+00:00,70.0,0.02,0.0,2.15,0.0,0.0,,10,2.518558391113281,False,REGULAR,USD
SO260410P00075000,2026-04-01 15:30:49+00:00,75.0,0.02,0.0,2.15,0.0,0.0,,10,2.1093797265624996,False,REGULAR,USD
SO260410P00084000,2026-03-24 19:08:42+00:00,84.0,0.16,0.0,0.75,0.0,0.0,,1,1.0351610742187503,False,REGULAR,USD
SO260410P00086000,2026-03-24 19:06:44+00:00,86.0,0.16,0.0,0.75,0.0,0.0,,1,0.9082040429687499,False,REGULAR,USD
SO260410P00087000,2026-03-23 16:55:47+00:00,87.0,0.3,0.0,0.75,0.0,0.0,,10,0.8457046679687499,False,REGULAR,USD
SO260410P00089000,2026-04-06 15:22:58+00:00,89.0,0.05,0.0,0.75,0.0,0.0,12.0,18,0.717776259765625,False,REGULAR,USD
SO260410P00090000,2026-04-06 19:47:06+00:00,90.0,0.05,0.0,0.05,0.0,0.0,10.0,13,0.414068359375,False,REGULAR,USD
SO260410P00091000,2026-04-07 14:37:58+00:00,91.0,0.1,0.0,0.1,0.0,0.0,1.0,5,0.41992767578125,False,REGULAR,USD
SO260410P00092000,2026-04-02 17:21:47+00:00,92.0,0.11,0.0,0.75,0.0,0.0,2.0,4,0.5224657128906249,False,REGULAR,USD
SO260410P00093000,2026-04-06 19:47:06+00:00,93.0,0.15,0.05,0.4,0.0,0.0,27.0,52,0.46582565429687506,False,REGULAR,USD
SO260410P00094000,2026-04-06 19:38:42+00:00,94.0,0.17,0.1,0.65,0.0,0.0,2.0,5,0.48242705078125003,False,REGULAR,USD
SO260410P00095000,2026-04-07 14:01:14+00:00,95.0,0.75,0.15,0.3,0.5,200.0,1.0,54,0.2876047802734374,False,REGULAR,USD
SO260410P00096000,2026-04-07 13:30:15+00:00,96.0,0.43,0.3,0.45,-0.01999998,-4.4444404,3.0,64,0.25977302734375,False,REGULAR,USD
SO260410P00097000,2026-04-07 14:01:14+00:00,97.0,1.25,0.55,0.7,0.5,66.666664,1.0,67,0.2348709326171875,False,REGULAR,USD
SO260410P00098000,2026-04-07 13:30:15+00:00,98.0,1.38,1.0,1.2,-0.14999998,-9.803921,3.0,4,0.23633576171874998,True,REGULAR,USD
SO260410P00099000,2026-04-07 15:16:39+00:00,99.0,1.65,1.65,2.1,-2.25,-57.692307,4.0,2,0.304694453125,True,REGULAR,USD
SO260410P00101000,2026-03-31 15:22:04+00:00,101.0,5.4,2.85,4.5,0.0,0.0,2.0,2,0.5786174951171875,True,REGULAR,USD
SO260410P00102000,2026-04-02 18:01:06+00:00,102.0,4.8,3.8,5.8,0.0,0.0,4.0,0,0.7407252490234374,True,REGULAR,USD
SO260410P00103000,2026-04-02 18:03:43+00:00,103.0,5.85,4.9,7.2,0.0,0.0,2.0,0,0.577152666015625,True,REGULAR,USD
SO260410P00104000,2026-04-02 18:01:35+00:00,104.0,6.85,4.5,8.2,0.0,0.0,2.0,0,1.0039112304687499,True,REGULAR,USD
SO260410P00105000,2026-03-17 16:21:22+00:00,105.0,5.8,6.7,9.2,0.0,0.0,2.0,0,0.65820654296875,True,REGULAR,USD
SO260410P00106000,2026-03-17 14:58:07+00:00,106.0,6.95,7.7,10.2,0.0,0.0,,0,0.7138700488281251,True,REGULAR,USD
