,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,173490864.0,172785606.0,172709175.0,172709175.0,
Share Issued,173490864.0,172785606.0,172709175.0,172709175.0,
Net Debt,4157000000.0,7248000000.0,7703000000.0,,
Total Debt,5035000000.0,8010000000.0,8303000000.0,,
Tangible Book Value,-3246000000.0,-5962000000.0,2229000000.0,2056000000.0,
Invested Capital,10085000000.0,10969000000.0,11666000000.0,11742000000.0,
Working Capital,723000000.0,546000000.0,791000000.0,920000000.0,
Net Tangible Assets,-3246000000.0,-5962000000.0,2229000000.0,2056000000.0,
Common Stock Equity,5050000000.0,2959000000.0,11666000000.0,11742000000.0,
Total Capitalization,10085000000.0,10769000000.0,11666000000.0,11742000000.0,
Total Equity Gross Minority Interest,5050000000.0,2959000000.0,11666000000.0,11742000000.0,
Stockholders Equity,5050000000.0,2959000000.0,11666000000.0,11742000000.0,
Other Equity Interest,,,12003000000.0,12239000000.0,12259000000.0
Gains Losses Not Affecting Retained Earnings,-625000000.0,-1056000000.0,-337000000.0,-497000000.0,
Other Equity Adjustments,-625000000.0,-1056000000.0,-337000000.0,,
Foreign Currency Translation Adjustments,,,,-504000000.0,-173000000.0
Minimum Pension Liabilities,,,,7000000.0,-27000000.0
Retained Earnings,1797000000.0,242000000.0,0.0,,
Additional Paid In Capital,3876000000.0,3771000000.0,0.0,,
Capital Stock,2000000.0,2000000.0,0.0,,
Common Stock,2000000.0,2000000.0,0.0,,
Total Liabilities Net Minority Interest,9244000000.0,11498000000.0,2277000000.0,1852000000.0,
Total Non Current Liabilities Net Minority Interest,6108000000.0,8795000000.0,549000000.0,541000000.0,
Other Non Current Liabilities,546000000.0,410000000.0,152000000.0,235000000.0,
Employee Benefits,363000000.0,350000000.0,166000000.0,91000000.0,
Non Current Pension And Other Postretirement Benefit Plans,363000000.0,350000000.0,166000000.0,91000000.0,
Non Current Deferred Liabilities,164000000.0,225000000.0,231000000.0,215000000.0,
Non Current Deferred Taxes Liabilities,164000000.0,225000000.0,231000000.0,215000000.0,
Long Term Debt And Capital Lease Obligation,5035000000.0,7810000000.0,8303000000.0,,
Long Term Debt,5035000000.0,7810000000.0,8303000000.0,,
Current Liabilities,3136000000.0,2703000000.0,1728000000.0,1311000000.0,
Other Current Liabilities,634000000.0,378000000.0,156000000.0,171000000.0,
Current Deferred Liabilities,621000000.0,572000000.0,574000000.0,559000000.0,
Current Deferred Revenue,621000000.0,572000000.0,574000000.0,559000000.0,
Current Debt And Capital Lease Obligation,,200000000.0,,,
Current Debt,,200000000.0,,,
Other Current Borrowings,,200000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,320000000.0,281000000.0,209000000.0,65000000.0,
Payables And Accrued Expenses,1561000000.0,1272000000.0,789000000.0,516000000.0,
Current Accrued Expenses,243000000.0,260000000.0,206000000.0,168000000.0,
Interest Payable,71000000.0,114000000.0,0.0,,
Payables,1318000000.0,1012000000.0,583000000.0,348000000.0,
Dueto Related Parties Current,435000000.0,272000000.0,0.0,,
Total Tax Payable,196000000.0,122000000.0,106000000.0,,
Accounts Payable,687000000.0,618000000.0,477000000.0,348000000.0,
Total Assets,14294000000.0,14457000000.0,13943000000.0,13594000000.0,
Total Non Current Assets,10436000000.0,11208000000.0,11424000000.0,11363000000.0,
Other Non Current Assets,814000000.0,665000000.0,530000000.0,358000000.0,
Goodwill And Other Intangible Assets,8296000000.0,8921000000.0,9437000000.0,9686000000.0,
Other Intangible Assets,2592000000.0,2544000000.0,2902000000.0,3252000000.0,
Goodwill,5704000000.0,6377000000.0,6535000000.0,6434000000.0,
Net PPE,1326000000.0,1622000000.0,1457000000.0,1319000000.0,
Accumulated Depreciation,-1867000000.0,-1988000000.0,-1881000000.0,-1771000000.0,
Gross PPE,3193000000.0,3610000000.0,3338000000.0,3090000000.0,
Construction In Progress,499000000.0,504000000.0,320000000.0,240000000.0,
Other Properties,,,,29000000.0,33000000.0
Machinery Furniture Equipment,1824000000.0,2150000000.0,2081000000.0,1965000000.0,
Buildings And Improvements,870000000.0,956000000.0,937000000.0,856000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3859000000.0,3249000000.0,2519000000.0,2231000000.0,
Other Current Assets,557000000.0,120000000.0,155000000.0,126000000.0,
Prepaid Assets,174000000.0,173000000.0,,,
Inventory,1066000000.0,965000000.0,857000000.0,873000000.0,
Finished Goods,636000000.0,539000000.0,453000000.0,468000000.0,
Work In Process,201000000.0,190000000.0,171000000.0,173000000.0,
Raw Materials,229000000.0,236000000.0,233000000.0,232000000.0,
Receivables,1184000000.0,1229000000.0,1313000000.0,1171000000.0,
Duefrom Related Parties Current,150000000.0,185000000.0,0.0,,
Accounts Receivable,1034000000.0,1044000000.0,1313000000.0,1171000000.0,
Allowance For Doubtful Accounts Receivable,-87000000.0,-86000000.0,-82000000.0,,
Gross Accounts Receivable,1121000000.0,1130000000.0,1395000000.0,,
Cash Cash Equivalents And Short Term Investments,878000000.0,762000000.0,194000000.0,61000000.0,
Cash And Cash Equivalents,878000000.0,762000000.0,194000000.0,61000000.0,
