,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Preferred Shares Number,5750000.0,5750000.0,,,,
Ordinary Shares Number,652731668.0,652525871.0,652248768.0,651930398.0,650629876.0,
Share Issued,652731668.0,652525871.0,652248768.0,651930398.0,650629876.0,
Net Debt,34992000000.0,32688000000.0,38435000000.0,35991000000.0,34283000000.0,
Total Debt,35021000000.0,32693000000.0,38590000000.0,37730000000.0,35848000000.0,
Tangible Book Value,31594000000.0,31152000000.0,28927000000.0,28866000000.0,28439000000.0,
Invested Capital,66615000000.0,63845000000.0,69398000000.0,68484000000.0,66181000000.0,
Working Capital,12943000000.0,11738000000.0,-4438000000.0,-4269000000.0,-4391000000.0,
Net Tangible Assets,31614000000.0,31172000000.0,29836000000.0,29775000000.0,29348000000.0,
Common Stock Equity,31594000000.0,31152000000.0,30808000000.0,30754000000.0,30333000000.0,
Preferred Stock Equity,20000000.0,20000000.0,909000000.0,909000000.0,909000000.0,
Total Capitalization,60593000000.0,60157000000.0,66653000000.0,64949000000.0,62800000000.0,
Total Equity Gross Minority Interest,41999000000.0,40219000000.0,38296000000.0,38202000000.0,37788000000.0,
Minority Interest,10385000000.0,9047000000.0,6579000000.0,6539000000.0,6546000000.0,
Stockholders Equity,31614000000.0,31172000000.0,31717000000.0,31663000000.0,31242000000.0,
Gains Losses Not Affecting Retained Earnings,-197000000.0,-212000000.0,-215000000.0,-195000000.0,-166000000.0,
Other Equity Adjustments,-197000000.0,-212000000.0,-215000000.0,-195000000.0,-166000000.0,
Retained Earnings,17092000000.0,17161000000.0,17505000000.0,17465000000.0,16979000000.0,
Capital Stock,14719000000.0,14223000000.0,14427000000.0,14393000000.0,14429000000.0,
Common Stock,14699000000.0,14203000000.0,13518000000.0,13484000000.0,13520000000.0,
Preferred Stock,20000000.0,20000000.0,909000000.0,909000000.0,909000000.0,
Total Liabilities Net Minority Interest,68879000000.0,66700000000.0,61611000000.0,60808000000.0,58367000000.0,
Total Non Current Liabilities Net Minority Interest,46985000000.0,46712000000.0,53004000000.0,50874000000.0,48691000000.0,
Other Non Current Liabilities,3762000000.0,3687000000.0,3631000000.0,3459000000.0,3214000000.0,
Employee Benefits,124000000.0,127000000.0,163000000.0,188000000.0,168000000.0,
Non Current Pension And Other Postretirement Benefit Plans,124000000.0,127000000.0,163000000.0,188000000.0,168000000.0,
Dueto Related Parties Non Current,0.0,0.0,359000000.0,355000000.0,352000000.0,
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0,0.0,
Non Current Deferred Liabilities,6127000000.0,6105000000.0,6161000000.0,5988000000.0,5845000000.0,
Non Current Deferred Taxes Liabilities,6127000000.0,6105000000.0,6161000000.0,5988000000.0,5845000000.0,
Long Term Debt And Capital Lease Obligation,28979000000.0,28985000000.0,34936000000.0,33286000000.0,31558000000.0,
Long Term Debt,28979000000.0,28985000000.0,34936000000.0,33286000000.0,31558000000.0,
Long Term Provisions,3743000000.0,3781000000.0,3848000000.0,3751000000.0,3737000000.0,
Current Liabilities,21894000000.0,19988000000.0,8607000000.0,9934000000.0,9676000000.0,
Other Current Liabilities,12889000000.0,13347000000.0,1434000000.0,2028000000.0,1609000000.0,
Current Debt And Capital Lease Obligation,6042000000.0,3708000000.0,3654000000.0,4444000000.0,4290000000.0,
Current Debt,6042000000.0,3708000000.0,3654000000.0,4444000000.0,4290000000.0,
Pensionand Other Post Retirement Benefit Plans Current,521000000.0,486000000.0,402000000.0,398000000.0,558000000.0,
Payables And Accrued Expenses,2442000000.0,2447000000.0,3117000000.0,3064000000.0,3219000000.0,
Payables,2442000000.0,2447000000.0,3117000000.0,3064000000.0,3219000000.0,
Other Payable,203000000.0,219000000.0,265000000.0,179000000.0,208000000.0,
Dueto Related Parties Current,8000000.0,17000000.0,8000000.0,,0.0,0.0
Dividends Payable,770000000.0,910000000.0,818000000.0,909000000.0,773000000.0,
Accounts Payable,1461000000.0,1301000000.0,2026000000.0,1976000000.0,2238000000.0,
Total Assets,110878000000.0,106919000000.0,99907000000.0,99010000000.0,96155000000.0,
Total Non Current Assets,76041000000.0,75193000000.0,95738000000.0,93345000000.0,90870000000.0,
Other Non Current Assets,2521000000.0,2392000000.0,2836000000.0,2712000000.0,2597000000.0,
Defined Pension Benefit,605000000.0,585000000.0,591000000.0,566000000.0,585000000.0,
Non Current Deferred Assets,10000000.0,19000000.0,159000000.0,194000000.0,172000000.0,
Non Current Deferred Taxes Assets,10000000.0,19000000.0,159000000.0,194000000.0,172000000.0,
Investments And Advances,18764000000.0,18329000000.0,20121000000.0,19495000000.0,19071000000.0,
Other Investments,147000000.0,144000000.0,2586000000.0,2501000000.0,2534000000.0,
Investmentin Financial Assets,1145000000.0,1147000000.0,1133000000.0,1123000000.0,1137000000.0,
Available For Sale Securities,1145000000.0,1147000000.0,1133000000.0,1123000000.0,1137000000.0,
Long Term Equity Investment,17472000000.0,17038000000.0,16402000000.0,15871000000.0,15400000000.0,
Goodwill And Other Intangible Assets,0.0,0.0,1881000000.0,1888000000.0,1894000000.0,
Other Intangible Assets,,,279000000.0,286000000.0,292000000.0,299000000.0
Goodwill,0.0,0.0,1602000000.0,1602000000.0,1602000000.0,
Net PPE,50273000000.0,49570000000.0,65954000000.0,64218000000.0,62614000000.0,
Accumulated Depreciation,-17889000000.0,-17600000000.0,-19657000000.0,-19396000000.0,-18960000000.0,
Gross PPE,68162000000.0,67170000000.0,85611000000.0,83614000000.0,81574000000.0,
Construction In Progress,3925000000.0,,,,12604000000.0,
Other Properties,1351000000.0,67170000000.0,85611000000.0,83614000000.0,2024000000.0,
Current Assets,34837000000.0,31726000000.0,4169000000.0,5665000000.0,5285000000.0,
Other Current Assets,1226000000.0,719000000.0,596000000.0,355000000.0,657000000.0,
Hedging Assets Current,,35000000.0,142000000.0,136000000.0,91000000.0,111000000.0
Assets Held For Sale Current,31024000000.0,28465000000.0,273000000.0,,0.0,
Restricted Cash,2000000.0,2000000.0,25000000.0,20000000.0,21000000.0,
Prepaid Assets,,247000000.0,157000000.0,227000000.0,255000000.0,314000000.0
Inventory,561000000.0,565000000.0,625000000.0,568000000.0,559000000.0,
