,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-161460000.0,13760000.0,32455272.173582,-35910000.0,
Tax Rate For Calcs,0.39,0.08,0.186525,0.21,
Normalized EBITDA,5678000000.0,5424000000.0,5989000000.0,4587000000.0,
Total Unusual Items,-414000000.0,172000000.0,174000000.0,-171000000.0,
Total Unusual Items Excluding Goodwill,-414000000.0,172000000.0,174000000.0,-171000000.0,
Net Income From Continuing Operation Net Minority Interest,1837000000.0,2862000000.0,3075000000.0,2139000000.0,
Reconciled Depreciation,2563000000.0,2437000000.0,2227000000.0,2019000000.0,
Reconciled Cost Of Revenue,7315000000.0,7093000000.0,10100000000.0,9228000000.0,
EBITDA,5264000000.0,5596000000.0,6163000000.0,4416000000.0,
EBIT,2701000000.0,3159000000.0,3936000000.0,2397000000.0,
Net Interest Income,-1336000000.0,-913000000.0,-1141000000.0,-953000000.0,
Interest Expense,1532000000.0,1049000000.0,1309000000.0,1054000000.0,
Interest Income,196000000.0,136000000.0,168000000.0,101000000.0,
Normalized Income,2089540000.0,2703760000.0,2933455272.173582,2274090000.0,
Net Income From Continuing And Discontinued Operation,1837000000.0,2862000000.0,3075000000.0,2139000000.0,
Total Expenses,10622000000.0,10223000000.0,13004000000.0,11882000000.0,
Diluted Average Shares,653826000.0,637943000.0,632733000.0,632756000.0,
Basic Average Shares,652697000.0,633795000.0,630296000.0,630318000.0,
Diluted EPS,2.75,4.42,4.79,3.31,
Basic EPS,2.75,4.44,4.81,3.325,
Diluted NI Availto Com Stockholders,1796000000.0,2817000000.0,3030000000.0,2094000000.0,
Net Income Common Stockholders,1796000000.0,2817000000.0,3030000000.0,2094000000.0,
Preferred Stock Dividends,41000000.0,45000000.0,45000000.0,45000000.0,
Net Income,1837000000.0,2862000000.0,3075000000.0,2139000000.0,
Minority Interests,-235000000.0,-638000000.0,-543000000.0,-146000000.0,
Net Income Including Noncontrolling Interests,2072000000.0,3500000000.0,3618000000.0,2285000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,2072000000.0,3500000000.0,3618000000.0,2285000000.0,
Earnings From Equity Interest Net Of Tax,1604000000.0,1609000000.0,1481000000.0,1498000000.0,
Tax Provision,701000000.0,219000000.0,490000000.0,556000000.0,
Pretax Income,1169000000.0,2110000000.0,2627000000.0,1343000000.0,
Other Income Expense,-575000000.0,61000000.0,52000000.0,-261000000.0,
Other Non Operating Income Expenses,-161000000.0,-111000000.0,-122000000.0,-90000000.0,
Special Income Charges,-477000000.0,150000000.0,140000000.0,-116000000.0,
Gain On Sale Of Ppe,,,1000000.0,0.0,36000000.0
Other Special Charges,477000000.0,-150000000.0,-140000000.0,116000000.0,
Impairment Of Capital Assets,,,,,3000000.0
Gain On Sale Of Security,63000000.0,22000000.0,34000000.0,-55000000.0,
Net Non Operating Interest Income Expense,-1336000000.0,-913000000.0,-1141000000.0,-953000000.0,
Interest Expense Non Operating,1532000000.0,1049000000.0,1309000000.0,1054000000.0,
Interest Income Non Operating,196000000.0,136000000.0,168000000.0,101000000.0,
Operating Income,3080000000.0,2962000000.0,3716000000.0,2557000000.0,
Operating Expense,3307000000.0,3130000000.0,2904000000.0,2654000000.0,
Other Operating Expenses,,,,635000000.0,596000000.0
Other Taxes,744000000.0,693000000.0,677000000.0,635000000.0,
Depreciation Amortization Depletion Income Statement,2563000000.0,2437000000.0,2227000000.0,2019000000.0,
Depreciation And Amortization In Income Statement,2563000000.0,2437000000.0,2227000000.0,2019000000.0,
Gross Profit,6387000000.0,6092000000.0,6620000000.0,5211000000.0,
Cost Of Revenue,7315000000.0,7093000000.0,10100000000.0,9228000000.0,
Total Revenue,13702000000.0,13185000000.0,16720000000.0,14439000000.0,
Operating Revenue,13702000000.0,13185000000.0,16720000000.0,14439000000.0,
