,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.12529999,12286535,2683010587,0.006
1,2025-12-31,Blackrock Inc.,0.0922,9041433,1974377680,0.0322
2,2025-12-31,State Street Corporation,0.0471,4614840,1007742588,0.059699997
3,2025-12-31,Massachusetts Financial Services Co.,0.043,4218307,921151678,-0.1296
4,2025-12-31,Morgan Stanley,0.0392,3839818,838501037,-0.0832
5,2025-12-31,"Geode Capital Management, LLC",0.0257,2523620,551082887,0.0056
6,2025-12-31,Orbis Allan Gray Ltd,0.0229,2249511,491225706,0.056500003
7,2025-12-31,Generation Investment Management LLP,0.021300001,2088483,456062022,-0.3003
8,2025-12-31,Select Equity Group LP,0.0197,1928033,421024556,-0.0247
9,2025-12-31,"Wellington Management Group, LLP",0.0168,1644079,359017523,8.7493
