,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,84216000.0,556916000.0,13280000.0,-152903000.0,-106303000.0,
Repurchase Of Capital Stock,-240296000.0,-210388000.0,-200048000.0,-250138000.0,-295140000.0,
Repayment Of Debt,-824441000.0,-408291000.0,-902605000.0,-432527000.0,-792089000.0,
Issuance Of Debt,1255497000.0,407965000.0,484278000.0,1405943000.0,337381000.0,
Capital Expenditure,-188496000.0,-165692000.0,-288331000.0,-305506000.0,-453175000.0,
Interest Paid Supplemental Data,67890000.0,25645000.0,34737000.0,28477000.0,41512000.0,
Income Tax Paid Supplemental Data,1338000.0,22192000.0,124753000.0,3717000.0,80308000.0,
End Cash Position,775272000.0,775697000.0,463281000.0,1192149000.0,595010000.0,
Beginning Cash Position,775697000.0,463281000.0,1192149000.0,595010000.0,1020756000.0,
Changes In Cash,-425000.0,312416000.0,-728868000.0,597139000.0,-425746000.0,
Financing Cash Flow,96837000.0,-289664000.0,-724783000.0,623295000.0,-823773000.0,
Cash Flow From Continuing Financing Activities,96837000.0,-289664000.0,-724783000.0,623295000.0,-823773000.0,
Net Other Financing Charges,-20845000.0,-5056000.0,-31718000.0,-30469000.0,-3525000.0,
Cash Dividends Paid,-73078000.0,-73894000.0,-74690000.0,-69514000.0,-70400000.0,
Common Stock Dividend Paid,-73078000.0,-73894000.0,-74690000.0,-69514000.0,-70400000.0,
Net Common Stock Issuance,-240296000.0,-210388000.0,-200048000.0,-250138000.0,-295140000.0,
Common Stock Payments,-240296000.0,-210388000.0,-200048000.0,-250138000.0,-295140000.0,
Net Issuance Payments Of Debt,431056000.0,-326000.0,-418327000.0,973416000.0,-454708000.0,
Net Short Term Debt Issuance,431056000.0,-326000.0,-418327000.0,973416000.0,-1986677000.0,
Short Term Debt Payments,-824441000.0,-408291000.0,-902605000.0,-432527000.0,,
Short Term Debt Issuance,1255497000.0,407965000.0,484278000.0,1405943000.0,337381000.0,
Net Long Term Debt Issuance,,,,,,-527977000.0
Long Term Debt Payments,,,,,,-527977000.0
Investing Cash Flow,-369974000.0,-120528000.0,-305696000.0,-178759000.0,51155000.0,
Cash Flow From Continuing Investing Activities,-369974000.0,-120528000.0,-305696000.0,-178759000.0,51155000.0,
Net Other Investing Changes,-5704000.0,5593000.0,2592000.0,-1064000.0,7348000.0,
Net Investment Purchase And Sale,0.0,39571000.0,-19957000.0,127811000.0,496982000.0,
Sale Of Investment,0.0,39571000.0,9614000.0,137811000.0,536443000.0,
Purchase Of Investment,0.0,0.0,-29571000.0,-10000000.0,-39461000.0,
Net PPE Purchase And Sale,-188496000.0,-165692000.0,-288331000.0,-305506000.0,-453175000.0,
Purchase Of PPE,-188496000.0,-165692000.0,-288331000.0,-305506000.0,-453175000.0,
Operating Cash Flow,272712000.0,722608000.0,301611000.0,152603000.0,346872000.0,
Cash Flow From Continuing Operating Activities,272712000.0,722608000.0,301611000.0,152603000.0,346872000.0,
Change In Working Capital,-56039000.0,26373000.0,-184747000.0,-227926000.0,34568000.0,
Change In Other Working Capital,157144000.0,-65070000.0,-82710000.0,42815000.0,3166000.0,
Change In Other Current Assets,-18399000.0,-34551000.0,7789000.0,-32115000.0,8336000.0,
Change In Payables And Accrued Expense,-43761000.0,122478000.0,33766000.0,51166000.0,-55157000.0,
Change In Accrued Expense,-12088000.0,127295000.0,39033000.0,-197434000.0,600000.0,
Change In Payable,-31673000.0,-4817000.0,-5267000.0,248600000.0,-55757000.0,
Change In Account Payable,-31673000.0,-4817000.0,-5267000.0,248600000.0,-55757000.0,
Change In Inventory,-338329000.0,64501000.0,-163417000.0,13810000.0,-69535000.0,
Change In Receivables,187306000.0,-60985000.0,19825000.0,-303602000.0,147758000.0,
Changes In Account Receivables,187306000.0,-60985000.0,19825000.0,-303602000.0,147758000.0,
Other Non Cash Items,2863000.0,-7986000.0,-890000.0,-4195000.0,-7286000.0,
Stock Based Compensation,23642000.0,14238000.0,14063000.0,17040000.0,25136000.0,
Deferred Tax,-108551000.0,147570000.0,39129000.0,16249000.0,-40968000.0,
Deferred Income Tax,-108551000.0,147570000.0,39129000.0,16249000.0,-40968000.0,
Depreciation Amortization Depletion,146282000.0,138487000.0,132865000.0,133756000.0,125550000.0,
Depreciation And Amortization,146282000.0,138487000.0,132865000.0,133756000.0,125550000.0,
Net Income From Continuing Operations,264515000.0,403926000.0,301191000.0,217679000.0,209872000.0,
