,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1313,36598366,4790543273,-0.0098
1,2025-12-31,Blackrock Inc.,0.0881,24563001,3215174120,0.0093
2,2025-12-31,State Street Corporation,0.0479,13345756,1746892788,-0.0115
3,2025-12-31,"FMR, LLC",0.0478,13315435,1742923921,0.17729999
4,2025-12-31,REGENTS OF THE UNIVERSITY OF CALIFORNIA,0.0312,8706195,1139597431,2.1118
5,2025-12-31,Invesco Ltd.,0.0287,8004527,1047752595,-0.0442
6,2025-12-31,"Geode Capital Management, LLC",0.026500002,7391620,967526131,-0.0063
7,2025-12-31,JPMORGAN CHASE & CO,0.0229,6378525,834917057,-0.62299997
8,2025-12-31,Harris Associates L.P.,0.0226,6306244,825455835,-0.1725
9,2025-12-31,Morgan Stanley,0.0187,5222382,683583714,0.090500005
