,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,607000000.0,427000000.0,425000000.0,216000000.0,150000000.0,
Repurchase Of Capital Stock,0.0,-29000000.0,,,0.0,
Repayment Of Debt,,,-547000000.0,-531000000.0,0.0,0.0
Issuance Of Debt,,,400000000.0,0.0,0.0,0.0
Capital Expenditure,-116000000.0,-105000000.0,-83000000.0,-43000000.0,-71000000.0,
End Cash Position,1048000000.0,1114000000.0,893000000.0,816000000.0,1240000000.0,
Beginning Cash Position,1114000000.0,893000000.0,816000000.0,1240000000.0,1241000000.0,
Effect Of Exchange Rate Changes,,,0.0,0.0,0.0,0.0
Changes In Cash,-66000000.0,221000000.0,77000000.0,-424000000.0,-1000000.0,
Financing Cash Flow,-673000000.0,-221000000.0,-301000000.0,-675000000.0,-152000000.0,
Cash Flow From Continuing Financing Activities,-673000000.0,-221000000.0,-301000000.0,-675000000.0,-152000000.0,
Net Other Financing Charges,-24000000.0,-61000000.0,-17000000.0,-16000000.0,-7000000.0,
Proceeds From Stock Option Exercised,5000000.0,22000000.0,16000000.0,24000000.0,3000000.0,
Cash Dividends Paid,-154000000.0,-153000000.0,-153000000.0,-152000000.0,-148000000.0,
Common Stock Dividend Paid,-154000000.0,-153000000.0,-153000000.0,-152000000.0,-148000000.0,
Net Common Stock Issuance,0.0,-29000000.0,,,0.0,
Common Stock Payments,0.0,-29000000.0,,,0.0,
Net Issuance Payments Of Debt,,,-147000000.0,-531000000.0,0.0,0.0
Net Long Term Debt Issuance,,,-147000000.0,-531000000.0,0.0,0.0
Long Term Debt Payments,,,-547000000.0,-531000000.0,0.0,0.0
Long Term Debt Issuance,,,400000000.0,0.0,0.0,0.0
Investing Cash Flow,-116000000.0,-90000000.0,-130000000.0,-8000000.0,-70000000.0,
Cash Flow From Continuing Investing Activities,-116000000.0,-90000000.0,-130000000.0,-8000000.0,-70000000.0,
Net Other Investing Changes,,,0.0,0.0,,
Net Investment Purchase And Sale,,,41000000.0,,,
Sale Of Investment,,,41000000.0,,,
Net Business Purchase And Sale,0.0,15000000.0,-88000000.0,25000000.0,0.0,
Sale Of Business,0.0,15000000.0,0.0,25000000.0,0.0,
Net PPE Purchase And Sale,-116000000.0,-105000000.0,-83000000.0,-43000000.0,-71000000.0,
Purchase Of PPE,-116000000.0,-105000000.0,-83000000.0,-43000000.0,-71000000.0,
Operating Cash Flow,723000000.0,532000000.0,508000000.0,259000000.0,221000000.0,
Cash Flow From Continuing Operating Activities,723000000.0,532000000.0,508000000.0,259000000.0,221000000.0,
Change In Working Capital,-65000000.0,-116000000.0,-92000000.0,-203000000.0,-293000000.0,
Change In Other Working Capital,-78000000.0,-9000000.0,39000000.0,-29000000.0,-34000000.0,
Change In Payables And Accrued Expense,188000000.0,63000000.0,157000000.0,-140000000.0,-210000000.0,
Change In Accrued Expense,110000000.0,-21000000.0,68000000.0,1000000.0,-10000000.0,
Change In Payable,78000000.0,84000000.0,89000000.0,-141000000.0,-200000000.0,
Change In Account Payable,78000000.0,84000000.0,89000000.0,-141000000.0,-200000000.0,
Change In Inventory,-2000000.0,-56000000.0,32000000.0,1000000.0,-90000000.0,
Change In Receivables,-173000000.0,-114000000.0,-320000000.0,-35000000.0,41000000.0,
Changes In Account Receivables,-173000000.0,-114000000.0,-320000000.0,-35000000.0,41000000.0,
Other Non Cash Items,,,20000000.0,-2000000.0,58000000.0,8000000.0
Stock Based Compensation,53000000.0,52000000.0,59000000.0,54000000.0,49000000.0,
Deferred Tax,3000000.0,-25000000.0,-16000000.0,3000000.0,8000000.0,
Deferred Income Tax,3000000.0,-25000000.0,-16000000.0,3000000.0,8000000.0,
Depreciation Amortization Depletion,68000000.0,72000000.0,61000000.0,63000000.0,63000000.0,
Depreciation And Amortization,68000000.0,72000000.0,61000000.0,63000000.0,63000000.0,
Operating Gains Losses,,,-12000000.0,,,
Net Income From Continuing Operations,593000000.0,549000000.0,488000000.0,340000000.0,336000000.0,
