,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-697951.090549,103325842.696629,-44520000.0,-53603.335319,
Tax Rate For Calcs,0.029081,0.247191,0.17,0.017868,
Normalized EBITDA,2109000000.0,623000000.0,542000000.0,2382000000.0,
Total Unusual Items,-24000000.0,418000000.0,-212000000.0,-3000000.0,
Total Unusual Items Excluding Goodwill,-24000000.0,418000000.0,-212000000.0,-3000000.0,
Net Income From Continuing Operation Net Minority Interest,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Reconciled Depreciation,251000000.0,264000000.0,513000000.0,451000000.0,
Reconciled Cost Of Revenue,5646000000.0,4751000000.0,5523000000.0,7752000000.0,
EBITDA,2085000000.0,1041000000.0,330000000.0,2379000000.0,
EBIT,1834000000.0,777000000.0,-183000000.0,1928000000.0,
Net Interest Income,-296000000.0,-317000000.0,-303000000.0,-247000000.0,
Interest Expense,321000000.0,332000000.0,313000000.0,249000000.0,
Interest Income,25000000.0,15000000.0,10000000.0,2000000.0,
Normalized Income,1492302048.909451,20325842.696629,-353040000.0,1651946396.664681,
Net Income From Continuing And Discontinued Operation,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Total Expenses,7182000000.0,6129000000.0,7324000000.0,9703000000.0,
Total Operating Income As Reported,1890000000.0,452000000.0,-342000000.0,1955000000.0,
Diluted Average Shares,,212000000.0,207000000.0,224000000.0,245000000.0
Basic Average Shares,,209000000.0,207000000.0,220000000.0,242000000.0
Diluted EPS,,1.58,-2.56,7.36,5.36
Basic EPS,,1.6,-2.56,7.5,5.43
Diluted NI Availto Com Stockholders,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Net Income Common Stockholders,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Net Income,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Net Income Including Noncontrolling Interests,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Net Income Continuous Operations,1469000000.0,335000000.0,-529000000.0,1649000000.0,
Tax Provision,44000000.0,110000000.0,33000000.0,30000000.0,
Pretax Income,1513000000.0,445000000.0,-496000000.0,1679000000.0,
Other Income Expense,-106000000.0,340000000.0,-253000000.0,-32000000.0,
Other Non Operating Income Expenses,-82000000.0,-78000000.0,-41000000.0,-29000000.0,
Special Income Charges,-24000000.0,314000000.0,-212000000.0,-3000000.0,
Gain On Sale Of Business,8000000.0,313000000.0,0.0,0.0,
Other Special Charges,7000000.0,29000000.0,110000000.0,,
Restructuring And Mergern Acquisition,25000000.0,-30000000.0,102000000.0,3000000.0,
Gain On Sale Of Security,,104000000.0,,,
Net Non Operating Interest Income Expense,-296000000.0,-317000000.0,-303000000.0,-247000000.0,
Interest Expense Non Operating,321000000.0,332000000.0,313000000.0,249000000.0,
Interest Income Non Operating,25000000.0,15000000.0,10000000.0,2000000.0,
Operating Income,1915000000.0,422000000.0,60000000.0,1958000000.0,
Operating Expense,1285000000.0,1114000000.0,1291000000.0,1511000000.0,
Depreciation Amortization Depletion Income Statement,0.0,0.0,3000000.0,11000000.0,
Depreciation And Amortization In Income Statement,0.0,0.0,3000000.0,11000000.0,
Amortization,0.0,0.0,3000000.0,11000000.0,
Amortization Of Intangibles Income Statement,0.0,0.0,3000000.0,11000000.0,
Research And Development,724000000.0,654000000.0,797000000.0,941000000.0,
Selling General And Administration,561000000.0,460000000.0,491000000.0,559000000.0,
Gross Profit,3200000000.0,1536000000.0,1351000000.0,3469000000.0,
Cost Of Revenue,5897000000.0,5015000000.0,6033000000.0,8192000000.0,
Total Revenue,9097000000.0,6551000000.0,7384000000.0,11661000000.0,
Operating Revenue,9097000000.0,6551000000.0,7384000000.0,11661000000.0,
