,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.103,17864333,2742175115,-0.0186
1,2025-12-31,"Berkshire Hathaway, Inc",0.075,13000000,1995500000,-0.0299
2,2025-12-31,Blackrock Inc.,0.0627,10865382,1667836137,0.023
3,2025-12-31,Capital World Investors,0.0417,7238575,1111121262,0.0829
4,2025-12-31,State Street Corporation,0.0399,6911369,1060895141,0.05
5,2025-12-31,Capital International Investors,0.0372,6442600,988939100,0.48549998
6,2025-12-31,"Wellington Management Group, LLP",0.0347,6018653,923863235,0.1401
7,2025-12-31,"FMR, LLC",0.0233,4033393,619125825,-0.0166
8,2025-12-31,"Grantham, Mayo, Van Otterloo & Co. LLC",0.0223,3864034,593129219,0.041300002
9,2025-12-31,"Geode Capital Management, LLC",0.0216,3739549,574020771,0.0147
