,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1319,45833824,3173992312,-0.0248
1,2025-12-31,Capital World Investors,0.1103,38326315,2654097313,0.0
2,2025-12-31,Blackrock Inc.,0.089700006,31172993,2158729765,-0.0615
3,2025-12-31,State Street Corporation,0.053000003,18437769,1276815503,-0.0337
4,2025-12-31,Bank of America Corporation,0.0465,16158110,1118949117,0.1272
5,2025-12-31,"Geode Capital Management, LLC",0.028499998,9908152,686139526,-0.0211
6,2025-12-31,Goldman Sachs Group Inc,0.025,8678580,600991665,0.2886
7,2025-12-31,Par Capital Management Inc,0.0216,7500000,519375000,0.0
8,2025-12-31,Morgan Stanley,0.0179,6230111,431435186,0.0764
9,2025-12-31,Dimensional Fund Advisors LP,0.0163,5674400,392952200,-0.019199999
