,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1159,20348793,912032896,0.0007
1,2025-12-31,Dodge & Cox Inc.,0.106000006,18610924,834141608,-0.0011
2,2025-12-31,Blackrock Inc.,0.062,10893013,488224839,-0.2532
3,2025-12-31,State Street Corporation,0.0504,8846969,396521147,-0.1588
4,2025-12-31,Dimensional Fund Advisors LP,0.0431,7572843,339414820,0.17860001
5,2025-12-31,LSV Asset Management,0.0341,5990976,268515542,0.00029999999
6,2025-12-31,"Geode Capital Management, LLC",0.0255,4477094,200663351,-0.0067000003
7,2025-12-31,Invesco Ltd.,0.0255,4485000,201017698,0.0123000005
8,2025-12-31,Clarkston Capital Partners LLC,0.0191,3351415,150210419,-0.0037
9,2025-12-31,Goldman Sachs Group Inc,0.0166,2922022,130965025,2.6528
