contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TECH260417C00040000,2026-04-06 19:36:59+00:00,40.0,12.8,12.5,14.9,0.0,0.0,4,4,1.224613251953125,True,REGULAR,USD
TECH260417C00050000,2026-03-18 17:54:47+00:00,50.0,3.5,3.1,4.2,0.0,0.0,20,10,0.6044961425781252,True,REGULAR,USD
TECH260417C00055000,2026-04-06 17:23:33+00:00,55.0,1.15,0.95,1.4,0.0,0.0,9,153,0.5083056982421875,False,REGULAR,USD
TECH260417C00060000,2026-04-06 18:12:16+00:00,60.0,0.17,0.05,0.25,0.0,0.0,11,5114,0.534184345703125,False,REGULAR,USD
TECH260417C00065000,2026-04-06 16:27:18+00:00,65.0,0.15,0.05,0.25,0.0,0.0,1,509,0.6972686523437501,False,REGULAR,USD
TECH260417C00070000,2026-04-07 14:56:15+00:00,70.0,0.06,0.05,0.15,-0.09,-59.999996,111,5075,0.8320329296874999,False,REGULAR,USD
TECH260417C00075000,2026-02-05 15:19:14+00:00,75.0,2.5,0.0,2.2,0.0,0.0,1,73,1.6845718896484376,False,REGULAR,USD
TECH260417C00080000,2026-02-18 15:47:18+00:00,80.0,0.39,0.0,0.0,0.0,0.0,25,0,0.500005,False,REGULAR,USD
TECH260417C00085000,2026-02-11 14:34:08+00:00,85.0,0.3,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
TECH260417C00090000,2026-01-21 20:40:36+00:00,90.0,1.6,0.0,1.75,0.0,0.0,1,2,2.119145327148437,False,REGULAR,USD
TECH260417C00095000,2026-01-21 20:40:36+00:00,95.0,1.03,0.0,1.75,0.0,0.0,2,0,2.2705121362304688,False,REGULAR,USD
