,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0324,40147254,1909001897,0.32650003
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0323,40096149,1906571854,-0.010299999
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025999999,32261825,1534049754,0.014199999
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013300001,16461692,782753442,-0.0094
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.013099999,16279942,774111229,0.0016
5,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0121,15069722,716565269,-0.0185
6,2025-12-31,INVESTMENT CO OF AMERICA,0.0116,14348671,682279295,0.0
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0095,11772538,559784172,0.0164
8,2025-12-31,AMERICAN FUNDS FUNDAMENTAL INVESTORS,0.0093,11553682,549377570,0.0
9,2026-01-31,AMERICAN MUTUAL FUND,0.0074,9238283,439280349,-0.5499
