,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031600002,34955677,5549912986,-0.0038
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0254,28066385,4456100066,0.0196
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,14321613,2273842557,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,14163540,2248745306,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,13086778,2077787798,-0.0202
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0109,12044736,1912342786,-0.0228
6,2026-01-31,iShares Trust-iShares MSCI USA Quality Factor ETF,0.0094,10377799,1647683191,0.0223
7,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0058,6386896,1014047505,-0.0178
8,2026-01-31,VANGUARD SPECIALIZED FUNDS-Vanguard Dividend Growth Fund,0.0055,6098428,968247439,-0.282
9,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0054,6030243,957421706,-0.0928
