,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Kinetics Portfolios Trust-Kinetics Paradigm Portfolio,0.032899998,2270798,1011345294,-0.033
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.026800001,1848021,823053103,0.00029999999
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0212,1460298,650372913,0.020599999
3,2026-02-28,SELECT SECTOR SPDR TRUST-State Street Energy Select Sector SPDR ETF,0.0184,1266448,564037939,0.0615
4,2026-01-31,iShares Trust-iShares MSCI USA Quality Factor ETF,0.0117999995,811287,361322887,0.0224
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0108,745168,331875468,-0.0095
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0107,736940,328210964,0.0017
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0099,680280,302976300,-0.0186
8,2025-12-31,Kinetics Portfolios Trust-Kinetics Small Cap Opportunities Portfolio,0.0098,672696,299598614,0.0
9,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0095999995,664305,295861514,-0.0437
