,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,-110663501.683502,0.0,-12138690.993339
Tax Rate For Calcs,0.195,0.138,0.129461,0.149,0.101072
Normalized EBITDA,767600000.0,383100000.0,337100000.0,307500000.0,545400000.0
Total Unusual Items,0.0,,-854800000.0,0.0,-120100000.0
Total Unusual Items Excluding Goodwill,0.0,,-854800000.0,0.0,-120100000.0
Net Income From Continuing Operation Net Minority Interest,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Reconciled Depreciation,53100000.0,51600000.0,61500000.0,53000000.0,55500000.0
Reconciled Cost Of Revenue,614000000.0,404100000.0,408100000.0,378800000.0,562300000.0
EBITDA,767600000.0,383100000.0,-517700000.0,307500000.0,425300000.0
EBIT,714500000.0,331500000.0,-579200000.0,254500000.0,369800000.0
Net Interest Income,-17400000.0,-12800000.0,-14800000.0,-15400000.0,-24500000.0
Interest Expense,17400000.0,12800000.0,14800000.0,15400000.0,24500000.0
Normalized Income,561300000.0,274800000.0,227036498.316498,203300000.0,418361309.006661
Net Income From Continuing And Discontinued Operation,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Total Expenses,1786000000.0,1376400000.0,1451900000.0,1330900000.0,1702600000.0
Total Operating Income As Reported,716400000.0,328200000.0,-583500000.0,253700000.0,492800000.0
Diluted Average Shares,209800000.0,215500000.0,207800000.0,213900000.0,224900000.0
Basic Average Shares,204100000.0,207600000.0,207800000.0,207300000.0,219900000.0
Diluted EPS,2.68,1.28,-2.49,0.95,1.38
Basic EPS,2.75,1.32,-2.49,0.98,1.41
Diluted NI Availto Com Stockholders,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Net Income Common Stockholders,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Net Income,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Net Income Including Noncontrolling Interests,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Net Income Continuous Operations,561300000.0,274800000.0,-517100000.0,203300000.0,310400000.0
Tax Provision,135800000.0,43900000.0,-76900000.0,35800000.0,34900000.0
Pretax Income,697100000.0,318700000.0,-594000000.0,239100000.0,345300000.0
Other Income Expense,-1900000.0,3300000.0,-850500000.0,800000.0,-123000000.0
Other Non Operating Income Expenses,-1900000.0,3300000.0,4300000.0,800000.0,-2900000.0
Special Income Charges,0.0,,-854800000.0,0.0,-120100000.0
Other Special Charges,,,0.0,,120100000.0
Net Non Operating Interest Income Expense,-17400000.0,-12800000.0,-14800000.0,-15400000.0,-24500000.0
Interest Expense Non Operating,17400000.0,12800000.0,14800000.0,15400000.0,24500000.0
Operating Income,716400000.0,328200000.0,271300000.0,253700000.0,492800000.0
Operating Expense,1172000000.0,972300000.0,1043800000.0,952100000.0,1140300000.0
Selling General And Administration,1172000000.0,972300000.0,1043800000.0,952100000.0,1140300000.0
Gross Profit,1888400000.0,1300500000.0,1315100000.0,1205800000.0,1633100000.0
Cost Of Revenue,614000000.0,404100000.0,408100000.0,378800000.0,562300000.0
Total Revenue,2502400000.0,1704600000.0,1723200000.0,1584600000.0,2195400000.0
Operating Revenue,2502400000.0,1704600000.0,1723200000.0,1584600000.0,2195400000.0
