,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,584100000.0,683900000.0,826200000.0,1046500000.0,
Repurchase Of Capital Stock,-641800000.0,-754700000.0,-373700000.0,-1190000000.0,
Repayment Of Debt,-113106800000.0,-86045100000.0,-61537500000.0,-37123500000.0,
Issuance Of Debt,116265000000.0,87204900000.0,62873600000.0,41820700000.0,
Capital Expenditure,-3333300000.0,-2965800000.0,-2385400000.0,-1334300000.0,
Interest Paid Supplemental Data,793300000.0,712700000.0,618600000.0,401300000.0,
Income Tax Paid Supplemental Data,24300000.0,16700000.0,8500000.0,1600000.0,
End Cash Position,166100000.0,157300000.0,141700000.0,219000000.0,
Beginning Cash Position,157300000.0,141700000.0,219000000.0,158500000.0,
Changes In Cash,8800000.0,15600000.0,-77300000.0,60500000.0,
Financing Cash Flow,-266600000.0,-612800000.0,-888100000.0,1829400000.0,
Cash Flow From Continuing Financing Activities,-266600000.0,-612800000.0,-888100000.0,1829400000.0,
Net Other Financing Charges,-1964700000.0,-402400000.0,-1423200000.0,-1298100000.0,
Cash Dividends Paid,-818300000.0,-615500000.0,-427300000.0,-379700000.0,
Common Stock Dividend Paid,-818300000.0,-615500000.0,-427300000.0,-379700000.0,
Net Preferred Stock Issuance,,0.0,0.0,-965200000.0,0.0
Preferred Stock Payments,,0.0,0.0,-965200000.0,0.0
Net Common Stock Issuance,-641800000.0,-754700000.0,-373700000.0,-224800000.0,
Common Stock Payments,-641800000.0,-754700000.0,-373700000.0,-224800000.0,
Net Issuance Payments Of Debt,3158200000.0,1159800000.0,1336100000.0,4697200000.0,
Net Short Term Debt Issuance,-969500000.0,955500000.0,-1123700000.0,1298700000.0,
Short Term Debt Payments,-110525100000.0,-84475000000.0,-60126500000.0,-35050600000.0,
Short Term Debt Issuance,109555600000.0,85430500000.0,59002800000.0,36349300000.0,
Net Long Term Debt Issuance,4127700000.0,204300000.0,2459800000.0,3398500000.0,
Long Term Debt Payments,-2581700000.0,-1570100000.0,-1411000000.0,-2072900000.0,
Long Term Debt Issuance,6709400000.0,1774400000.0,3870800000.0,5471400000.0,
Investing Cash Flow,-3642000000.0,-3021300000.0,-2400800000.0,-4149700000.0,
Cash Flow From Continuing Investing Activities,-3642000000.0,-3021300000.0,-2400800000.0,-4149700000.0,
Net Other Investing Changes,27100000.0,1900000.0,3700000.0,21400000.0,
Net Business Purchase And Sale,-335800000.0,-57400000.0,-19100000.0,-2836800000.0,
Sale Of Business,7800000.0,5500000.0,5500000.0,873800000.0,
Purchase Of Business,-343600000.0,-62900000.0,-24600000.0,-3710600000.0,
Net PPE Purchase And Sale,-3333300000.0,-2965800000.0,-2385400000.0,-1334300000.0,
Purchase Of PPE,-3333300000.0,-2965800000.0,-2385400000.0,-1334300000.0,
Operating Cash Flow,3917400000.0,3649700000.0,3211600000.0,2380800000.0,
Cash Flow From Continuing Operating Activities,3917400000.0,3649700000.0,3211600000.0,2380800000.0,
Dividend Received Cfo,20700000.0,19800000.0,13100000.0,12200000.0,
Change In Working Capital,-193600000.0,38700000.0,139200000.0,-364000000.0,
Change In Payables And Accrued Expense,-214900000.0,80200000.0,123800000.0,-347500000.0,
Change In Accrued Expense,41900000.0,39500000.0,55600000.0,35500000.0,
Change In Interest Payable,41900000.0,39500000.0,55600000.0,35500000.0,
Change In Payable,-256800000.0,40700000.0,68200000.0,-383000000.0,
Change In Account Payable,-256800000.0,40700000.0,68200000.0,-383000000.0,
Change In Inventory,-89500000.0,33500000.0,36000000.0,-236200000.0,
Change In Receivables,110800000.0,-75000000.0,-20600000.0,219700000.0,
Changes In Account Receivables,,,,,-392400000.0
Other Non Cash Items,38700000.0,29300000.0,22800000.0,64900000.0,
Stock Based Compensation,69500000.0,63200000.0,62400000.0,57500000.0,
Asset Impairment Charge,,6200000.0,6900000.0,9800000.0,462600000.0
Deferred Tax,516600000.0,367000000.0,349600000.0,125100000.0,
Deferred Income Tax,516600000.0,367000000.0,349600000.0,125100000.0,
Depreciation Amortization Depletion,1515300000.0,1423000000.0,1329600000.0,1096000000.0,
Depreciation And Amortization,1515300000.0,1423000000.0,1329600000.0,1096000000.0,
Amortization Cash Flow,326000000.0,373200000.0,384000000.0,242200000.0,
Amortization Of Intangibles,326000000.0,373200000.0,384000000.0,242200000.0,
Depreciation,1189300000.0,1049800000.0,945600000.0,853800000.0,
Operating Gains Losses,-6500000.0,155200000.0,-284400000.0,-152100000.0,
Earnings Losses From Equity Investments,-11800000.0,-9400000.0,-9000000.0,-445000000.0,
Gain Loss On Investment Securities,5300000.0,164600000.0,-275400000.0,302500000.0,
Gain Loss On Sale Of Business,,,,-435900000.0,0.0
Net Income From Continuing Operations,1956700000.0,1553500000.0,1579300000.0,1531400000.0,
