,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.13069999,30570278,1960471844,0.0101
1,2025-12-31,Blackrock Inc.,0.08140001,19043934,1221287435,-0.0198
2,2025-12-31,Morgan Stanley,0.050300002,11763672,754404253,-0.0915
3,2025-12-31,State Street Corporation,0.0465,10884136,697999611,-0.0061000003
4,2025-12-31,Generation Investment Management LLP,0.0325,7593981,487001980,-0.091400005
5,2025-12-31,Select Equity Group LP,0.0312,7298271,468038099,-0.045300003
6,2025-12-31,"Geode Capital Management, LLC",0.027,6309075,404600962,0.0088
7,2025-12-31,"Wellington Management Group, LLP",0.026500002,6199706,397587128,1.2596
8,2025-12-31,Victory Capital Management Inc.,0.0212,4962879,318269416,-0.0318
9,2025-12-31,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",0.02,4679183,300075992,-0.0123000005
