contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TXT260417P00070000,2026-04-06 14:29:57+00:00,70.0,0.15,0.0,0.15,0.0,0.0,1.0,5,0.6562534375000001,False,REGULAR,USD
TXT260417P00075000,2026-03-09 15:38:58+00:00,75.0,0.28,0.0,0.2,0.0,0.0,2.0,4,0.507817421875,False,REGULAR,USD
TXT260417P00080000,2026-04-06 18:03:35+00:00,80.0,0.2,0.2,0.75,0.0,0.0,2.0,19,0.5712933496093751,False,REGULAR,USD
TXT260417P00082500,2026-03-31 14:36:20+00:00,82.5,1.18,0.4,0.6,0.0,0.0,,72,0.40820904296875,False,REGULAR,USD
TXT260417P00085000,2026-04-02 17:05:59+00:00,85.0,1.07,0.75,1.0,0.0,0.0,34.0,171,0.362311064453125,False,REGULAR,USD
TXT260417P00087500,2026-04-01 19:28:16+00:00,87.5,1.65,1.55,1.9,0.0,0.0,11.0,197,0.3501041552734374,False,REGULAR,USD
TXT260417P00090000,2026-04-07 15:44:50+00:00,90.0,3.3,2.95,3.4,0.79999995,31.999996,9.0,16,0.36377589355468753,True,REGULAR,USD
TXT260417P00092500,2026-04-02 14:11:35+00:00,92.5,5.43,3.8,5.8,0.0,0.0,1.0,8,0.481450498046875,True,REGULAR,USD
TXT260417P00095000,2026-03-16 13:30:12+00:00,95.0,4.54,5.8,8.5,0.0,0.0,1.0,80,0.6401403173828125,True,REGULAR,USD
TXT260417P00097500,2026-03-05 14:32:24+00:00,97.5,3.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
TXT260417P00100000,2026-03-20 13:35:14+00:00,100.0,11.93,10.4,13.1,0.0,0.0,10.0,3,0.75586181640625,True,REGULAR,USD
TXT260417P00110000,2026-03-04 15:57:58+00:00,110.0,11.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
