,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-34185000.0,-2002710000.0,0.0,0.0,
Tax Rate For Calcs,0.129,0.241,0.205,0.217,
Normalized EBITDA,23325000000.0,36386000000.0,36330000000.0,31835000000.0,
Total Unusual Items,-265000000.0,-8310000000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-265000000.0,-8310000000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,12056000000.0,14405000000.0,22381000000.0,20120000000.0,
Reconciled Depreciation,4361000000.0,4099000000.0,3972000000.0,3400000000.0,
Reconciled Cost Of Revenue,364650000000.0,310879000000.0,280664000000.0,244545000000.0,
EBITDA,23060000000.0,28076000000.0,36330000000.0,31835000000.0,
EBIT,18699000000.0,23977000000.0,32358000000.0,28435000000.0,
Net Interest Income,-4002000000.0,-3906000000.0,-3246000000.0,-2092000000.0,
Interest Expense,4002000000.0,3906000000.0,3246000000.0,2092000000.0,
Normalized Income,12286815000.0,20712290000.0,22381000000.0,20120000000.0,
Net Income From Continuing And Discontinued Operation,12056000000.0,14405000000.0,22381000000.0,20120000000.0,
Total Expenses,428603000000.0,367991000000.0,339264000000.0,295727000000.0,
Total Operating Income As Reported,18964000000.0,32287000000.0,32358000000.0,28435000000.0,
Diluted Average Shares,911000000.0,929000000.0,938000000.0,950000000.0,
Basic Average Shares,905838620.0,915000000.0,924000000.0,934000000.0,
Diluted EPS,13.23,15.51,23.86,21.18,
Basic EPS,13.309214,15.743169,24.221861,21.541756,
Diluted NI Availto Com Stockholders,12056000000.0,14405000000.0,22381000000.0,20120000000.0,
Net Income Common Stockholders,12056000000.0,14405000000.0,22381000000.0,20120000000.0,
Net Income,12056000000.0,14405000000.0,22381000000.0,20120000000.0,
Minority Interests,-751000000.0,-837000000.0,-763000000.0,-519000000.0,
Net Income Including Noncontrolling Interests,12807000000.0,15242000000.0,23144000000.0,20639000000.0,
Net Income Continuous Operations,12807000000.0,15242000000.0,23144000000.0,20639000000.0,
Tax Provision,1890000000.0,4829000000.0,5968000000.0,5704000000.0,
Pretax Income,14697000000.0,20071000000.0,29112000000.0,26343000000.0,
Other Income Expense,-265000000.0,-8310000000.0,4089000000.0,2030000000.0,
Special Income Charges,-265000000.0,-8310000000.0,0.0,0.0,
Gain On Sale Of Business,-265000000.0,-8310000000.0,0.0,0.0,
Gain On Sale Of Security,,,4089000000.0,2030000000.0,2324000000.0
Net Non Operating Interest Income Expense,-4002000000.0,-3906000000.0,-3246000000.0,-2092000000.0,
Interest Expense Non Operating,4002000000.0,3906000000.0,3246000000.0,2092000000.0,
Operating Income,18964000000.0,32287000000.0,32358000000.0,28435000000.0,
Operating Expense,63953000000.0,57112000000.0,58600000000.0,51182000000.0,
Other Operating Expenses,59592000000.0,53013000000.0,54628000000.0,47782000000.0,
Depreciation Amortization Depletion Income Statement,4361000000.0,4099000000.0,3972000000.0,3400000000.0,
Depreciation And Amortization In Income Statement,4361000000.0,4099000000.0,3972000000.0,3400000000.0,
Gross Profit,82917000000.0,89399000000.0,90958000000.0,79617000000.0,
Cost Of Revenue,364650000000.0,310879000000.0,280664000000.0,244545000000.0,
Total Revenue,447567000000.0,400278000000.0,371622000000.0,324162000000.0,
Operating Revenue,447567000000.0,400278000000.0,371622000000.0,324162000000.0,
